source,split,checkpoint,bucket,horizon_min,n,mean_bps,ci_lo,ci_hi,test_id,robust_type
M15_trim1pct,CONFIRM,13:00,"(-0.15,-0.05]",30,34,0.3264029778861282,-3.806247627406552,4.474110500006493,"D2_13:00_(-0.15,-0.05]_30",trim1pct_dev_n_M15
M15_trim1pct,CONFIRM,13:00,"(-0.15,-0.05]",60,34,1.6962900302136545,-4.780781575969014,8.35233726746646,"D2_13:00_(-0.15,-0.05]_60",trim1pct_dev_n_M15
M15_trim1pct,CONFIRM,13:00,"(-inf,-0.15]",30,83,-1.0695327374240757,-3.4046119169713145,1.3777218262312259,"D2_13:00_(-inf,-0.15]_30",trim1pct_dev_n_M15
M15_trim1pct,CONFIRM,13:00,"(-inf,-0.15]",60,83,-3.339249457364464,-7.732967139655456,1.0246080830295512,"D2_13:00_(-inf,-0.15]_60",trim1pct_dev_n_M15
M15_trim1pct,CONFIRM,13:00,"[0.05,0.15)",30,37,3.1213780860961986,-1.1447633275237092,7.466911470455619,"D2_13:00_[0.05,0.15)_30",trim1pct_dev_n_M15
M15_trim1pct,CONFIRM,13:00,"[0.05,0.15)",60,37,5.50363905756507,-1.3097126404542982,12.224435706762769,"D2_13:00_[0.05,0.15)_60",trim1pct_dev_n_M15
M15_trim1pct,CONFIRM,13:00,"[0.15,+inf)",30,61,-2.790718438961329,-5.7822586317632485,0.40151491765683106,"D2_13:00_[0.15,+inf)_30",trim1pct_dev_n_M15
M15_trim1pct,CONFIRM,13:00,"[0.15,+inf)",60,61,-1.463335776924461,-5.438502039368441,2.721815595241003,"D2_13:00_[0.15,+inf)_60",trim1pct_dev_n_M15
M15_trim1pct,CONFIRM,14:00,"(-0.05,0.05)",30,33,2.329758151145741,-2.8044836462024683,7.3927443484944275,"D2_14:00_(-0.05,0.05)_30",trim1pct_dev_n_M15
M15_trim1pct,CONFIRM,14:00,"(-0.05,0.05)",60,33,3.8593303198703413,-2.065337242520488,10.326801252545543,"D2_14:00_(-0.05,0.05)_60",trim1pct_dev_n_M15
M15_trim1pct,CONFIRM,14:00,"(-0.15,-0.05]",30,27,0.6930563625999424,-4.637624816623973,5.749424970033787,"D2_14:00_(-0.15,-0.05]_30",trim1pct_dev_n_M15
M15_trim1pct,CONFIRM,14:00,"(-0.15,-0.05]",60,27,1.1517808005499115,-4.9646659373267585,7.471768996704754,"D2_14:00_(-0.15,-0.05]_60",trim1pct_dev_n_M15
M15_trim1pct,CONFIRM,14:00,"(-inf,-0.15]",30,83,0.623515449078504,-2.0148387501275016,3.4095603122718456,"D2_14:00_(-inf,-0.15]_30",trim1pct_dev_n_M15
M15_trim1pct,CONFIRM,14:00,"(-inf,-0.15]",60,83,1.5893804186985971,-2.2928058704638867,5.327964006853897,"D2_14:00_(-inf,-0.15]_60",trim1pct_dev_n_M15
M15_trim1pct,CONFIRM,14:00,"[0.05,0.15)",30,24,0.257130002630316,-4.936628070138421,6.624935017461373,"D2_14:00_[0.05,0.15)_30",trim1pct_dev_n_M15
