date,ret,equity
2023-01-02,-0.0011634546460736871,0.9988365453539263
2023-01-03,-0.0004215265008860496,0.9984155092800062
2023-01-04,-0.0020624078196044768,0.9963563693264528
2023-01-05,-0.000287209313274779,0.9960702064978416
2023-01-06,0.004101026036127588,1.0001551163485003
2023-01-09,0.0007575749072663263,1.00091280876802
2023-01-10,0.00017574328155264786,1.0010887124695809
2023-01-11,0.0017413417218934617,1.0028319500119207
2023-01-12,0.0025152459951408557,1.0053543190579874
2023-01-13,0.001381228720369556,1.006742943317618
2023-01-16,0.0006765331120678502,1.007424038254113
2023-01-17,0.0002981865737655097,1.007724438576409
2023-01-18,0.0009873146950355324,1.008719379723162
2023-01-19,-0.005522601533191425,1.0031486245301429
2023-01-20,0.0005465424110318354,1.0036968877980168
2023-01-23,0.0007781193025889271,1.0044778837203607
2023-01-24,0.0007615195616838381,1.0052428132780926
2023-01-25,0.0026342883949199212,1.0078909127551878
2023-01-26,0.0008677998002969617,1.008765560287998
2023-01-27,0.00116499853169839,1.0099407706845613
2023-01-30,-3.67065846201849e-05,1.009903699208201
2023-01-31,-0.0016879999208930662,1.0081989818438277
2023-02-01,0.0014755531838650195,1.009686633061457
2023-02-02,0.003295439445000353,1.0130139942191374
2023-02-03,-0.005381786499776161,1.0075621691809644
2023-02-06,-0.003993423724895289,1.0035385465102502
2023-02-07,0.0013230670074317868,1.004866295251824
2023-02-08,-0.0005303461510795012,1.0043333682797877
2023-02-09,0.0005911143876082207,1.004927044183733
2023-02-10,-9.956606961216178e-05,1.0048269875476967
2023-02-13,0.002792503669785451,1.007632970597923
2023-02-14,-0.0005189947097133448,1.0071100144168499
2023-02-15,-0.0018232863260458207,1.00527376449874
2023-02-16,-2.972513241957897e-05,1.0052438826029724
2023-02-17,0.0017086034725086966,1.006961445791506
2023-02-20,0.00038662051239157465,1.0073507577416363
2023-02-22,0.0009655545913402911,1.0083234098908638
2023-02-23,0.0002442917773986099,1.0085697350088587
2023-02-24,-0.0009311423928731142,1.0076306129724233
2023-02-27,2.9934781595202854e-05,1.0076607761747514
2023-02-28,0.0007206629319395108,1.00838695994411
2023-03-01,0.0006041157265972664,1.0089961423651077
2023-03-02,2.210302985396476e-05,1.009018444236965
2023-03-03,0.00019314664610875108,1.0092133327653312
2023-03-06,0.0013198311844858227,1.0105453239937137
2023-03-07,0.00027875736527610437,1.0108270209457222
2023-03-08,0.002837603278362377,1.013695347014215
2023-03-09,0.00016632076660296066,1.0138639456014322
2023-03-10,-0.0009631368281135956,1.012887455896727
2023-03-13,-0.003461890115281136,1.0093809508252658
2023-03-14,0.0007009650036491806,1.0100884915471444
2023-03-15,-0.0010213317686875302,1.0090568560815416
2023-03-16,0.0008621232610700712,1.0099267874689117
2023-03-17,0.0012583651336640113,1.011197644125816
2023-03-20,0.0012579093393430788,1.0124696390862835
2023-03-21,0.0001285649936371586,1.0125998072389903
2023-03-22,0.0004458659030423331,1.0130512909664655
2023-03-23,0.0006282468269715576,1.0136877372255746
