date,ret,equity
2000-01-03,0.0,1.0
2000-01-04,-0.008400401546152918,0.991599598453847
2000-01-05,-0.005134030797165636,0.9865086955769279
2000-01-06,0.0023428524454539553,0.9888199398868218
2000-01-07,0.004843922714076889,0.9936097072537717
2000-01-10,0.003330049869463288,0.9969184771297096
2000-01-11,-0.0012970234227312528,0.9956254505143187
2000-01-12,-0.0022554470591653873,0.993379870019926
2000-01-13,0.0033530335072833733,0.9967107060095636
2000-01-14,0.0053303487339283325,1.0020235216594344
2000-01-17,0.0012733406765024517,1.0032994389683756
2000-01-18,0.0010857829124930145,1.0043888043553213
2000-01-19,-0.0013685682144074349,1.003014229762774
2000-01-20,0.005047517472053169,1.0080769616122196
2000-01-21,0.0006758553116477643,1.008758275781275
2000-01-24,0.0037411046251916275,1.0125321460325005
2000-01-26,-0.0029252593748610627,1.0095702268799707
2000-01-27,0.0006443988098022798,1.0102207927325841
2000-01-28,-0.0030425321118052358,1.007147163530682
2000-01-31,-0.00374221330838927,1.0033782040118109
2000-02-01,0.0026359195285601766,1.0060230282142972
2000-02-02,0.0010634509340172076,1.0070928843432947
2000-02-03,0.003422581613669666,1.0105397419325057
2000-02-04,5.597043341189877e-05,1.0105963022798417
2000-02-07,0.0035756440535833875,1.014209834938662
2000-02-08,0.0003509408627994983,1.014565762613195
2000-02-09,0.0008057494582502125,1.01538324842678
2000-02-10,-0.0014808196821633848,1.0138796489275705
2000-02-11,0.001502521270874454,1.015403024666191
2000-02-14,-0.0011838105190254374,1.0142009798845408
2000-02-15,-0.0015290805725702461,1.0126501848695177
2000-02-16,0.0010713974214824058,1.0137351356664506
2000-02-17,2.435261371910645e-06,1.0137376043764679
2000-02-18,0.0011524050767088448,1.0149058407382021
2000-02-21,-0.0018998537089942196,1.0129776681123956
2000-02-22,-0.000879001565850213,1.0120872591559535
2000-02-23,-0.001408086050069234,1.0106621532048832
2000-02-24,0.0030536458923634737,1.0137483575375845
2000-02-25,0.001229870901808672,1.0149951371442762
2000-02-28,-0.0010425767943487063,1.0139369267679128
