cell_id,market,sma_n,rsi_k,dataset,window,rt_cost_bps,n_trades,pf,expectancy_bps,sharpe,net_ann_pct,maxdd_pct,monthly_mean_pct
WIN_SMA100_RSI5,WIN,100,5,proxy,DISCOVERY,1.5,48,1.263397332869347,17.48748622850852,0.13436031764293155,0.3885066383174429,-16.956102093149706,0.03812566817973681
WIN_SMA100_RSI5,WIN,100,5,proxy,DISCOVERY,1.0,48,1.2716529190117167,17.98748622850852,0.13820193089389424,0.40117243764672406,-16.922088553914673,0.03921611929690478
WIN_SMA100_RSI5,WIN,100,5,proxy,DISCOVERY,2.0,48,1.2551856687930076,16.98748622850852,0.13051870439196886,0.3758418041722278,-16.99010344772187,0.037035221608023805
WIN_SMA100_RSI5,WIN,100,5,proxy,CONFIRM,1.5,14,1.7620095305038856,47.68626559579038,0.33102946533359207,1.0623540713147195,-5.798313688563714,0.09995216285841911
WIN_SMA100_RSI5,WIN,100,5,proxy,CONFIRM,1.0,14,1.7708792362843364,48.186265595790395,0.3345003752611963,1.0740972558600737,-5.793313688563721,0.101000165840019
WIN_SMA100_RSI5,WIN,100,5,proxy,CONFIRM,2.0,14,1.7531600494585047,47.186265595790395,0.3275585554059881,1.0506116662965637,-5.808894644072047,0.09890417480219128
WIN_SMA100_RSI5,WIN,100,5,real_futures,REALCHECK,1.5,6,0.2718819087355914,-115.31772006285273,-0.5325804349362728,-2.026171542596278,-7.026057623020632,-0.23858838633693613
WIN_SMA100_RSI5,WIN,100,5,real_futures,REALCHECK,1.0,6,0.2735098937121613,-114.81772006285274,-0.5302712476116969,-2.0176738602209365,-7.007110980603448,-0.23755390357831632
WIN_SMA100_RSI5,WIN,100,5,real_futures,REALCHECK,2.0,6,0.2702607621168333,-115.81772006285274,-0.5348896222608488,-2.0346689184012945,-7.045001370992942,-0.23962286909555747
WIN_SMA100_RSI10,WIN,100,10,proxy,DISCOVERY,1.5,94,1.722128408889288,41.87069379091994,0.4306441385962099,1.9717959288845677,-20.574887296413934,0.17940860573651943
WIN_SMA100_RSI10,WIN,100,10,proxy,DISCOVERY,1.0,94,1.7329032327994378,42.370693790919944,0.4357866869946988,1.9969322699028513,-20.46663716471613,0.1815504676433257
WIN_SMA100_RSI10,WIN,100,10,proxy,DISCOVERY,2.0,94,1.71141666089044,41.37069379091993,0.42550159019772127,1.9466645301949193,-20.68299554605215,0.17726678251644626
WIN_SMA100_RSI10,WIN,100,10,proxy,CONFIRM,1.5,30,1.732433953320472,37.43744259231528,0.4493319847498242,1.7993231695664136,-6.992344199163433,0.16607049198807972
WIN_SMA100_RSI10,WIN,100,10,proxy,CONFIRM,1.0,30,1.7444005991887956,37.93744259231528,0.45533308890700364,1.8246951789308463,-6.959433328139673,0.16828449368600312
WIN_SMA100_RSI10,WIN,100,10,proxy,CONFIRM,2.0,30,1.7205373373287096,36.93744259231528,0.44333088059264464,1.7739562179116541,-7.025245092788321,0.1638565565386746
WIN_SMA100_RSI10,WIN,100,10,real_futures,REALCHECK,1.5,13,0.7131192937673233,-27.198704226363393,-0.21778228001310188,-1.1069443100267917,-8.905157604334264,-0.11053912202553563
WIN_SMA100_RSI10,WIN,100,10,real_futures,REALCHECK,1.0,13,0.7178207199790444,-26.6987042263634,-0.21377873855390975,-1.0885258831202949,-8.87738698488897,-0.10850629351272234
WIN_SMA100_RSI10,WIN,100,10,real_futures,REALCHECK,2.0,13,0.7084369015255993,-27.698704226363386,-0.22178582147229395,-1.1253602314575284,-8.932921171668829,-0.11257193491334729
WIN_SMA200_RSI5,WIN,200,5,proxy,DISCOVERY,1.5,47,3.211353703865927,75.92362658384516,0.6830842523135766,1.8515098485241355,-4.890320890391582,0.1658362570326256
WIN_SMA200_RSI5,WIN,200,5,proxy,DISCOVERY,1.0,47,3.2349191237260873,76.42362658384516,0.6875827482564648,1.8640178723201117,-4.875809420419926,0.16692976203643678
WIN_SMA200_RSI5,WIN,200,5,proxy,DISCOVERY,2.0,47,3.1879773685761448,75.42362658384516,0.6785857563706884,1.8390027396455455,-4.90483088483841,0.1647427590055592
WIN_SMA200_RSI5,WIN,200,5,proxy,CONFIRM,1.5,13,5.1724323352680495,95.0939977895159,1.0427230899970843,2.0539176390119263,-2.962832880031089,0.18468231972202864
WIN_SMA200_RSI5,WIN,200,5,proxy,CONFIRM,1.0,13,5.201461075281054,95.59399778951591,1.0482056815077763,2.0648739868770027,-2.9578328800310922,0.18565420758099446
WIN_SMA200_RSI5,WIN,200,5,proxy,CONFIRM,2.0,13,5.143501406490335,94.5939977895159,1.0372404984863928,2.0429619245095676,-2.9678328800310783,0.18371043932574838
WIN_SMA200_RSI5,WIN,200,5,real_futures,REALCHECK,1.5,3,0.948050545267805,-4.719044063207495,-0.018336597883676278,-0.05676159195519004,-2.7251743569983597,-0.017696415237027086
WIN_SMA200_RSI5,WIN,200,5,real_futures,REALCHECK,1.0,3,0.95346940846987,-4.219044063207486,-0.016393768187865667,-0.05247675758162096,-2.720174356998364,-0.015821415237030068
WIN_SMA200_RSI5,WIN,200,5,real_futures,REALCHECK,2.0,3,0.9426515301138628,-5.21904406320748,-0.0202794275794868,-0.061046457133784315,-2.730174356998359,-0.019571415237029655
WIN_SMA200_RSI10,WIN,200,10,proxy,DISCOVERY,1.5,96,1.8296585997794583,47.05304326042611,0.504451529761533,2.2869273306598714,-7.773683905024672,0.21063050372064776
WIN_SMA200_RSI10,WIN,200,10,proxy,DISCOVERY,1.0,96,1.840713818516535,47.553043260426115,0.5098119856938892,2.312663999206821,-7.699479460880972,0.2128713171343982
WIN_SMA200_RSI10,WIN,200,10,proxy,DISCOVERY,2.0,96,1.8186621097870985,46.55304326042612,0.4990910738291768,2.261195854643683,-7.847832420850945,0.20838974390132137
WIN_SMA200_RSI10,WIN,200,10,proxy,CONFIRM,1.5,31,1.6288610864662458,34.35900982663119,0.4178573740046283,1.6977880600225426,-11.706031464003,0.15729343736417595
WIN_SMA200_RSI10,WIN,200,10,proxy,CONFIRM,1.0,31,1.6395227316112941,34.8590098266312,0.4239381280210139,1.723987871083521,-11.687806596626277,0.1595815257453696
WIN_SMA200_RSI10,WIN,200,10,proxy,CONFIRM,2.0,31,1.6182496804574324,33.859009826631194,0.4117766199882429,1.6715936909654117,-11.724253511112737,0.15500542993738298
WIN_SMA200_RSI10,WIN,200,10,real_futures,REALCHECK,1.5,9,0.6085294092360755,-26.85119763793872,-0.2607908787042729,-0.7202400842420631,-4.115962647734716,-0.10068895187790629
