entry_date,exit_date,entry_price,exit_price,hold_days,gross_ret,exit_reason,net_ret
2000-08-03,2000-08-04,0.942440066357483,0.9337657135815428,1,0.009204142614040678,rsi_cross,0.009048428328326391
2000-08-16,2000-08-22,0.9389843447782138,0.9427880953979976,4,-0.0040509201680909435,rsi_cross,-0.0042237773109480865
2000-08-28,2000-08-30,0.9470699773273047,0.9454687208736043,2,0.0016907477715840669,rsi_cross,0.0015293192001554954
2000-09-15,2000-09-21,0.9510375413814385,0.9537494100902445,4,-0.002851484395523407,rsi_cross,-0.00302434153838055
2002-01-09,2002-01-15,1.0591210961891533,1.0525343717663216,4,0.006219047516409115,rsi_cross,0.006046190373551972
2002-01-28,2002-01-31,1.0704275734692328,1.0664508667359074,3,0.0037150638043048634,rsi_cross,0.0035479209471620064
2002-02-07,2002-02-13,1.077860976151931,1.0639504807552191,2,0.012905648970031214,rsi_cross,0.012744220398602641
2002-03-25,2002-03-26,1.0202552252179264,1.013635656111855,1,0.00648815016326687,rsi_cross,0.006332435877552584
2002-04-15,2002-04-26,0.9919397978626702,1.002689179741771,9,-0.010836728098078563,rsi_cross,-0.011038156669507136
2002-05-03,2002-05-16,1.025417984851713,1.047402850329837,9,-0.021439906265446673,rsi_cross,-0.021641334836875244
2003-01-20,2003-01-30,1.2905700587032247,1.3418338302450872,8,-0.039721804481790635,rsi_cross,-0.03991751876750492
2003-05-16,2003-05-22,1.0504936826560622,1.0507315048201697,4,-0.00022639085606512843,rsi_cross,-0.00039924799892227127
2003-07-10,2003-07-14,0.989503866841896,0.9820159706278692,2,0.007567323852836649,rsi_cross,0.007405895281408078
2003-07-30,2003-08-07,0.9964627802258651,1.0116164271883543,6,-0.015207439016492241,rsi_cross,-0.015391724730777956
2003-09-25,2003-09-30,0.9604162541133626,0.9561263270544255,3,0.004466737251232367,rsi_cross,0.00429959439408951
2003-10-20,2003-10-21,0.9343303654988151,0.9273165865027795,1,0.007506744140003518,rsi_cross,0.0073510298542892325
2003-11-11,2003-11-18,0.9284363275043346,0.9403589082417904,5,-0.012841570697156968,rsi_cross,-0.013020142125728397
2004-01-27,2004-02-03,0.8898586396842886,0.9103360593059941,5,-0.023011991690017997,rsi_cross,-0.023190563118589427
2004-02-19,2004-02-25,0.9099176674030479,0.9056359829313795,2,0.00470557350962153,rsi_cross,0.004544144938192959
2004-03-11,2004-03-15,0.8918017865998099,0.8871697409317065,2,0.005194030487160273,rsi_cross,0.005032601915731702
2004-03-25,2004-03-29,0.8931271189474146,0.8929966016273461,2,0.000146135211102294,rsi_cross,-1.5293360326277422e-05
2004-04-15,2004-04-23,0.8780343601177222,0.8789501257656928,5,-0.0010429724502440951,rsi_cross,-0.0012215438788155237
2004-04-29,2004-05-05,0.8875534909962643,0.8884602935247541,4,-0.0010216877491764365,rsi_cross,-0.0011945448920335792
2004-07-23,2004-07-28,0.8873684689136717,0.8886388330545194,3,-0.0014316083851872996,rsi_cross,-0.0015987512423301566
2004-12-08,2004-12-13,0.7663930284238882,0.7660499550282028,3,0.00044764681170306186,rsi_cross,0.00028050395456020473
2005-01-06,2005-01-07,0.7458171351615375,0.7406027499079131,1,0.006991506373066891,rsi_cross,0.0068357920873526054
2005-02-25,2005-02-28,0.7080594209720095,0.6976942629430026,1,0.014638825107047837,rsi_cross,0.01448311082133355
2005-03-03,2005-03-11,0.7165629659195788,0.7227163344864928,6,-0.008587338251589971,rsi_cross,-0.008771623965875686
2005-07-25,2005-07-28,0.6148027902843854,0.6118018539665678,3,0.0048811364639862465,rsi_cross,0.004713993606843389
2005-08-19,2005-08-26,0.6087958563712972,0.6023751976586467,5,0.010546488852471114,rsi_cross,0.010367917423899685
2005-10-05,2005-10-07,0.5577016978717915,0.5557279123297532,2,0.003539142071057544,rsi_cross,0.0033777134996289724
2005-10-27,2005-10-31,0.5571643307512921,0.5490648699180457,2,0.014536933515332806,rsi_cross,0.014375504943904233
2005-11-22,2005-11-25,0.5442085870573466,0.5389663973655228,3,0.009632684629563681,rsi_cross,0.009465541772420823
2005-12-09,2005-12-21,0.5390124404600308,0.5541572807537477,8,-0.028097385434724398,rsi_cross,-0.028293099720438683
