thesis,market,stage,param_a_name,param_a,param_b_name,param_b,metric,point_bps,ci_lo_bps,ci_hi_bps,n,gate_pass,note
S4_DOW,WIN,DISCOVERY,spread,Wed-Mon,,,spread_best_minus_worst_bps,17.6297,1.5915,33.0882,1892,,
S4_DOW,WIN,H1,best_day,Fri,,,mean_ret_bps,12.6344,,,492,,
S4_DOW,WIN,H1,worst_day,Mon,,,mean_ret_bps,-16.4744,,,492,,
S4_DOW,WIN,H2,best_day,Wed,,,mean_ret_bps,3.9274,,,451,,
S4_DOW,WIN,H2,worst_day,Mon,,,mean_ret_bps,-6.9959,,,443,,
S2,WDO,DISCOVERY,L,21,F,5,spread_up_minus_down_bps_per_day,8.3409,2.0432,15.1491,935,,
S2,WDO,H1,L,21,F,5,spread_up_minus_down_bps_per_day,10.1287,-0.3322,21.2971,491,,
S2,WDO,H2,L,21,F,5,spread_up_minus_down_bps_per_day,5.5877,-1.2518,12.7996,444,,
S2,WDO,CONFIRM,L,21,F,5,spread_up_minus_down_bps_per_day,-3.4597,-13.4116,6.4544,294,False,
S2,WDO,DISCOVERY,L,21,F,21,spread_up_minus_down_bps_per_day,8.4205,2.1978,14.9517,222,,
S2,WDO,H1,L,21,F,21,spread_up_minus_down_bps_per_day,9.5507,0.0285,20.3315,117,,
S2,WDO,H2,L,21,F,21,spread_up_minus_down_bps_per_day,6.3911,-0.8213,13.6826,105,,
S2,WDO,CONFIRM,L,21,F,21,spread_up_minus_down_bps_per_day,-1.7558,-12.1768,7.8408,70,False,
S2,WDO,DISCOVERY,L,63,F,5,spread_up_minus_down_bps_per_day,12.0529,4.8908,19.8314,927,,
S2,WDO,H1,L,63,F,5,spread_up_minus_down_bps_per_day,16.288,2.7884,30.1655,483,,
S2,WDO,H2,L,63,F,5,spread_up_minus_down_bps_per_day,7.4058,0.0729,15.5721,444,,
S2,WDO,CONFIRM,L,63,F,5,spread_up_minus_down_bps_per_day,1.2973,-8.5576,11.6583,285,True,
S2,WDO,DISCOVERY_G3,L,63,F,5,spread_up_minus_down_bps_per_day_g3,6.2023,1.4488,11.1941,881,True,n_removed=46
S2,WDO,REAL_CHECK,L,63,F,5,spread_up_minus_down_bps_per_day,1.5432,-11.4161,13.8982,159,True,
S2,WDO,DISCOVERY,L,63,F,21,spread_up_minus_down_bps_per_day,5.0654,-1.2108,11.9301,220,,
S2,WDO,H1,L,63,F,21,spread_up_minus_down_bps_per_day,11.5799,0.4423,23.7393,115,,
