market,L,F,vol_target,period,rt_bps,net_ann_pct,sharpe,maxdd_pct,pf,monthly_mean_pct,n_trades
WIN,63,5,off,DISCOVERY_2000_2018,1.0,-5.7332892528602075,-0.07215065798715826,-78.07273107074894,0.9876386572039176,-0.16743812716075723,927
WIN,63,5,off,DISCOVERY_2000_2018,1.5,-5.967656018711287,-0.08106906336855399,-79.00864474594022,0.9861217319707726,-0.18812143725827069,927
WIN,63,5,off,DISCOVERY_2000_2018,2.0,-6.201451793113943,-0.08998686413902274,-79.90465507136267,0.9846072985869733,-0.2088006662032127,927
WIN,63,5,off,CONFIRM_2019_2024,1.0,-1.5429120395836327,0.0596106490103038,-41.91975261159615,1.0113325971499851,0.1226697250544806,299
WIN,63,5,off,CONFIRM_2019_2024,1.5,-1.7912271836224347,0.04937952259562374,-42.58480004686385,1.009378251931978,0.10160502795466542,299
WIN,63,5,off,CONFIRM_2019_2024,2.0,-2.03892843377258,0.039148250879430885,-43.24226509794566,1.0074277553300683,0.08054455163826191,299
WIN,63,5,off,FULL_2000_2024,1.0,-4.739873283662299,-0.043177504596304435,-78.07273107074894,0.9924294649373397,-0.09758560875078315,1226
WIN,63,5,off,FULL_2000_2024,1.5,-4.977533175010729,-0.052373667525459945,-79.00864474594022,0.9908247150915137,-0.11836066870183348,1226
WIN,63,5,off,FULL_2000_2024,2.0,-5.214611994034046,-0.06156935764572076,-79.90465507136267,0.9892227099684454,-0.13913161409108143,1226
WIN,63,5,10%,DISCOVERY_2000_2018,1.0,-0.0923808097186063,0.04546037319228677,-34.952432948833525,1.0076023483737282,0.04096069994679041,927
WIN,63,5,10%,DISCOVERY_2000_2018,1.5,-0.340567809869996,0.022459647332027273,-35.671197755516104,1.0037484714729168,0.020236271622930957,927
WIN,63,5,10%,DISCOVERY_2000_2018,2.0,-0.5881506421257843,-0.0005372566080950423,-36.382055713951786,0.9999105122328543,-0.00048406784083354637,927
WIN,63,5,10%,CONFIRM_2019_2024,1.0,-1.251457869957051,-0.05920200404041709,-21.551588847636836,0.9902966007770516,-0.054354489240304726,299
WIN,63,5,10%,CONFIRM_2019_2024,1.5,-1.5005423421656006,-0.08211260764995504,-21.868932189921843,0.9865667473545284,-0.07538371426127899,299
WIN,63,5,10%,CONFIRM_2019_2024,2.0,-1.7490109317134461,-0.10502105179648735,-22.185007585398786,0.9828513599020413,-0.09640872525140676,299
WIN,63,5,10%,FULL_2000_2024,1.0,-0.37299611357290985,0.019863588647752436,-36.36972760912427,1.003305236879784,0.017978590427936147,1226
WIN,63,5,10%,FULL_2000_2024,1.5,-0.6214044702183119,-0.0031150495289752373,-38.13354815522113,0.9994826813783089,-0.00281935660940702,1226
WIN,63,5,10%,FULL_2000_2024,2.0,-0.86920582924912,-0.02609027759497067,-39.84856047854747,0.9956757056282303,-0.02361318477906993,1226
WIN,63,21,off,DISCOVERY_2000_2018,1.0,-4.156097697804151,-0.012655257950256106,-72.02961775500329,0.9978205694221345,-0.02938705867165936,221
WIN,63,21,off,DISCOVERY_2000_2018,1.5,-4.212953975883615,-0.014781938485020628,-72.09973799684126,0.9974547943397364,-0.03432489600069255,221
WIN,63,21,off,DISCOVERY_2000_2018,2.0,-4.269779370145854,-0.016908584121008034,-72.16968595912361,0.9970891598418816,-0.039262501048897835,221
WIN,63,21,off,CONFIRM_2019_2024,1.0,-18.614766566598718,-0.7096862051622774,-76.43836245912784,0.8743965695828025,-1.448140210546467,71
WIN,63,21,off,CONFIRM_2019_2024,1.5,-18.66362914469015,-0.7121124416291563,-76.51616360195979,0.873999027750169,-1.4530678052923296,71
WIN,63,21,off,CONFIRM_2019_2024,2.0,-18.712464831673636,-0.7145383046640451,-76.59371172366914,0.8736016930524928,-1.457995165389947,71
WIN,63,21,off,FULL_2000_2024,1.0,-7.860356046827444,-0.1653204446412949,-89.28357858817509,0.9713210762207211,-0.3731232034160037,292
WIN,63,21,off,FULL_2000_2024,1.5,-7.915174105020029,-0.16750997758512723,-89.41209474499227,0.9709470570808718,-0.37805863437315734,292
WIN,63,21,off,FULL_2000_2024,2.0,-7.969962292059196,-0.1696994147328711,-89.53907599800685,0.9705731926721362,-0.3829938324756421,292
WIN,63,21,10%,DISCOVERY_2000_2018,1.0,0.5444976619833897,0.10433420640235433,-34.90231691605838,1.0178006460769118,0.09598401969059811,221
WIN,63,21,10%,DISCOVERY_2000_2018,1.5,0.4848990633022021,0.09896092380897362,-34.990364295193054,1.0168760886547656,0.09104028496926819,221
WIN,63,21,10%,DISCOVERY_2000_2018,2.0,0.4253328135900736,0.09358761880935415,-35.078296991626765,1.015952353800643,0.08609678279209998,221
WIN,63,21,10%,CONFIRM_2019_2024,1.0,-7.634105797721247,-0.6022178533908346,-45.49785370256495,0.8986166251968001,-0.5998105561290212,71
WIN,63,21,10%,CONFIRM_2019_2024,1.5,-7.689517719652661,-0.60720736828012,-45.67762723251945,0.897829012438486,-0.6047785393329619,71
WIN,63,21,10%,CONFIRM_2019_2024,2.0,-7.744899169654751,-0.6121954549882139,-45.85681674106793,0.8970422395683518,-0.6097462860623848,71
WIN,63,21,10%,FULL_2000_2024,1.0,-1.4907503093221086,-0.07683129768658743,-50.664071421864975,0.9869266963706589,-0.07214911379443967,292
WIN,63,21,10%,FULL_2000_2024,1.5,-1.5493124849533246,-0.08210251752397739,-50.91769074995673,0.9860364095010155,-0.07709874374906,292
WIN,63,21,10%,FULL_2000_2024,2.0,-1.607842773443735,-0.08737334271219578,-51.17001890076243,0.9851470481579065,-0.08204814021264273,292
WIN,126,5,off,DISCOVERY_2000_2018,1.0,-5.092664721405171,-0.051594741974553694,-78.06790066510504,0.99106863213589,-0.11834799981813582,915
WIN,126,5,off,DISCOVERY_2000_2018,1.5,-5.325211658883977,-0.060506460484022966,-78.9835366454134,0.9895338799509309,-0.13877315161889836,915
WIN,126,5,off,DISCOVERY_2000_2018,2.0,-5.557200382735672,-0.06941847800707279,-79.86098899292394,0.9880013920653683,-0.1591943254652728,915
WIN,126,5,off,CONFIRM_2019_2024,1.0,-13.23061629025133,-0.451511317155139,-66.12577600478194,0.9181594513301438,-0.9242038041057832,298
WIN,126,5,off,CONFIRM_2019_2024,1.5,-13.448874212296912,-0.4617096892208049,-66.52021062545528,0.9163847252609083,-0.9449889435138248,298
WIN,126,5,off,CONFIRM_2019_2024,2.0,-13.666594015805956,-0.47190718865927866,-66.91007181693436,0.9146136611541693,-0.9657699300039013,298
WIN,126,5,off,FULL_2000_2024,1.0,-7.121425409050608,-0.1400268578241843,-90.80290681264869,0.9754916179377449,-0.3131556272482072,1213
WIN,126,5,off,FULL_2000_2024,1.5,-7.350459395227437,-0.1492160653685243,-91.31253283579048,0.9739037241766497,-0.3336681750196302,1213
WIN,126,5,off,FULL_2000_2024,2.0,-7.578940007479751,-0.15840535738483555,-91.79394304479678,0.9723183211136451,-0.3541767028811593,1213
WIN,126,5,10%,DISCOVERY_2000_2018,1.0,-0.7409720336174819,-0.015228936207732417,-39.139828342076946,0.9974397828798655,-0.013664163630544568,915
WIN,126,5,10%,DISCOVERY_2000_2018,1.5,-0.984249065001519,-0.038020271413052774,-41.348077847712176,0.9936200814870415,-0.03410970280053327,915
WIN,126,5,10%,DISCOVERY_2000_2018,2.0,-1.2269419610784205,-0.06081197760100589,-43.47630774962038,0.9898145179520668,-0.05455126024414003,915
WIN,126,5,10%,CONFIRM_2019_2024,1.0,-5.859084979969631,-0.49669094551343473,-40.060929119509346,0.9215763507310704,-0.4521437548043683,298
WIN,126,5,10%,CONFIRM_2019_2024,1.5,-6.095718222628532,-0.5197020376972662,-40.752420650702184,0.9180913144164248,-0.4730232017279956,298
WIN,126,5,10%,CONFIRM_2019_2024,2.0,-6.331768451269204,-0.5427105724907522,-41.44173885740854,0.9146185448130218,-0.4938984778348865,298
WIN,126,5,10%,FULL_2000_2024,1.0,-1.9995067352126972,-0.13273716917586065,-58.674495416163055,0.9780313655225428,-0.11952055624140367,1213
WIN,126,5,10%,FULL_2000_2024,1.5,-2.2411797120034604,-0.1555793086547602,-60.73754740411952,0.974298358589989,-0.1400710493603463,1213
WIN,126,5,10%,FULL_2000_2024,2.0,-2.4822687539642896,-0.17842108598817377,-62.70137852460928,0.970579172649825,-0.16061751550521253,1213
WIN,126,21,off,DISCOVERY_2000_2018,1.0,-7.06672620648644,-0.12791163903368705,-86.58934267512426,0.9780041342904576,-0.29316409567085033,218
WIN,126,21,off,DISCOVERY_2000_2018,1.5,-7.121054637883695,-0.13003472989070705,-86.70687623912394,0.9776430870447025,-0.29802266444474146,218
WIN,126,21,off,DISCOVERY_2000_2018,2.0,-7.1753540243218,-0.13215777911717252,-86.82338551952455,0.9772821691356405,-0.3028810077407518,218
WIN,126,21,off,CONFIRM_2019_2024,1.0,-24.65733579273396,-1.023463578132154,-83.34091203839786,0.8239205897919586,-2.079864022605593,71
WIN,126,21,off,CONFIRM_2019_2024,1.5,-24.702614973624126,-1.0258830324480355,-83.3976274121329,0.8235444580516633,-2.0847615306170297,71
WIN,126,21,off,CONFIRM_2019_2024,2.0,-24.747869210987872,-1.0283019326070362,-83.45415253037501,0.8231685081554793,-2.0896588053419762,71
WIN,126,21,off,FULL_2000_2024,1.0,-11.650163245646484,-0.3256005758903911,-97.41148577416298,0.9439339964849638,-0.726637716083578,289
WIN,126,21,off,FULL_2000_2024,1.5,-11.702161047806324,-0.32778908548729957,-97.44328815405574,0.9435679509697145,-0.7315059328151241,289
WIN,126,21,off,FULL_2000_2024,2.0,-11.754130847181788,-0.3299774596747442,-97.47470137401434,0.9432020467186986,-0.7363739221841747,289
WIN,126,21,10%,DISCOVERY_2000_2018,1.0,-2.6521746386983347,-0.1899656496811583,-58.48625323648893,0.9681390531635473,-0.17363400202393686,218
WIN,126,21,10%,DISCOVERY_2000_2018,1.5,-2.7090778948019256,-0.1952923939184832,-58.8500022646953,0.9672601081762174,-0.17849811781478486,218
WIN,126,21,10%,DISCOVERY_2000_2018,2.0,-2.765950731995004,-0.20061870613126173,-59.210582026929195,0.9663820708405464,-0.18336200788320323,218
WIN,126,21,10%,CONFIRM_2019_2024,1.0,-12.09136214203449,-1.0160358507123737,-56.5955129683015,0.8348857376952789,-1.0087525399130715,71
WIN,126,21,10%,CONFIRM_2019_2024,1.5,-12.1441492729512,-1.0209911967616014,-56.72149689696624,0.8341535660009303,-1.0137010556959036,71
WIN,126,21,10%,CONFIRM_2019_2024,2.0,-12.196907348269391,-1.025943984695758,-56.84712143727242,0.8334221154289237,-1.0186493358843918,71
WIN,126,21,10%,FULL_2000_2024,1.0,-5.016158950024508,-0.40209923588526064,-80.35344520699826,0.9330501734087444,-0.37553746231390184,289
WIN,126,21,10%,FULL_2000_2024,1.5,-5.072045350578868,-0.4073338899648387,-80.59472429346101,0.932208471286998,-0.3804220752375631,289
WIN,126,21,10%,FULL_2000_2024,2.0,-5.127901662223733,-0.4125674989921198,-80.83305208463322,0.9313677376169995,-0.38530646007133296,289
