stream,period,rt_bps,net_ann_pct,sharpe,maxdd_pct,pf,monthly_mean_pct,n_trades
Combo_A_50_50_sem_voltgt,DISCOVERY_2000_2018,1.0,4.326853645429729,0.33283258026972773,-30.925584742009406,1.0616112499784303,0.47706422051732034,1830
Combo_A_50_50_sem_voltgt,DISCOVERY_2000_2018,1.5,4.071328375311967,0.31854903169200954,-31.170650241030764,1.058891145557488,0.45652312462440836,1830
Combo_A_50_50_sem_voltgt,DISCOVERY_2000_2018,2.0,3.8164162346152164,0.3042630020090711,-31.414858490304308,1.05617754165073,0.43598602813492704,1830
Combo_A_50_50_sem_voltgt,CONFIRM_2019_2024,1.0,-5.0056417140479486,-0.26028536408303404,-38.490841930414334,0.9517531179407733,-0.3306005212233454,596
Combo_A_50_50_sem_voltgt,CONFIRM_2019_2024,1.5,-5.244519747460119,-0.27676360543170936,-39.18218411276585,0.9487798277432092,-0.35150424643816125,596
Combo_A_50_50_sem_voltgt,CONFIRM_2019_2024,2.0,-5.482808991100486,-0.29323973208163273,-39.86578984220436,0.9458167848240886,-0.3724037962290816,596
Combo_A_50_50_sem_voltgt,FULL_2000_2024,1.0,1.9967748812692587,0.2019347486341724,-50.81554746240917,1.0374374907426906,0.2818214172847888,2426
Combo_A_50_50_sem_voltgt,FULL_2000_2024,1.5,1.7453492592949482,0.18717826273057597,-52.393363539395274,1.034654696146919,0.26119228705485664,2426
Combo_A_50_50_sem_voltgt,FULL_2000_2024,2.0,1.494530888670087,0.17242011615324132,-53.920639099640375,1.0318790444105062,0.2405671984365254,2426
Combo_B_50_50_voltgt10pct,DISCOVERY_2000_2018,1.0,5.514867598019846,0.6793168178716692,-15.62706992691677,1.1241004639416572,0.47811282810781286,1830
Combo_B_50_50_voltgt10pct,DISCOVERY_2000_2018,1.5,5.256363053948587,0.6502502166697651,-15.840092392640004,1.1184986035910467,0.45757152804939416,1830
Combo_B_50_50_voltgt10pct,DISCOVERY_2000_2018,2.0,4.99847895605865,0.6211699886068721,-16.151088464964925,1.112919279129893,0.4370342274321537,1830
Combo_B_50_50_voltgt10pct,CONFIRM_2019_2024,1.0,-1.771471087515386,-0.17743513188775167,-25.5275686035774,0.9702368512008515,-0.12097391312220207,596
Combo_B_50_50_voltgt10pct,CONFIRM_2019_2024,1.5,-2.0184081832953726,-0.20817031568997907,-26.132506949494395,0.9651759459196115,-0.14191950799300468,596
Combo_B_50_50_voltgt10pct,CONFIRM_2019_2024,2.0,-2.264736806354617,-0.23889984946980777,-26.73592178627181,0.9601427374231478,-0.1628609194951669,596
Combo_B_50_50_voltgt10pct,FULL_2000_2024,1.0,3.71063267435523,0.47718640908540766,-25.527568603577635,1.085403590577937,0.3334003582223799,2426
Combo_B_50_50_voltgt10pct,FULL_2000_2024,1.5,3.4549492597201192,0.4477157898594914,-26.249953823941507,1.0799270009285555,0.31276112293849856,2426
Combo_B_50_50_voltgt10pct,FULL_2000_2024,2.0,3.1998834609562765,0.4182358417870311,-27.486226307436713,1.0744753860406575,0.2921259311470026,2426
