test,asset,grid,tf,split,n_round,n_placebo,efeito_round,efeito_placebo,diff,ci_lo,ci_hi,fwd1_round,fwd1_placebo,n_discarded_rollover_round,n_discarded_rollover_placebo
T6_reject,WIN,g5000,D1,discovery,86,95,49.3170203080653,18.84122538657715,30.475794921488152,-27.823110528534578,95.33804743490805,14.034310597284703,7.311822385570564,19,30
T6_reject,WIN,g5000,D1,confirm,20,32,-16.94322888131822,14.188835468629572,-31.13206434994779,-87.714638661911,29.1464316120536,15.206699704455374,6.51366638942063,19,30
T6_reject,WDO,g50,D1,discovery,294,294,7.677761005364112,-0.04531645945468895,7.723077464818801,-18.71348144729853,35.282711350624716,12.410752727248264,-3.3647549541644235,149,153
T6_reject,WDO,g50,D1,confirm,117,101,-0.6576101611990146,1.9187405847513523,-2.576350745950367,-39.66310336022741,32.74737684779183,-8.381646344666109,5.416001173164044,149,153
