test,asset,grid,tf,split,n_round,n_placebo,efeito_round,efeito_placebo,diff,ci_lo,ci_hi,ks_stat,ks_pvalue,mean_dist_atr_round,mean_dist_atr_placebo
T4_barrier,WIN,g5000,D1,discovery,519,519,0.09441233140655106,0.10404624277456648,-0.009633911368015419,-0.04816955684007708,0.028901734104046242,0.0674373795761079,0.18871820823773494,0.5693876341649453,0.5857098201145657
T4_barrier,WIN,g5000,D1,confirm,221,221,0.049773755656108594,0.15384615384615385,-0.10407239819004527,-0.16300904977375566,-0.04977375565610859,0.19004524886877827,0.0006627293094335413,0.8646447433273703,0.6602335508560816
T4_barrier,WDO,g50,D1,discovery,477,477,0.11320754716981132,0.1320754716981132,-0.018867924528301883,-0.0629454926624738,0.025157232704402524,0.0880503144654088,0.04949493702428183,0.17727653049938766,0.1630997179353937
T4_barrier,WDO,g50,D1,confirm,206,206,0.11165048543689321,0.10194174757281553,0.00970873786407768,-0.053398058252427175,0.0728155339805825,0.07281553398058252,0.6469610717995885,0.22173590055514023,0.20966180073205673
