test,asset,grid,tf,split,n_round,n_placebo,efeito_round,efeito_placebo,diff,ci_lo,ci_hi,primary_horizon_min,range_horizon_min,fwd_vshort_round,fwd_vshort_placebo,fwd_short_round,fwd_short_placebo,fwd_long_round,fwd_long_placebo,range_v_atr_round,range_v_atr_placebo,range_v_atr_diff,range_v_atr_ci_lo,range_v_atr_ci_hi
T2_cascade,WIN,g500,M5,discovery,564,573,-2.6305779770505544,-1.6839034821115033,-0.9466744949390511,-4.44006597605024,3.040476652055038,30,15,-1.8610573040162322,-0.8575181758439812,-2.659633571347647,-1.8851191208395641,-1.6836924812346938,-0.5064344793249334,0.2686358370716217,0.2633107084496432,0.005325128621978481,-0.013754429665025393,0.02544786623382715
T2_cascade,WIN,g500,M5,confirm,450,447,-0.6896963374598823,0.22897869537437665,-0.918675032834259,-3.7840215274043865,1.992775274043687,30,15,0.5651174381903706,0.42616767753787016,-0.08718246807682568,0.01174335715972702,-0.6709969190879452,-0.9269821319631386,0.2722508453876271,0.25881392793469543,0.013436917452931685,-0.013040951131769072,0.038353270027116096
T2_cascade,WIN,g1000,M5,discovery,287,277,-4.938690934983924,-0.23913964157446171,-4.6995512934094625,-10.062469952395091,0.956554857664003,30,15,-2.536534963117639,-1.1611941698570127,-3.7295171143803487,-1.5511260736928263,-3.4563936062969183,0.15300507433519264,0.26542768258886096,0.27195980940574555,-0.006532126816884587,-0.0348223858098744,0.021859337156083236
T2_cascade,WIN,g1000,M5,confirm,224,226,-0.7930790014345896,-0.5872285643168101,-0.2058504371177795,-4.585800951608889,3.96853724009908,30,15,0.5204154400359233,0.6094238434407958,0.43217492183113354,-0.6019437748882549,-1.225220926010453,-0.121677549394841,0.2716549545115324,0.2728414628931371,-0.0011865083816047228,-0.03891717032606595,0.03758359188781148
T2_cascade,WIN,g500,M15,discovery,1330,1324,-0.2938073000469328,0.5065884127774175,-0.8003957128243503,-3.20430800734715,1.6179130780505369,30,15,0.0,0.0,0.3363691096158616,0.47420372815403095,-0.22477399304003626,0.2121794266625364,0.3211590668766953,0.3248720158771667,-0.003712949000471366,-0.018393417622026866,0.010112664135668295
T2_cascade,WIN,g500,M15,confirm,404,416,-0.952671904333886,-0.43838955697622384,-0.5142823473576622,-3.091859578844387,2.4434832286814134,30,15,0.0,0.0,-1.2414001771484007,-0.119021004439155,-0.9394079667258602,-1.1296336816314887,0.337775471734379,0.33692175463319063,0.0008537171011883671,-0.031078918077889522,0.03547482834773539
T2_cascade,WIN,g1000,M15,discovery,667,663,-0.03200555562642316,-0.5571885421713363,0.5251829865449131,-3.1409215042471335,4.129595998056841,30,15,0.0,0.0,-0.11322225701430653,0.7886729430130293,1.0422469345277394,-1.4994390890999256,0.3231739738756578,0.31913200357607985,0.004041970299577979,-0.01560267193568187,0.023746949166438436
T2_cascade,WIN,g1000,M15,confirm,199,205,-1.4636127385006656,-0.45668543604515927,-1.0069273024555063,-5.299308570231169,3.1942360070137323,30,15,0.0,0.0,-1.6636312452348159,-0.8315270915425634,-2.4668294015100147,0.543308450454856,0.3488638651742171,0.3270116166391216,0.021852248535095486,-0.02452213155578641,0.06969303472977127
T2_cascade,WIN,g500,H1,discovery,1054,1042,1.659446770218238,1.622814703331989,0.03663206688624898,-4.7144183328918645,4.156708557181425,120,60,0.0,0.0,1.089047135197291,0.969600353460356,1.310573835161935,-0.5891214433350656,0.5521037119167062,0.5558361145833522,-0.003732402666646095,-0.02716313703169462,0.02170224517743279
T2_cascade,WIN,g500,H1,confirm,300,304,-1.7597880984799272,1.0260351083344874,-2.7858232068144146,-7.594952077741015,1.7147869324758012,120,60,0.0,0.0,-3.0942793124022145,-0.9903308535472384,-1.037021228282682,1.556111030368915,0.5308295250923487,0.5356145188209652,-0.004784993728616516,-0.05451685866994238,0.04285649387868461
