config_id,asset,arm,tf,family,split,n_trades,win_rate,pf_gross,pf_net2,pf_net4,pf_net6,exp_gross_bps,exp_net6_bps,avg_hold_bars,pf_net6_ex_top2,pf_net6_ex_top3,pior_ano_pf_net6,max_dd_bps
WIN_A_G1_T1,WIN,A,M15,G1_T1,discovery,257,0.38132295719844356,0.9614791138725788,0.8879813517510552,0.8207530211953559,0.7593476921356573,-0.9807731299828976,-6.9807731299828975,13.17509727626459,0.6918687977005334,0.6660144329703899,0.6611960752524129,2291.9358215466827
WIN_A_G1_T1,WIN,A,M15,G1_T1,confirm,110,0.37272727272727274,1.135852013124589,1.004527998916749,0.8910188193994902,0.7922337331663917,2.074530994802926,-3.9254690051970726,14.836363636363636,0.6738674441546124,0.6252122314948627,0.7922337331663917,627.7207583085533
WIN_A_G1_T2,WIN,A,M15,G1_T2,discovery,76,0.47368421052631576,0.909622681084747,0.8501776535864057,0.7945290319158791,0.7423446944676413,-2.8069255380618725,-8.806925538061872,15.43421052631579,0.6140668894096865,0.5629400461205889,0.5667995403804251,1083.2475651007467
WIN_A_G1_T2,WIN,A,M15,G1_T2,confirm,35,0.4857142857142857,1.8792921288086737,1.6752900653477378,1.4965375193089836,1.3406205069553043,11.484995978822482,5.484995978822481,20.571428571428573,0.9038655401520278,0.721562699328946,1.3406205069553043,201.84007491637539
WIN_A_G1_T3,WIN,A,M15,G1_T3,discovery,498,0.3393574297188755,0.8958618737599118,0.8196813357194288,0.7513035088363805,0.6896719365099755,-2.4182645755420435,-8.418264575542045,8.76706827309237,0.652434162447123,0.6365490656296202,0.621627067873064,4481.304552301737
WIN_A_G1_T3,WIN,A,M15,G1_T3,confirm,171,0.36257309941520466,1.0722117082094513,0.9209928206727658,0.7948662991253664,0.6884841467489837,0.909244858832219,-5.090755141167782,10.397660818713451,0.6013830513558065,0.5647485738265965,0.6884841467489837,923.8658224207106
WIN_A_G1_T4,WIN,A,M15,G1_T4,discovery,305,0.4098360655737705,0.9287985389051949,0.8724581041365185,0.8197224764522439,0.7704573075053225,-2.34990798654159,-8.34990798654159,20.504918032786886,0.7264477777491629,0.7057408352745844,0.6662815321597163,2673.055130195934
WIN_A_G1_T4,WIN,A,M15,G1_T4,confirm,129,0.3953488372093023,0.8295651717352323,0.7541566950272784,0.6859969017462404,0.6245151115412982,-3.906786877902799,-9.9067868779028,22.558139534883722,0.5434526666704459,0.5072040526485561,0.6245151115412982,1522.8756661318764
WIN_A_G2_T1,WIN,A,M15,G2_T1,discovery,285,0.3929824561403509,1.0554016043929138,0.9779162053742964,0.9069269090871839,0.8418418789563678,1.4118091392413408,-4.58819086075866,13.456140350877194,0.7709565776321424,0.7422193663925354,0.7270617860597103,1974.5389923871364
WIN_A_G2_T1,WIN,A,M15,G2_T1,confirm,119,0.3697478991596639,1.0128422291149435,0.8945269450263864,0.7919846752002678,0.7025185708638031,0.20330529361113098,-5.796694706388869,14.647058823529411,0.6072838176607118,0.5702324983127158,0.7025185708638031,974.1768415571933
