date,year,weekday,open_0900,close_0915,close_prev_day,ret_first,ret_on_first,ret_on,ret_last,ret_last_method,vol_prev_range_pct,vol_tercile
2021-07-20,2021,Tuesday,125680.0,125205.0,125060.0,-0.0037794398472310586,0.0011594434671358123,0.00495762034223568,-0.0008751690667515577,fallback_17:15:00_17:45:00,0.012264529058116232,low
2021-07-21,2021,Wednesday,125750.0,126015.0,125580.0,0.0021073558648110335,0.0034639273769707657,0.0013537187450229915,-0.00023723854335533368,fallback_17:15:00_17:45:00,0.017146721833227244,mid
2021-07-22,2021,Thursday,126450.0,126430.0,126425.0,-0.00015816528272039054,3.9549139806194233e-05,0.00019774569903097117,-0.0004738026611915691,fallback_17:15:00_17:45:00,0.00779324055666004,low
2021-07-23,2021,Friday,126900.0,126645.0,126575.0,-0.0020094562647754444,0.0005530317993285294,0.002567647639739379,-0.001796981071799375,fallback_17:15:00_17:45:00,0.008936338473705022,low
2021-07-26,2021,Monday,125110.0,125200.0,124985.0,0.0007193669570777494,0.001720206424770998,0.0010001200144016398,-0.00043557456244558423,fallback_17:15:00_17:45:00,0.01780929866036249,mid
2021-07-27,2021,Tuesday,125865.0,125585.0,126215.0,-0.0022246057283596965,-0.004991482787307322,-0.0027730459929485862,-0.00036054803301022176,fallback_17:15:00_17:45:00,0.012508992086963473,low
2021-07-28,2021,Wednesday,125260.0,125665.0,124765.0,0.0032332747884400437,0.007213561495611698,0.003967458822586423,-0.0024089724350366826,fallback_17:15:00_17:45:00,0.01596949112143964,mid
2021-07-29,2021,Thursday,126415.0,126960.0,126305.0,0.004311197247162113,0.005185859625509659,0.000870907723367953,-0.001591216485002822,fallback_17:15:00_17:45:00,0.014529778061631806,mid
2021-07-30,2021,Friday,124840.0,124505.0,125490.0,-0.002683434796539541,-0.007849231014423474,-0.005179695593274358,0.0022939537932165077,fallback_17:15:00_17:45:00,0.01586045959735791,mid
2021-08-02,2021,Monday,123695.0,123400.0,122340.0,-0.0023848983386555167,0.008664377963053749,0.011075690698054697,0.0028902910645227653,fallback_17:15:00_17:45:00,0.027595322012175585,high
2021-08-03,2021,Tuesday,123220.0,122690.0,123180.0,-0.004301249797110884,-0.0039779184932619005,0.00032472804026628665,-0.0023477979274610927,fallback_17:15:00_17:45:00,0.022798011237317596,high
2021-08-04,2021,Wednesday,123230.0,123320.0,123230.0,0.0007303416375883387,0.0007303416375883387,0.0,0.0013951579811244397,fallback_17:15:00_17:45:00,0.024874208732348645,high
2021-08-05,2021,Thursday,123250.0,123600.0,122020.0,0.0028397565922921864,0.012948696934928616,0.010080314702507698,-0.003292181069958877,fallback_17:15:00_17:45:00,0.02178852552138278,high
2021-08-06,2021,Friday,121520.0,121390.0,121100.0,-0.0010697827518103553,0.0023947151114780407,0.003468208092485492,0.0010167147911668284,fallback_17:15:00_17:45:00,0.024056795131845842,high
2021-08-09,2021,Monday,122500.0,122365.0,123070.0,-0.0011020408163264772,-0.005728447225156419,-0.004631510522466908,0.0006100536847242211,fallback_17:15:00_17:45:00,0.019502962475312705,high
2021-08-10,2021,Tuesday,123285.0,123275.0,123015.0,-8.111286855660982e-05,0.002113563386578976,0.0021948542860625864,0.0019638327469111427,fallback_17:15:00_17:45:00,0.013306122448979591,mid
2021-08-11,2021,Wednesday,122725.0,121960.0,122450.0,-0.006233448767569816,-0.004001633319722364,0.0022458146182116057,0.0010245481742552354,fallback_17:15:00_17:45:00,0.012248043152046072,low
2021-08-12,2021,Thursday,122390.0,121905.0,122130.0,-0.003962742054089419,-0.0018422991893883855,0.0021288790632931764,0.0018260292164675729,fallback_17:15:00_17:45:00,0.016663271542065594,mid
2021-08-13,2021,Friday,120890.0,120740.0,120700.0,-0.001240797419141404,0.000331400165699991,0.0015741507870754567,0.0002475962530432696,fallback_17:15:00_17:45:00,0.01703570553149767,mid
2021-08-16,2021,Monday,120550.0,120160.0,121195.0,-0.0032351721277478207,-0.008539956268822979,-0.005322001732744774,0.0027241104731570154,fallback_17:15:00_17:45:00,0.011539415998014724,low
2021-08-17,2021,Tuesday,119315.0,118895.0,119630.0,-0.003520093869169849,-0.006143943826799281,-0.0026331187829139457,-0.0025542784163473664,fallback_17:15:00_17:45:00,0.01708834508502696,mid
2021-08-18,2021,Wednesday,118890.0,118275.0,117150.0,-0.005172848851879852,0.009603072983354721,0.014852752880921916,0.0007272727272726875,fallback_17:15:00_17:45:00,0.026149268742404558,high
