market,levels_source,x_bps,h_days,side,rt_cost_bps,n_trades,win_rate,pf,expectancy_bps,ci_lo_bps,ci_hi_bps,sharpe,maxdd_pct,net_ann_pct,monthly_mean_pct
WDO,N_D1,10,1,short_sweep_high,1.0,142,50.7,0.969,-1.18,-16.7,13.861,-0.077,-10.03,-0.65,-0.04
WDO,N_D1,10,1,short_sweep_high,1.5,142,50.7,0.956,-1.68,-15.892,13.8,-0.11,-10.15,-0.85,-0.057
WDO,N_D1,10,1,short_sweep_high,2.0,142,50.0,0.943,-2.18,-18.245,13.565,-0.142,-10.27,-1.04,-0.074
WDO,N_D1,10,3,long_sweep_low,1.0,137,49.64,0.972,-1.595,-27.777,24.529,-0.11,-23.01,-0.76,-0.052
WDO,N_D1,10,3,long_sweep_low,1.5,137,49.64,0.964,-2.095,-26.527,21.543,-0.144,-23.15,-0.95,-0.068
WDO,N_D1,10,3,long_sweep_low,2.0,137,49.64,0.955,-2.595,-28.693,22.633,-0.179,-23.29,-1.14,-0.085
WDO,N_D1,10,3,short_sweep_high,1.0,141,53.9,1.18,10.42,-18.97,37.653,0.633,-12.87,3.97,0.35
WDO,N_D1,10,3,short_sweep_high,1.5,141,53.9,1.171,9.92,-17.163,38.111,0.602,-12.92,3.77,0.333
WDO,N_D1,10,3,short_sweep_high,2.0,141,53.9,1.161,9.42,-17.484,35.265,0.572,-12.98,3.56,0.316
WIN,M15_agg,5,1,long_sweep_low,1.0,182,41.76,0.627,-23.8,-43.314,-5.154,-1.307,-36.15,-11.78,-1.031
WIN,M15_agg,5,1,long_sweep_low,1.5,182,41.76,0.621,-24.3,-42.573,-5.903,-1.333,-36.73,-12.01,-1.053
WIN,M15_agg,5,1,long_sweep_low,2.0,182,41.76,0.615,-24.8,-42.963,-6.267,-1.36,-37.31,-12.23,-1.075
WIN,M15_agg,5,1,short_sweep_high,1.0,161,47.83,0.861,-7.678,-26.937,12.199,-0.392,-18.89,-3.77,-0.294
WIN,M15_agg,5,1,short_sweep_high,1.5,161,47.83,0.853,-8.178,-27.971,11.256,-0.418,-19.5,-3.98,-0.313
WIN,M15_agg,5,1,short_sweep_high,2.0,161,47.83,0.845,-8.678,-29.686,13.446,-0.443,-20.1,-4.2,-0.333
WIN,M15_agg,5,3,long_sweep_low,1.0,181,43.65,0.735,-25.585,-57.798,6.134,-1.266,-39.0,-12.59,-1.103
WIN,M15_agg,5,3,long_sweep_low,1.5,181,43.65,0.731,-26.085,-56.868,7.73,-1.291,-39.29,-12.81,-1.124
WIN,M15_agg,5,3,long_sweep_low,2.0,181,43.65,0.726,-26.585,-56.175,5.126,-1.316,-39.57,-13.04,-1.146
WIN,M15_agg,5,3,short_sweep_high,1.0,161,53.42,1.038,2.667,-26.297,31.597,0.157,-24.91,0.91,0.102
WIN,M15_agg,5,3,short_sweep_high,1.5,161,52.8,1.031,2.167,-26.143,31.004,0.128,-25.05,0.69,0.083
WIN,M15_agg,5,3,short_sweep_high,2.0,161,52.8,1.023,1.667,-26.103,30.136,0.098,-25.19,0.46,0.064
WIN,M15_agg,10,1,long_sweep_low,1.0,167,41.92,0.629,-23.562,-42.072,-3.688,-1.235,-33.49,-10.77,-0.937
WIN,M15_agg,10,1,long_sweep_low,1.5,167,41.92,0.623,-24.062,-43.742,-3.404,-1.261,-34.04,-10.98,-0.957
WIN,M15_agg,10,1,long_sweep_low,2.0,167,41.92,0.617,-24.562,-45.689,-4.599,-1.286,-34.59,-11.18,-0.977
WIN,M15_agg,10,1,short_sweep_high,1.0,148,49.32,0.848,-8.477,-28.365,13.265,-0.411,-16.85,-3.79,-0.299
WIN,M15_agg,10,1,short_sweep_high,1.5,148,49.32,0.84,-8.977,-30.809,11.028,-0.435,-17.43,-3.99,-0.316
WIN,M15_agg,10,1,short_sweep_high,2.0,148,49.32,0.832,-9.477,-32.311,11.425,-0.459,-18.01,-4.19,-0.334
WIN,M15_agg,10,3,long_sweep_low,1.0,166,43.98,0.748,-24.305,-57.419,10.782,-1.141,-34.35,-11.09,-0.961
WIN,M15_agg,10,3,long_sweep_low,1.5,166,43.98,0.744,-24.805,-57.783,8.52,-1.165,-34.9,-11.3,-0.98
WIN,M15_agg,10,3,long_sweep_low,2.0,166,43.98,0.74,-25.305,-60.177,9.905,-1.188,-35.44,-11.51,-1.0
WIN,M15_agg,10,3,short_sweep_high,1.0,148,52.7,1.014,0.986,-26.571,29.354,0.058,-24.88,0.16,0.035
WIN,M15_agg,10,3,short_sweep_high,1.5,148,52.03,1.007,0.486,-29.006,26.084,0.029,-25.0,-0.05,0.017
