timeframe,split,S_bps,T_bps,n_1.0,win_rate_1.0,pf_1.0,expectancy_bps_1.0,n_1.5,win_rate_1.5,pf_1.5,expectancy_bps_1.5,exit_breakdown,n_2.0,win_rate_2.0,pf_2.0,expectancy_bps_2.0
M5,discovery,15,10,230,0.6739130434782609,1.174630734065728,0.9017075193031424,230,0.6739130434782609,1.0754160322609747,0.4017075193031423,"{""tp"": 155, ""stop"": 74, ""time"": 1}",230,0.6739130434782609,0.9820947723909057,-0.09829248069685774
M5,discovery,15,20,230,0.5043478260869565,1.1996399633283852,1.540462706704747,230,0.5043478260869565,1.1306452487271823,1.040462706704747,"{""tp"": 110, ""stop"": 110, ""time"": 10}",230,0.5043478260869565,1.0658149251082716,0.5404627067047468
M5,discovery,25,10,230,0.8434782608695652,1.9111056317769268,3.619098823650959,230,0.8434782608695652,1.7700591784866104,3.119098823650959,"{""tp"": 194, ""stop"": 35, ""time"": 1}",230,0.8434782608695652,1.6343598539261068,2.619098823650959
M5,discovery,25,20,230,0.6608695652173913,1.5499006092137946,4.242599558256904,230,0.6565217391304348,1.4745904864365837,3.742599558256904,"{""tp"": 141, ""stop"": 64, ""time"": 25}",230,0.6565217391304348,1.4024227301873924,3.2425995582569036
M5,confirm,15,10,235,0.6893617021276596,1.2569249441646713,1.2549486254069506,235,0.6851063829787234,1.1497549872791444,0.7549486254069505,"{""tp"": 160, ""stop"": 71, ""time"": 4}",235,0.6851063829787234,1.049041105461146,0.2549486254069506
M5,confirm,15,20,235,0.502127659574468,1.13715094338592,1.0695838550919023,235,0.49361702127659574,1.0707631091834289,0.5695838550919026,"{""stop"": 112, ""tp"": 106, ""time"": 17}",235,0.49361702127659574,1.0083812186868362,0.0695838550919026
M5,confirm,25,10,235,0.8,1.6028446193455186,2.6836100480764036,235,0.7957446808510639,1.4795991970696316,2.1836100480764036,"{""tp"": 186, ""stop"": 36, ""time"": 13}",235,0.7957446808510639,1.3616686832798892,1.6836100480764034
M5,confirm,25,20,235,0.6085106382978723,1.1983172206743362,1.778568073955663,235,0.6,1.1394951397718125,1.278568073955663,"{""tp"": 128, ""stop"": 72, ""time"": 35}",235,0.6,1.0831298868065915,0.7785680739556631
M15,discovery,15,10,560,0.5285714285714286,0.6306818181817795,-2.785714285714582,560,0.5285714285714286,0.5775941230486311,-3.285714285714582,"{""tp"": 296, ""stop"": 264}",560,0.5285714285714286,0.5276292335115503,-3.7857142857145814
M15,discovery,15,20,560,0.4607142857142857,1.01510241492595,0.1292587677708349,560,0.4589285714285714,0.9580073573517421,-0.3707412322291654,"{""stop"": 299, ""tp"": 256, ""time"": 5}",560,0.45714285714285713,0.9043069224359905,-0.8707412322291653
M15,discovery,25,10,560,0.7196428571428571,0.8926172045669255,-0.7791641835521146,560,0.7196428571428571,0.8270494909779387,-1.2791641835521146,"{""tp"": 403, ""stop"": 156, ""time"": 1}",560,0.7196428571428571,0.7639209530682629,-1.7791641835521146
M15,discovery,25,20,560,0.6357142857142857,1.3223099272503578,2.9162151114907364,560,0.6339285714285714,1.2617709557912984,2.4162151114907364,"{""tp"": 351, ""stop"": 190, ""time"": 19}",560,0.6321428571428571,1.2035633903821654,1.9162151114907366
M15,confirm,15,10,235,0.6425531914893617,1.0189741499095224,0.10768389485757504,235,0.6425531914893617,0.9329834500780714,-0.392316105142425,"{""tp"": 151, ""stop"": 83, ""time"": 1}",235,0.6425531914893617,0.8520877970869394,-0.8923161051424253
M15,confirm,15,20,235,0.5276595744680851,1.332477651588895,2.442031469829367,235,0.5234042553191489,1.256119177618137,1.9420314698293677,"{""tp"": 120, ""stop"": 107, ""time"": 8}",235,0.5234042553191489,1.184383470083202,1.4420314698293677
M15,confirm,25,10,235,0.7914893617021277,1.4374349668915143,2.1677684043812047,235,0.7914893617021277,1.3296055880096618,1.6677684043812047,"{""tp"": 186, ""stop"": 43, ""time"": 6}",235,0.7914893617021277,1.226129992016189,1.1677684043812044
M15,confirm,25,20,235,0.6595744680851063,1.5709816753301413,4.405355132332178,235,0.6553191489361702,1.4951617402147794,3.905355132332179,"{""tp"": 147, ""stop"": 65, ""time"": 23}",235,0.6553191489361702,1.4225336802017527,3.4053551323321796
