date,level,direction,entry_price,exit_price,exit_reason,gross_bps,net_bps_1.0,net_bps_1.5,net_bps_2.0
2024-01-04,PDL,long,133620.0,133285.95,stop,-24.99999999999913,-25.99999999999913,-26.49999999999913,-26.99999999999913
2024-01-05,PDL,long,132390.0,132555.0,time,12.463176977113076,11.463176977113076,10.963176977113076,10.463176977113076
2024-01-10,PDL,long,132360.0,132624.72,tp,20.00000000000009,19.00000000000009,18.50000000000009,18.00000000000009
2024-01-11,PDL,long,131595.0,131858.19,tp,20.000000000000178,19.000000000000178,18.500000000000178,18.000000000000178
2024-01-12,PDH,short,132430.0,132165.14,tp,19.999999999998945,18.999999999998945,18.499999999998945,17.999999999998945
2024-01-15,PDL,long,131380.0,131642.76,tp,20.000000000000707,19.000000000000707,18.500000000000707,18.000000000000707
2024-01-16,PDL,long,131260.0,131522.52,tp,19.999999999999204,18.999999999999204,18.499999999999204,17.999999999999204
2024-01-17,PDL,long,130015.0,129689.96250000001,stop,-24.99999999999933,-25.99999999999933,-26.49999999999933,-26.99999999999933
2024-01-18,PDH,short,130165.0,129904.67,tp,20.000000000000135,19.000000000000135,18.500000000000135,18.000000000000135
2024-01-18,PDL,long,128980.0,129237.96,tp,20.000000000000494,19.000000000000494,18.500000000000494,18.000000000000494
2024-01-19,PDL,long,128040.0,127719.90000000001,stop,-24.999999999999318,-25.999999999999318,-26.499999999999318,-26.999999999999318
2024-01-22,PDL,long,127295.0,126976.76250000001,stop,-24.999999999999087,-25.999999999999087,-26.499999999999087,-26.999999999999087
2024-01-23,PDH,short,128645.0,128840.0,time,-15.157992926269968,-16.15799292626997,-16.65799292626997,-17.15799292626997
2024-01-24,PDH,short,129155.0,128896.69,tp,19.99999999999982,18.99999999999982,18.49999999999982,17.99999999999982
2024-01-26,PDH,short,129315.0,129638.28749999999,stop,-24.999999999999325,-25.999999999999325,-26.499999999999325,-26.999999999999325
2024-01-26,PDL,long,128400.0,128656.8,tp,20.000000000000227,19.000000000000227,18.500000000000227,18.000000000000227
2024-01-29,PDL,long,128370.0,128626.74,tp,20.00000000000041,19.00000000000041,18.50000000000041,18.00000000000041
2024-01-30,PDL,long,128320.0,128135.0,time,-14.41708229426434,-15.41708229426434,-15.91708229426434,-16.41708229426434
2024-01-31,PDH,short,129260.0,129001.48,tp,20.000000000000316,19.000000000000316,18.500000000000316,18.000000000000316
2024-02-02,PDH,short,128950.0,128692.1,tp,19.99999999999955,18.99999999999955,18.49999999999955,17.99999999999955
2024-02-02,PDL,long,127545.0,127800.09,tp,19.999999999999726,18.999999999999726,18.499999999999726,17.999999999999726
2024-02-05,PDL,long,126860.0,127113.72,tp,20.000000000000092,19.000000000000092,18.500000000000092,18.000000000000092
2024-02-06,PDH,short,128075.0,128395.1875,stop,-25.0,-26.0,-26.5,-27.0
2024-02-08,PDL,long,129555.0,129814.11,tp,20.000000000000043,19.000000000000043,18.500000000000043,18.000000000000043
2024-02-09,PDL,long,127955.0,128210.91,tp,20.000000000000274,19.000000000000274,18.500000000000274,18.000000000000274
2024-02-15,PDH,short,129770.0,129860.0,time,-6.935347152654697,-7.935347152654697,-8.435347152654696,-8.935347152654696
2024-02-16,PDH,short,129925.0,130249.8125,stop,-25.0,-26.0,-26.5,-27.0
2024-02-20,PDL,long,130085.0,130345.17,tp,19.999999999999865,18.999999999999865,18.499999999999865,17.999999999999865
2024-02-20,PDH,short,131065.0,131392.6625,stop,-25.000000000000444,-26.000000000000444,-26.500000000000444,-27.000000000000444
2024-02-22,PDH,short,132245.0,131980.51,tp,19.999999999999297,18.999999999999297,18.499999999999297,17.999999999999297
