date,instrument,weekday,year,dst_regime,anchor_time_local,n_bars_day,first_bar_time,last_bar_time,is_roll,day_open,day_close,ret_day,gap_on,anchor_found,anchor_late,valid_for_conditional,ret_morning,ret_post,ret_ny30,ret_post_after30,ret_ny60,morning_high,morning_low,range_morning_pts,range_morning_pct,tr_sum_morning,volu_morning,tr_sum_post,volu_post,vol_par,broke_high,broke_low,t_first_break,false_break_high,false_break_low
2021-07-19,WIN,Monday,2021,EDT,10:30:00,36,09:00:00,17:45:00,True,124750.0,125060.0,0.0024849699398796776,,True,False,True,-0.000440881763527079,0.002927142227034052,0.0003207827098119509,0.002605523710265789,-0.0029672400657604348,124990.0,124250.0,740.0,0.00593186372745491,2350.0,1068684,11405.0,4310000,0.9706382978723405,True,True,0.0,False,False
2021-07-20,WIN,Tuesday,2021,EDT,10:30:00,36,09:00:00,17:45:00,False,125680.0,125580.0,-0.0007956715467855036,,True,False,True,-0.01161680458306813,0.010948317501207505,0.00591692159072621,0.005001800648233301,0.009861535984543535,125805.0,123990.0,1815.0,0.014441438574156588,2585.0,1136268,10330.0,3901932,0.7992263056092843,True,True,0.0,True,True
2021-07-21,WIN,Wednesday,2021,EDT,10:30:00,36,09:00:00,17:45:00,False,125750.0,126425.0,0.005367793240556695,0.0013537187450229915,True,False,True,0.001988071570576455,0.003373015873015861,0.0032936507936507375,7.910453664528028e-05,-0.0016666666666667052,126230.0,125530.0,700.0,0.005566600397614314,1975.0,1080122,7960.0,3259830,0.8060759493670885,True,False,15.0,False,False
2021-07-22,WIN,Thursday,2021,EDT,10:30:00,36,09:00:00,17:45:00,False,126450.0,126575.0,0.0009885330170027462,0.00019774569903097117,True,False,True,-0.0009885330170027462,0.001979022362952776,-0.0034434989115377235,0.005441258241321689,-0.0017811201266574317,126690.0,125950.0,740.0,0.005852115460656386,1885.0,950642,6830.0,2901353,0.7246684350132625,True,True,0.0,True,True
2021-07-23,WIN,Friday,2021,EDT,10:30:00,36,09:00:00,17:45:00,False,126900.0,124985.0,-0.015090622537431098,0.002567647639739379,True,False,True,-0.00496453900709215,-0.010176605686227913,-0.0030490219371188676,-0.007149382372800606,-0.002930228874633678,126945.0,126225.0,720.0,0.005673758865248227,1365.0,715283,8170.0,2848950,1.197069597069597,False,True,0.0,False,False
2021-07-26,WIN,Monday,2021,EDT,10:30:00,36,09:00:00,17:45:00,False,125110.0,126215.0,0.00883222763967706,0.0010001200144016398,True,False,True,0.0044760610662617495,0.004336754993236269,0.004655048937693973,-0.0003168191358757788,0.0040184610487785655,125680.0,125015.0,665.0,0.005315322516185756,1600.0,766187,5865.0,2478072,0.7331249999999999,True,False,0.0,False,False
2021-07-27,WIN,Tuesday,2021,EDT,10:30:00,36,09:00:00,17:45:00,False,125865.0,124765.0,-0.008739522504270458,-0.0027730459929485862,True,False,True,-0.005442339014022912,-0.0033152260744527817,0.00039942482824728565,-0.003713167771300818,-0.00015976993129895867,125955.0,125115.0,840.0,0.006673817185079252,1750.0,881307,7015.0,3094964,0.8017142857142857,False,True,0.0,False,False
2021-07-28,WIN,Wednesday,2021,EDT,10:30:00,36,09:00:00,17:45:00,False,125260.0,126305.0,0.008342647293629213,0.003967458822586423,True,False,True,0.004630368832827747,0.0036951684678956376,0.002821042593769807,0.0008716668647728021,-0.002940241576605218,126015.0,125245.0,770.0,0.006147213795305764,1655.0,804850,9830.0,3444714,1.187915407854985,True,True,0.0,False,False
2021-07-29,WIN,Thursday,2021,EDT,10:30:00,36,09:00:00,17:45:00,False,126415.0,125490.0,-0.007317169639678878,0.000870907723367953,True,False,True,-0.0004350749515484864,-0.00688509021842354,-0.0064102564102563875,-0.0004778972520907976,-0.008111744222855322,127145.0,126350.0,795.0,0.0062888106632915395,2120.0,923658,8315.0,3216321,0.7844339622641511,False,True,0.0,False,False
2021-07-30,WIN,Friday,2021,EDT,10:30:00,36,09:00:00,17:45:00,False,124840.0,122340.0,-0.020025632809996807,-0.005179695593274358,True,False,True,-0.0001602050624799345,-0.01986861079955138,0.0004806921967632771,-0.020339525944907066,-0.0052876141643967145,125125.0,124360.0,765.0,0.00612784363985902,3050.0,998692,10050.0,3406779,0.659016393442623,True,True,0.0,False,False
2021-08-02,WIN,Monday,2021,EDT,10:30:00,36,09:00:00,17:45:00,False,123695.0,123180.0,-0.00416346659121225,0.011075690698054697,True,False,True,0.0020211002869963135,-0.00617209246036543,0.005688006777199606,-0.011793020457280368,0.005042559199645025,123995.0,123230.0,765.0,0.006184566878208497,1760.0,861498,12875.0,3842774,1.4630681818181819,True,True,0.0,False,False
2021-08-03,WIN,Tuesday,2021,EDT,10:30:00,36,09:00:00,17:45:00,False,123220.0,123230.0,8.115565654920331e-05,0.00032472804026628665,True,False,True,-0.004017204999188451,0.0041148910165003105,-0.010959462212263182,0.01524139067391661,-0.010103890812792837,123480.0,121880.0,1600.0,0.012984905047881837,3640.0,1291035,14430.0,4540447,0.7928571428571429,True,True,15.0,True,True
2021-08-04,WIN,Wednesday,2021,EDT,10:30:00,36,09:00:00,17:45:00,False,123230.0,122020.0,-0.00981903757201985,0.0,True,False,True,-0.0022315994481862944,-0.007604408116790751,-0.0017892724980683727,-0.005825559131462099,-0.007157089992273602,123820.0,122590.0,1230.0,0.009981335713706078,3990.0,1508857,12710.0,4366104,0.6370927318295739,False,True,0.0,False,False
2021-08-05,WIN,Thursday,2021,EDT,10:30:00,36,09:00:00,17:45:00,False,123250.0,121100.0,-0.01744421906693716,0.010080314702507698,True,False,True,-0.0011764705882353343,-0.01628690954875922,0.002802485682953604,-0.019036046982583987,0.0022338653994558033,123800.0,123100.0,700.0,0.005679513184584178,2430.0,1097143,12310.0,4324078,1.0131687242798353,False,True,0.0,False,False
2021-08-06,WIN,Friday,2021,EDT,10:30:00,36,09:00:00,17:45:00,False,121520.0,123070.0,0.012755102040816313,0.003468208092485492,True,False,True,0.00929888084265973,0.003424378312270715,-0.003383611903791328,0.006831104020943224,-0.006359559722788455,122660.0,121100.0,1560.0,0.012837393021724819,3960.0,1241351,9275.0,3389384,0.4684343434343435,True,False,0.0,False,False
2021-08-09,WIN,Monday,2021,EDT,10:30:00,36,09:00:00,17:45:00,False,122500.0,123015.0,0.004204081632652956,-0.004631510522466908,True,False,True,0.006244897959183593,-0.002028150732162448,0.001906461688232719,-0.003927125506072882,-0.003772360361822047,123305.0,122160.0,1145.0,0.009346938775510204,2110.0,953997,9585.0,3680217,0.9085308056872038,True,False,0.0,True,False
2021-08-10,WIN,Tuesday,2021,EDT,10:30:00,36,09:00:00,17:45:00,False,123285.0,122450.0,-0.006772924524475754,0.0021948542860625864,True,False,True,0.00020278217139146903,-0.006974292433703622,4.054821182375434e-05,-0.007014556217816215,-0.0020679588030168006,123655.0,123105.0,550.0,0.004461207770612808,1890.0,1060893,9265.0,3811433,0.9804232804232803,True,True,0.0,False,False
2021-08-11,WIN,Wednesday,2021,EDT,10:30:00,36,09:00:00,17:45:00,False,122725.0,122130.0,-0.004848237930332067,0.0022458146182116057,True,False,True,-0.007822367080871917,0.002997577300537957,-0.002874389192296656,0.0058888934645637825,-0.004681148113168776,122820.0,121660.0,1160.0,0.00945202688938684,3055.0,1355071,8645.0,3768424,0.5659574468085107,True,True,0.0,True,True
2021-08-12,WIN,Thursday,2021,EDT,10:30:00,36,09:00:00,17:45:00,False,122390.0,120700.0,-0.013808317673012493,0.0021288790632931764,True,False,True,-0.006413922706103414,-0.007442128201965326,-0.0016446692159040044,-0.00580700959598035,-0.005715225525266265,122455.0,121230.0,1225.0,0.010008987662390717,2600.0,1058637,9705.0,3753872,0.7465384615384616,False,True,0.0,False,False
2021-08-13,WIN,Friday,2021,EDT,10:30:00,36,09:00:00,17:45:00,False,120890.0,121195.0,0.0025229547522540585,0.0015741507870754567,True,False,True,-4.135991397136163e-05,0.0025644207304462707,-0.005501096083054158,0.00811013142571948,-0.006452413450800387,121300.0,120725.0,575.0,0.004756390106708578,2180.0,1096675,10190.0,4076020,0.934862385321101,True,True,0.0,True,True
2021-08-16,WIN,Monday,2021,EDT,10:30:00,36,09:00:00,17:45:00,False,120550.0,119630.0,-0.007631688096225608,-0.005322001732744774,True,False,True,0.00012442969722115116,-0.00775515282212913,-0.007423381578401722,-0.0003342525277847397,-0.009621366068096049,120760.0,120015.0,745.0,0.006180008295313148,1820.0,816549,9660.0,4081553,1.0615384615384615,False,True,0.0,False,False
2021-08-17,WIN,Tuesday,2021,EDT,10:30:00,36,09:00:00,17:45:00,False,119315.0,117150.0,-0.0181452457779826,-0.0026331187829139457,True,False,True,-0.009512634622637517,-0.00871551870028775,0.00021154171602644212,-0.008925172370035095,0.0033423591132171193,119340.0,118115.0,1225.0,0.01026694045174538,2920.0,1396475,13310.0,4938196,0.9116438356164384,False,True,15.0,False,False
2021-08-18,WIN,Wednesday,2021,EDT,10:30:00,36,09:00:00,17:45:00,True,118890.0,116960.0,-0.01623349314492384,,True,False,True,-0.010051307931701614,-0.006244955180763845,0.005692680232805225,-0.011870062940903092,-0.0015293767789625878,118965.0,117555.0,1410.0,0.011859702245773405,2705.0,1104833,16180.0,4731922,1.1963031423290205,True,True,0.0,False,False
