date,direction,pnl_pct_net,y_win,stop_pct_used,range_first_30m_pct,overshoot_close_pct,vol_20d_pct,btc_vs_sma200_pct,direction_first_30m,time_to_break_min,exit_reason,p_win
2021-01-01,-1,0.25343400067865135,1,0.003,0.39231885280931356,-0.07502544960977463,0.0,0.0,1.0,5.0,tp2,0.651316858992337
2021-01-04,1,0.42698277742575347,1,0.007626776931670774,1.9066942329176935,-0.9005365174666762,0.0,0.0,-1.0,145.0,trail_stop_be,0.9014837144585397
2021-01-05,1,0.9089032275314687,1,0.005014639383553106,1.2536598458882764,0.6163366943306796,0.0,0.0,-1.0,0.0,tp2,0.1605650899144989
2021-01-06,1,-0.47271806640722913,0,0.004027180664072392,1.006795166018098,-0.14250728862972997,0.0,0.0,-1.0,0.0,stop,0.6365511198922102
2021-01-07,1,-0.4248747283862517,0,0.0035487472838625004,0.8871868209656251,0.3911373085627057,0.0,0.0,-1.0,280.0,stop,0.2850370870399922
2021-01-08,-1,-0.5517796320046637,0,0.004817796320046741,1.2044490800116852,0.5383048727685508,0.0,0.0,1.0,60.0,stop,0.18864301340235046
2021-01-12,1,-0.8700000000000001,0,0.008,4.194646647305721,-0.02998496240601854,0.0,0.0,-1.0,20.0,stop,0.2270290807908754
2021-01-13,-1,0.8008039844494714,1,0.004517516831077583,1.1293792077693956,0.7166133329347223,0.0,0.0,1.0,15.0,tp2,0.1291481351028996
2021-01-15,-1,0.7276611737481147,1,0.004123333999391225,1.0308334998478064,-0.05997187361510248,0.0,0.0,1.0,0.0,tp2,0.571939297074231
2021-01-19,-1,0.1111445499984416,1,0.003,0.667843266894383,-0.010983428751875315,0.0,0.0,1.0,0.0,trail_stop_be,0.5796992470745295
2021-01-20,-1,1.1465573664587712,1,0.006423573180041206,1.6058932950103015,-0.036788487918813055,0.0,0.0,1.0,0.0,tp2,0.490107080274396
2021-01-22,-1,-0.3699999999999936,0,0.003,0.6350990324178107,0.007363278156177545,1.4821776740226749,0.0,1.0,0.0,stop,0.6265100384742902
2021-01-25,1,0.1578789860759811,1,0.003386092319073865,0.8465230797684662,-0.05450422952821139,1.389877861083128,0.0,-1.0,50.0,trail_stop_be,0.6450571598649462
2021-01-26,-1,-0.7016102344050608,0,0.006316102344050562,1.5790255860126403,0.2506265664160401,1.3810819475729275,0.0,1.0,120.0,stop,0.34705507997262947
2021-01-27,1,0.34805835675317853,1,0.0063564338818183136,1.5891084704545784,0.23283187303685982,1.3754510610697004,0.0,-1.0,0.0,trail_stop_be,0.3699718544527991
2021-01-28,-1,-0.8208633643950742,0,0.00750863364395062,1.877158410987655,0.6229585427135632,1.3668726001939895,0.0,1.0,5.0,stop,0.1444785266662117
2021-02-01,-1,0.18540095615972146,1,0.0038654960677564527,0.9663740169391132,-0.2637296409221631,1.3292734522576555,0.0,1.0,230.0,trail_stop_be,0.7395186054780879
2021-02-03,1,0.46402929960868416,1,0.003,0.6690124789312315,0.22337303708612924,1.2608600815111044,0.0,-1.0,35.0,tp2,0.47327030555755445
2021-02-08,1,0.8171836641434546,1,0.008,3.3961846625853322,-1.5234551316371148,1.2766125813583855,0.0,-1.0,0.0,trail_stop_be,0.9701333815006508
2021-02-09,-1,-0.8700000000000032,0,0.008,2.9160692958283607,-0.48086160473882167,1.3039569962691122,0.0,1.0,15.0,stop,0.6869825765171093
2021-02-10,-1,0.7554159037405154,1,0.004279556528381954,1.0698891320954884,-0.0018092248670366778,1.2813093988190574,0.0,1.0,5.0,tp2,0.576831212741213
2021-02-11,1,0.4771503871385245,1,0.008,2.0953646147864644,-0.35515435562815884,1.2312344338792514,0.0,-1.0,0.0,trail_stop_be,0.6983301518904091
2021-02-15,1,0.08882845188284517,1,0.003,0.5723206185890986,-0.08364016736402344,1.1928545207062098,0.0,-1.0,15.0,trail_stop_be,0.6858864205739437
2021-02-16,1,0.8984249715377697,1,0.004943830128059337,1.2359575320148344,0.16679290399543703,1.1846341182893607,0.0,-1.0,0.0,tp2,0.4460904422330468
2021-02-17,-1,0.28252000624585805,1,0.005449714721182701,1.362428680295675,-0.15206698676660713,1.1467796784171236,0.0,1.0,0.0,trail_stop_be,0.638960628642512
2021-02-18,-1,-0.3893262791201247,0,0.003193262791201287,0.7983156978003216,0.1091782796732396,0.9730320485413996,0.0,1.0,30.0,stop,0.5186069460974007
2021-02-19,-1,0.10062913907284769,1,0.003,0.6263234414207681,0.07396404919583066,0.9342720481499044,0.0,1.0,0.0,trail_stop_be,0.5625231137565883
2021-02-24,1,0.3541724758048524,1,0.006475002610888162,1.6187506527220403,0.5743601284482595,1.1338273204329912,0.0,-1.0,40.0,trail_stop_be,0.17690960926507557
2021-02-25,1,-0.5276857304241445,0,0.004576857304241402,1.1442143260603503,0.4087130757436165,1.1470950628046608,0.0,-1.0,25.0,stop,0.2984075691280212
2021-02-26,-1,-0.7787255159073705,0,0.0070872551590736785,1.7718137897684196,0.1143331268329673,1.1813113659275123,0.0,1.0,20.0,stop,0.4123856737222754
2021-03-01,1,0.7570376763744026,1,0.004219650812317899,1.0549127030794747,-0.13968404729030354,1.095108182759898,0.0,-1.0,0.0,tp2,0.668500356484158
2021-03-02,1,-0.36999999999999283,0,0.003,0.6970761702872927,0.17800286167672727,1.0944541074233876,0.0,-1.0,75.0,stop,0.4928428101896104
2021-03-03,1,-0.6873305648350756,0,0.006173305648350679,1.5433264120876697,-0.22034327759599973,1.0968953227212497,0.0,-1.0,5.0,stop,0.667903734925424
2021-03-04,-1,-0.4509991439652938,0,0.0038099914396529915,0.9524978599132478,1.083021524844101,1.1100774111516358,0.0,1.0,30.0,stop,0.06470541977001176
2021-03-05,1,-0.8699999999999952,0,0.008,2.0185513221439395,0.09212706604455362,1.1208085272073556,0.0,-1.0,140.0,stop,0.3990072964082159
2021-03-08,-1,0.588485343272951,1,0.00337477405291498,0.843693513228745,-0.5450632842481264,1.1098489116891825,0.0,1.0,45.0,tp2,0.8679390934793614
2021-03-10,-1,0.2818673779134819,1,0.0054634970030012255,1.3658742507503063,-0.39486624181208585,1.1282097323042144,0.0,1.0,0.0,trail_stop_be,0.7752995824057317
2021-03-11,-1,-0.4455238301311044,0,0.003755238301311066,0.9388095753277665,0.07466797663116488,1.1381941739180412,0.0,1.0,0.0,stop,0.5342481659423459
2021-03-12,-1,-0.709271687390284,0,0.00639271687390275,1.5981792184756876,-0.08598502918190597,1.1336206607675967,0.0,1.0,25.0,stop,0.5675815357974571
2021-03-15,1,0.5026257700341413,1,0.003,0.718710898159741,0.10109980913571147,1.019026805166418,0.0,-1.0,35.0,tp2,0.5425911809638415
2021-03-16,1,0.9828601074318578,1,0.006322764803427057,1.5806912008567642,-0.07169029357038395,0.9449693327189229,0.0,-1.0,215.0,time_partial,0.550526295574919
2021-03-17,1,0.19979971340630892,1,0.004037276130985961,1.0093190327464903,-0.4288852820974007,0.9168739843471203,0.0,-1.0,15.0,trail_stop_be,0.8163877640671616
2021-03-18,1,0.09459672534053794,1,0.003,0.5948275313289709,0.07328175571593629,0.8875707745939196,0.0,-1.0,10.0,trail_stop_be,0.5718880892753214
2021-03-19,1,0.6510660619280649,1,0.0036568926222302228,0.9142231555575556,0.1035705575068887,0.8752169698921854,0.0,-1.0,5.0,tp2,0.5143814375603214
2021-03-22,1,0.2726259571440743,1,0.00518132377292789,1.2953309432319724,0.08119104736450997,0.830807376984629,0.0,-1.0,150.0,trail_stop_be,0.4767187527699131
2021-03-23,1,-0.3806048105787572,0,0.003106048105787591,0.7765120264468978,0.17246201937048802,0.8310964016620073,0.0,-1.0,25.0,stop,0.4798381327720825
2021-03-24,1,-0.6538895343744564,0,0.005838895343744631,1.4597238359361577,0.07912231707044218,0.8100821366385326,0.0,-1.0,85.0,stop,0.4618119546493843
