thesis,market,split,param_a_name,param_a,param_b_name,param_b,metric,point_bps,ci_lo_bps,ci_hi_bps,n,note
S3,WIN,DISCOVERY_G3,P,3,F,3,spread_Q1_minus_Q5_bps_per_day_g3,-4.133,-25.1821,17.1275,109,n_removed=6
S3,WIN,DISCOVERY,P,3,F,5,spread_Q1_minus_Q5_bps_per_day,-8.4538,-33.5287,15.6387,69,
S3,WIN,H1,P,3,F,5,spread_Q1_minus_Q5_bps_per_day,-0.2825,-45.1472,41.4612,34,
S3,WIN,H2,P,3,F,5,spread_Q1_minus_Q5_bps_per_day,-13.1471,-39.3609,14.5329,35,
S3,WIN,DISCOVERY_G3,P,3,F,5,spread_Q1_minus_Q5_bps_per_day_g3,-13.2711,-33.7467,6.2488,66,n_removed=3
S3,WIN,DISCOVERY,P,5,F,1,spread_Q1_minus_Q5_bps_per_day,14.3945,-11.9331,42.7376,344,
S3,WIN,H1,P,5,F,1,spread_Q1_minus_Q5_bps_per_day,32.3987,-10.3365,75.4038,170,
S3,WIN,H2,P,5,F,1,spread_Q1_minus_Q5_bps_per_day,7.4745,-16.8231,32.9136,174,
S3,WIN,DISCOVERY_G3,P,5,F,1,spread_Q1_minus_Q5_bps_per_day_g3,4.8776,-17.1202,29.9606,327,n_removed=17
S3,WIN,DISCOVERY,P,5,F,3,spread_Q1_minus_Q5_bps_per_day,13.2383,-13.6239,40.3829,114,
S3,WIN,H1,P,5,F,3,spread_Q1_minus_Q5_bps_per_day,33.9327,-4.7912,77.1441,57,
S3,WIN,H2,P,5,F,3,spread_Q1_minus_Q5_bps_per_day,0.0965,-26.631,24.0881,58,
S3,WIN,DISCOVERY_G3,P,5,F,3,spread_Q1_minus_Q5_bps_per_day_g3,0.9877,-24.2327,24.3421,108,n_removed=6
S3,WIN,DISCOVERY,P,5,F,5,spread_Q1_minus_Q5_bps_per_day,20.2132,-6.85,48.1148,69,
S3,WIN,H1,P,5,F,5,spread_Q1_minus_Q5_bps_per_day,36.9143,-11.7576,86.2669,34,
S3,WIN,H2,P,5,F,5,spread_Q1_minus_Q5_bps_per_day,11.7058,-16.8094,39.871,35,
S3,WIN,DISCOVERY_G3,P,5,F,5,spread_Q1_minus_Q5_bps_per_day_g3,7.7693,-15.9291,33.2222,66,n_removed=3
S4_TOM,WIN,DISCOVERY,,,,,diff_tom_minus_nontom_bps,-1.5969,-22.4504,19.225,862,
S4_TOM,WIN,H1,,,,,diff_tom_minus_nontom_bps,-5.149,-38.7519,30.0032,426,
S4_TOM,WIN,H2,,,,,diff_tom_minus_nontom_bps,2.0462,-19.4254,25.8228,436,
S4_DOW,WIN,DISCOVERY,weekday,Mon,,,mean_ret_bps,-4.0044,-21.641,14.2958,173,
