offset,is_edt,mean,count
-60,False,0.0005733623239260391,170
-60,True,0.0006640807311693764,330
-55,False,0.0008781017961668224,170
-55,True,0.0011030299918336195,330
-50,False,0.0007483555373835591,170
-50,True,0.0007539064407913056,330
-45,False,0.0007358471250369043,170
-45,True,0.0008754040250872382,330
-40,False,0.0007055597440346817,170
-40,True,0.0007691227309650695,330
-35,False,0.0006733533615933847,170
-35,True,0.0006883895522903656,330
-30,False,0.0005726895779981768,170
-30,True,0.000779190622324472,330
-25,False,0.0006878126254102164,170
-25,True,0.0007832516973045955,330
-20,False,0.0005831086901967784,170
-20,True,0.0006346696017136632,330
-15,False,0.0006470522837388229,170
-15,True,0.0006569522719259046,330
-10,False,0.000628363780830566,170
-10,True,0.0006507589310917472,330
-5,False,0.0005554315171550042,170
-5,True,0.0006803172562823139,330
0,False,0.0005546657177850314,170
0,True,0.0005944450560386666,330
5,False,0.0006842567161900094,170
5,True,0.0006888734562602309,330
10,False,0.0006313453214068365,170
10,True,0.0006791759079521376,330
15,False,0.0006577236174593467,170
15,True,0.000726720530593317,330
20,False,0.0006166833326599671,170
20,True,0.0006450950893499361,330
25,False,0.0005854687880057686,170
25,True,0.0006450864614242292,330
30,False,0.0005557169253313935,170
30,True,0.0005820675020951974,330
35,False,0.0008036537290074912,170
35,True,0.00076840330668946,330
40,False,0.00058612955626026,170
40,True,0.0006528787571653928,330
45,False,0.0006233906575344544,170
45,True,0.000631386278880068,330
50,False,0.000597345955319568,170
50,True,0.0006089937054204158,330
55,False,0.0005960920821031188,170
55,True,0.0006120043330224829,330
60,False,0.000513816939475593,170
60,True,0.0005674903259853183,330
65,False,0.0005463025789965459,170
65,True,0.0006257169345918245,330
70,False,0.0005183759960664499,170
70,True,0.000566843596764153,330
75,False,0.0005673764435239847,170
75,True,0.0005431743321086162,330
80,False,0.0004933110219739719,170
80,True,0.0005665827114785393,330
85,False,0.00048582715369514497,170
85,True,0.0005154789413214371,330
90,False,0.0005445590266326556,170
90,True,0.0004999908610818873,330
