date,year,is_edt,T0,vol_pre,vol_post,vol_ratio,ret_pre,ret_post,vol_ratio_pb
2022-12-15,2022,False,2022-12-15 11:30:00,0.0015532416430565539,0.0022357629396250003,1.4394173305998568,0.013809523809523716,-0.004509159229685311,0.7158430543970121
2022-12-16,2022,False,2022-12-16 11:30:00,0.0013407149109850673,0.002094998722974991,1.5625982121998825,-0.0031851675778464816,-0.0038630293781000136,0.7259561586636188
2022-12-19,2022,False,2022-12-19 11:30:00,0.001101825701487295,0.0020561428237538815,1.8661234902928887,0.006446375704326268,0.010912368932959993,0.6593085606034571
2022-12-20,2022,False,2022-12-20 11:30:00,0.0013042467956452808,0.002383362738775263,1.827386309656284,0.023062470643494537,0.0004132041687709975,1.1782638916440544
2022-12-21,2022,False,2022-12-21 11:30:00,0.0018539714626309618,0.0015487627269752575,0.8353757100324597,-0.0016039594885660646,-0.0018360414945377546,0.11929747046401883
2022-12-22,2022,False,2022-12-22 11:30:00,0.0014268285951185382,0.0018857860514494378,1.3216626425213818,0.0025160109789570395,-0.005338809034907577,1.5472333909025242
2022-12-23,2022,False,2022-12-23 11:30:00,0.001481228349125896,0.0016654124142011322,1.124345490135891,0.01124823534769348,0.0031523011798613165,0.7460248085126843
2022-12-26,2022,False,2022-12-26 11:30:00,0.0012902196898991376,0.0013359957064750423,1.0354792419727241,-0.010611148421759586,0.0002715177844148098,1.5944227912044648
2022-12-27,2022,False,2022-12-27 11:30:00,0.0012053294189635448,0.0008600299548850813,0.713522744366943,-0.013562224024511127,0.007262595350111978,1.2257298684445257
2022-12-28,2022,False,2022-12-28 11:30:00,0.0011587772140567905,0.0010078942205069923,0.8697911973764411,0.006771091951428776,-0.004080168587185629,0.7456667272895704
2022-12-29,2022,False,2022-12-29 11:30:00,0.0011728007350470526,0.0008833813730177257,0.7532237545726679,-0.0020409974265684916,-0.005112929041437009,0.2675560441247932
2023-01-02,2023,False,2023-01-02 11:30:00,0.0013922198475236718,0.00077331315557011,0.5554533337142081,-0.01636802990926911,-0.0011588022619820615,0.9008364296142013
2023-01-03,2023,False,2023-01-03 11:30:00,0.00132589358161254,0.0012730711392841172,0.9601608733453703,-0.0022822543083371727,-0.0016805938098127804,1.8184748542671887
2023-01-04,2023,False,2023-01-04 11:30:00,0.0016722578344519623,0.0007406957920963834,0.4429315724145652,-0.0005206361226808287,0.0024624709949330192,0.9809685626934357
2023-01-05,2023,False,2023-01-05 11:30:00,0.0010804006148215455,0.001684877723303298,1.5594934880535927,0.00041979569942629524,0.006947034688548959,2.8026327843964056
2023-01-06,2023,False,2023-01-06 11:30:00,0.0009283413409433838,0.0013043050251060895,1.4049843172777914,0.0083718376869939,-0.0036748026494873853,0.6449854064840861
2023-01-09,2023,False,2023-01-09 11:30:00,0.0010329410365137088,0.0010386870958799903,1.005562814491014,-0.00118187190326835,-0.0007736767851453941,0.9732040163015284
2023-01-10,2023,False,2023-01-10 11:30:00,0.0019357686865267472,0.0009875854068879437,0.5101773852225695,0.006555585905490213,-0.0017186793306196435,0.3732413964980322
2023-01-11,2023,False,2023-01-11 11:30:00,0.0012029689774375463,0.0013711593648964941,1.139812738826575,0.00468959356855736,-0.0006668148477438907,0.6535105896851862
2023-01-12,2023,False,2023-01-12 11:30:00,0.0019102847780476107,0.0018127893286847459,0.9489628716706264,-0.006435970905884991,-0.003904343582235237,1.4222483190584267
2023-01-13,2023,False,2023-01-13 11:30:00,0.0009392387894645396,0.0010642149757912518,1.133061142415084,-0.00666933440042683,0.004341793115796078,0.40310517355695635
2023-01-16,2023,False,2023-01-16 11:30:00,0.0018824262563191991,0.0007030238345710113,0.37346686607828583,-0.00983606557377048,-0.0024040642293386982,1.4800897111317122
2023-01-17,2023,False,2023-01-17 11:30:00,0.0010109903419563044,0.0007099852194142886,0.7022670642337101,0.01033310673011556,0.0013905710312653863,0.5098338803339632
2023-01-18,2023,False,2023-01-18 11:30:00,0.0006881318432664929,0.0011567726332627852,1.6810334307037753,0.006490352774956909,0.00021933672574125929,0.3752200021324919
2023-01-19,2023,False,2023-01-19 11:30:00,0.0008853234164037568,0.0013180256328853557,1.4887504481009486,0.010678223572513579,-0.000663100658680027,0.40495024962098786
2023-01-20,2023,False,2023-01-20 11:30:00,0.0007762575515177043,0.0009528589395106738,1.2275036006383273,-0.005068758815232721,0.0017277278164178345,0.8142533471238792
2023-01-23,2023,False,2023-01-23 11:30:00,0.0010957391284768803,0.0010992091295642752,1.0031668131558087,0.001862858156657543,0.0049141136886843295,1.0321668947795548
2023-01-24,2023,False,2023-01-24 11:30:00,0.0011347050243056451,0.0016634363774074197,1.4659637013816156,0.010333615429156895,-0.004232244412114783,1.711495245821869
2023-01-25,2023,False,2023-01-25 11:30:00,0.001060943535624433,0.0011058567460605813,1.0423332712138296,-0.005631324241091029,0.0020352181222900168,1.131021954555724
2023-01-26,2023,False,2023-01-26 11:30:00,0.0007824517041327509,0.0013506605382218966,1.7261902953089399,-0.0013012361743656164,-0.003170466883821943,0.6856424945279834
2023-01-27,2023,False,2023-01-27 11:30:00,0.0011994076155454891,0.0012185822501589356,1.0159867540983771,-0.009676153946737598,-0.0030368381673341327,2.0759873009063066
2023-01-30,2023,False,2023-01-30 11:30:00,0.0009364053972286864,0.0012385779052507262,1.3226941118839408,-0.0005745094573095244,-0.0005748397081583034,0.9388727765182189
2023-01-31,2023,False,2023-01-31 11:30:00,0.001099331579090072,0.0005414642248669684,0.49253949869714825,0.009166592861571177,-0.0022818026240730704,1.203706308684119
2023-02-01,2023,False,2023-02-01 11:30:00,0.0008921809264272699,0.0008569969223537847,0.9605640481304849,-0.008748021804114603,-0.003680872765976284,0.67944436517432
2023-02-02,2023,False,2023-02-02 11:30:00,0.0007744922772134344,0.0017129828513855287,2.2117494283464176,0.00966962127316684,-0.01613904407200495,1.2462604913701132
2023-02-03,2023,False,2023-02-03 11:30:00,0.0017816555983167965,0.0016200178636175215,0.9092766666846382,0.003365012959847258,0.001676863811466145,0.38953864401064825
2023-02-06,2023,False,2023-02-06 11:30:00,0.0012715970753651533,0.0015865094260277453,1.247651049820291,-0.003045825834140925,-0.001851594685923219,0.8217475550217899
2023-02-07,2023,False,2023-02-07 11:30:00,0.0007122566782400789,0.0011035932866815812,1.5494319960726226,-0.006348771352882032,-0.005883704895426334,1.4558643588683817
2023-02-08,2023,False,2023-02-08 11:30:00,0.0014636650484452507,0.0012310071552123307,0.8410443062228915,-0.0013758943313153527,0.0036741067328005528,2.2834767141751136
2023-02-09,2023,False,2023-02-09 11:30:00,0.00198248557148617,0.0011443540010260822,0.5772319443254346,-0.006578947368421018,-0.00589175610870063,1.3022256114291022
2023-02-10,2023,False,2023-02-10 11:30:00,0.0007071005028987202,0.0012858147397330117,1.8184327892030678,0.005392589837757367,-0.001294677948860179,1.390959398105706
2023-02-13,2023,False,2023-02-13 11:30:00,0.0014613883949767814,0.0016428751003512894,1.1241878654561175,-9.248982611909096e-05,0.008602349458884495,2.139443639554108
2023-02-14,2023,False,2023-02-14 11:30:00,0.0014940226488847814,0.0010016513271618825,0.6704391850482111,-0.007660738714090343,-0.0011487914713721459,1.8216163646753414
2023-02-15,2023,False,2023-02-15 11:30:00,0.001800641081126005,0.0008738659226280032,0.48530822260344286,0.00880755715785142,0.00303085135257386,3.098504631777767
2023-02-16,2023,False,2023-02-16 11:30:00,0.001743113333775285,0.0011389872852345755,0.6534212452885803,-0.0009019979254047961,-0.002031327585428566,0.4210233450988566
2023-02-17,2023,False,2023-02-17 11:30:00,0.0011093308895191816,0.001412026042461545,1.2728628183008235,-0.0029653592128319195,0.0027037988373666,0.6808190294946452
2023-02-23,2023,False,2023-02-23 11:30:00,0.0013734291509726604,0.0007639800652514869,0.5562573538725586,0.009575735361495363,-0.0015429997730882494,0.5053697847113388
2023-02-24,2023,False,2023-02-24 11:30:00,0.0011135549814834482,0.0008855788816125773,0.7952718063663392,-0.006246268313966796,-0.006285529417202063,2.2472703027533867
2023-02-27,2023,False,2023-02-27 11:30:00,0.0008633007068946837,0.000528550517565988,0.6122438141713085,-0.00417866097130648,0.0007926146960088865,0.6805955747231925
2023-02-28,2023,False,2023-02-28 11:30:00,0.001242908774907107,0.0012732542706203054,1.0244149018221118,0.004438630098584362,-0.0020467020187924234,0.7700708640485974
2023-03-01,2023,False,2023-03-01 11:30:00,0.001265743357223718,0.001539792077648668,1.2165120747906184,-0.006620650795886696,-0.00841368878805071,0.9025033964551857
2023-03-02,2023,False,2023-03-02 11:30:00,0.0007867616908400396,0.00132910857076927,1.6893407320711777,0.0007105973755270334,-0.003266426813103629,0.9710525830055239
2023-03-03,2023,False,2023-03-03 11:30:00,0.0014194882772154416,0.0011953731502999942,0.8421155493054964,0.002386407025582349,0.006761260832301774,1.2364572351394454
2023-03-06,2023,False,2023-03-06 11:30:00,0.00113987794990128,0.0009553139357823351,0.8380844070762759,-0.008441620032248909,0.01243543141381287,1.979360698847209
2023-03-07,2023,False,2023-03-07 11:30:00,0.0005585042838749573,0.0011030160851840387,1.9749465080754713,0.001230303317087067,-0.003355546103313012,0.8540419982583248
2023-03-08,2023,False,2023-03-08 11:30:00,0.0010172905928404659,0.001472312433403437,1.4472879664525993,0.011507316380167554,0.007677902621722854,1.9747792165291465
2023-03-09,2023,False,2023-03-09 11:30:00,0.0006890920949459053,0.0018976944813958359,2.753905458086568,4.6466242275000624e-05,-0.004414087910045494,0.7018866201081647
