offset,is_edt,mean,count
-60,False,0.0008502750786089342,178
-60,True,0.0005946762912046493,330
-55,False,0.0013314456025874317,178
-55,True,0.0010619061994753941,330
-50,False,0.0010859138496879537,178
-50,True,0.0006238310331956135,330
-45,False,0.001038746347967758,178
-45,True,0.000656412145468279,330
-40,False,0.0007867787089285487,178
-40,True,0.0006118640572159085,330
-35,False,0.000783947446480568,178
-35,True,0.0005980754262910687,330
-30,False,0.0007986257313742224,178
-30,True,0.0005771954574147795,330
-25,False,0.0008573137606948485,178
-25,True,0.0008753431975901424,330
-20,False,0.0008301542790762002,178
-20,True,0.0010256221185731514,330
-15,False,0.000874682778548368,178
-15,True,0.0010151037189112784,330
-10,False,0.000875260607909979,178
-10,True,0.0012406659916326854,330
-5,False,0.0007215368849104365,178
-5,True,0.0010469014960987812,330
0,False,0.0008782297648668397,178
0,True,0.00101048320319821,330
5,False,0.0012256943174854076,178
5,True,0.0012513017593266422,330
10,False,0.0008893597668484951,178
10,True,0.0011094542532860089,330
15,False,0.0010030964680631143,178
15,True,0.0010611620144573028,330
20,False,0.0007982166570615838,178
20,True,0.0010304320011971532,330
25,False,0.0008776477274759554,178
25,True,0.000954320829780726,330
30,False,0.0007334320236517,178
30,True,0.000836588167279862,330
35,False,0.001038925007832744,178
35,True,0.0010126842649085662,330
40,False,0.0007216903816197197,178
40,True,0.0008615384117250636,330
45,False,0.0007465775205496625,178
45,True,0.0008564201481498034,330
50,False,0.0006395941106084367,178
50,True,0.0007937840031151032,330
55,False,0.0007313096161929152,178
55,True,0.0008017277146745508,330
60,False,0.0006484287564611558,178
60,True,0.0007876158188592909,330
65,False,0.0006676561474881674,178
65,True,0.0008166066307534585,330
70,False,0.0006841656514919459,178
70,True,0.0006992409351807298,330
75,False,0.0007141983092835506,178
75,True,0.0007030227298321327,330
80,False,0.0005904343263258058,178
80,True,0.0006655337067812991,330
85,False,0.0005740294941239562,178
85,True,0.0006738633135413389,330
90,False,0.0005798950186562875,178
90,True,0.0006487634328921094,330
