signal,k,h,half,quintile,n,mean_fwd_ret_bps,spread_q5_q1_bps,ci95_lo,ci95_hi,spearman,n_quintiles_valid
OFI,5,5,H1,1,1995,0.10209290873518236,-0.17926755734480587,-0.5852083708870593,0.24656784927663805,-0.49999999999999994,5
OFI,5,5,H1,2,1995,0.02371440137966518,-0.17926755734480587,-0.5852083708870593,0.24656784927663805,-0.49999999999999994,5
OFI,5,5,H1,3,1994,0.3706682167534975,-0.17926755734480587,-0.5852083708870593,0.24656784927663805,-0.49999999999999994,5
OFI,5,5,H1,4,1995,0.08495689870032705,-0.17926755734480587,-0.5852083708870593,0.24656784927663805,-0.49999999999999994,5
OFI,5,5,H1,5,1995,-0.0771746486096235,-0.17926755734480587,-0.5852083708870593,0.24656784927663805,-0.49999999999999994,5
OFI,5,5,H2,1,1638,0.5707359040559059,-1.0059702421894277,-1.7263821789131275,-0.29447171308675746,-0.8999999999999998,5
OFI,5,5,H2,2,1637,0.05759784724360875,-1.0059702421894277,-1.7263821789131275,-0.29447171308675746,-0.8999999999999998,5
OFI,5,5,H2,3,1637,0.5386940154601609,-1.0059702421894277,-1.7263821789131275,-0.29447171308675746,-0.8999999999999998,5
OFI,5,5,H2,4,1637,0.0062206661027537,-1.0059702421894277,-1.7263821789131275,-0.29447171308675746,-0.8999999999999998,5
OFI,5,5,H2,5,1637,-0.43523433813352175,-1.0059702421894277,-1.7263821789131275,-0.29447171308675746,-0.8999999999999998,5
OFI,5,15,H1,1,1994,0.41406948479500494,-0.4751069867978351,-1.1006164074464029,0.16015938228289534,-0.49999999999999994,5
OFI,5,15,H1,2,1994,-0.010404264252944002,-0.4751069867978351,-1.1006164074464029,0.16015938228289534,-0.49999999999999994,5
OFI,5,15,H1,3,1994,1.0414226700229967,-0.4751069867978351,-1.1006164074464029,0.16015938228289534,-0.49999999999999994,5
OFI,5,15,H1,4,1994,0.25805732622878774,-0.4751069867978351,-1.1006164074464029,0.16015938228289534,-0.49999999999999994,5
OFI,5,15,H1,5,1994,-0.061037502002830146,-0.4751069867978351,-1.1006164074464029,0.16015938228289534,-0.49999999999999994,5
OFI,5,15,H2,1,1638,0.7429209562983226,-0.8156079859810507,-1.7605453288020088,0.19736567379890257,-0.19999999999999998,5
OFI,5,15,H2,2,1637,-0.12048880294207202,-0.8156079859810507,-1.7605453288020088,0.19736567379890257,-0.19999999999999998,5
OFI,5,15,H2,3,1637,0.9699779450990155,-0.8156079859810507,-1.7605453288020088,0.19736567379890257,-0.19999999999999998,5
OFI,5,15,H2,4,1637,0.4507795454413605,-0.8156079859810507,-1.7605453288020088,0.19736567379890257,-0.19999999999999998,5
OFI,5,15,H2,5,1637,-0.07268702968272811,-0.8156079859810507,-1.7605453288020088,0.19736567379890257,-0.19999999999999998,5
OFI,5,30,H1,1,1994,0.6903309845194577,-0.7331001151644283,-1.511173942925574,0.044441848820633637,-0.09999999999999999,5
OFI,5,30,H1,2,1993,0.6756355040979006,-0.7331001151644283,-1.511173942925574,0.044441848820633637,-0.09999999999999999,5
OFI,5,30,H1,3,1993,0.9200567952916268,-0.7331001151644283,-1.511173942925574,0.044441848820633637,-0.09999999999999999,5
OFI,5,30,H1,4,1993,0.9873014842885346,-0.7331001151644283,-1.511173942925574,0.044441848820633637,-0.09999999999999999,5
OFI,5,30,H1,5,1994,-0.04276913064497055,-0.7331001151644283,-1.511173942925574,0.044441848820633637,-0.09999999999999999,5
OFI,5,30,H2,1,1638,1.072111569054493,-0.7318556870804569,-1.961643989303699,0.4798898678741437,-0.09999999999999999,5
OFI,5,30,H2,2,1637,-0.019403166245911783,-0.7318556870804569,-1.961643989303699,0.4798898678741437,-0.09999999999999999,5
OFI,5,30,H2,3,1637,2.4322073019782677,-0.7318556870804569,-1.961643989303699,0.4798898678741437,-0.09999999999999999,5
OFI,5,30,H2,4,1637,0.21271804488995674,-0.7318556870804569,-1.961643989303699,0.4798898678741437,-0.09999999999999999,5
OFI,5,30,H2,5,1637,0.340255881974036,-0.7318556870804569,-1.961643989303699,0.4798898678741437,-0.09999999999999999,5
OFI,15,5,H1,1,1956,0.17192291047192484,-0.06760182916413443,-0.5170808437664255,0.3570507690594467,-0.09999999999999999,5
OFI,15,5,H1,2,1955,-0.11299558310864571,-0.06760182916413443,-0.5170808437664255,0.3570507690594467,-0.09999999999999999,5
OFI,15,5,H1,3,1955,0.2766399090594521,-0.06760182916413443,-0.5170808437664255,0.3570507690594467,-0.09999999999999999,5
OFI,15,5,H1,4,1955,0.011152357630754561,-0.06760182916413443,-0.5170808437664255,0.3570507690594467,-0.09999999999999999,5
OFI,15,5,H1,5,1955,0.10432108130779041,-0.06760182916413443,-0.5170808437664255,0.3570507690594467,-0.09999999999999999,5
OFI,15,5,H2,1,1605,0.3064135272658435,-0.3578472080730592,-1.1090078788750222,0.4572041917757372,-0.39999999999999997,5
OFI,15,5,H2,2,1605,-0.0944660269534985,-0.3578472080730592,-1.1090078788750222,0.4572041917757372,-0.39999999999999997,5
OFI,15,5,H2,3,1604,0.2529847428181596,-0.3578472080730592,-1.1090078788750222,0.4572041917757372,-0.39999999999999997,5
OFI,15,5,H2,4,1605,0.15909674193770834,-0.3578472080730592,-1.1090078788750222,0.4572041917757372,-0.39999999999999997,5
OFI,15,5,H2,5,1605,-0.05143368080721572,-0.3578472080730592,-1.1090078788750222,0.4572041917757372,-0.39999999999999997,5
OFI,15,15,H1,1,1955,0.34462648959064135,-0.4327440182052896,-1.3070488540229124,0.4109611530448362,-0.3,5
OFI,15,15,H1,2,1955,0.012678306838051398,-0.4327440182052896,-1.3070488540229124,0.4109611530448362,-0.3,5
