stock,event_time,split,z_stock,z_win,ret15_stock,direction,fwd_5m,fwd_15m,fwd_30m
VALE3,2022-12-29 17:40:00,DISCOVERY,-2.558544431568975,0.24024197687693558,-0.0033667601149899064,-1,0.0009857956616759337,0.0019725640754519897,0.005028746229522639
VALE3,2023-01-05 15:00:00,DISCOVERY,2.6622701726533404,0.17648245445201025,0.004031682926865245,1,0.000919455747011761,0.0003219056844150297,0.0029392875023813666
VALE3,2023-01-06 12:50:00,DISCOVERY,3.1729389757275115,-0.15208128110498495,0.004408112363726892,1,0.00045405013493470317,0.0,-0.00104509835708015
VALE3,2023-01-06 13:25:00,DISCOVERY,-3.1534338388193097,-0.42281035312530796,-0.005404649765189205,-1,-0.0010916535084564967,-0.0017279014848370828,-0.0020912900875186473
VALE3,2023-01-06 14:50:00,DISCOVERY,-2.541444613830802,-0.10319817547835909,-0.004131942902275644,-1,-0.0004087843265427019,-0.0001362800102046959,0.0014093153515758513
VALE3,2023-01-17 12:35:00,DISCOVERY,-2.605698111442514,-0.38812209602126874,-0.004123717183861874,-1,0.0002685164482457332,-0.00017897091770374769,-0.0030381579977487383
VALE3,2023-01-18 17:15:00,DISCOVERY,-3.0797899178476906,0.017187524341119906,-0.002663864176040012,-1,-0.0003965194456623909,0.00048484849434656316,0.0011905025767285807
VALE3,2023-01-25 15:55:00,DISCOVERY,3.1250234687087843,-0.08474401765464076,0.003838250085680706,1,-0.00039269586210521814,0.0028750673228375395,0.0023964630976338144
VALE3,2023-01-30 17:25:00,DISCOVERY,2.6714592205182752,-0.3460836966689823,0.003056406936135966,1,0.0010218362841275743,0.0014214012076436626,0.0021313448856854745
VALE3,2023-01-31 11:55:00,DISCOVERY,2.712396853156663,0.17407129408634778,0.00516004213052154,1,-0.0006590654690550565,-0.00083488964533221,-0.0013185655918836507
VALE3,2023-02-01 10:50:00,DISCOVERY,2.5824511180061878,-0.03648605367520269,0.0044099936326570935,1,-0.0008841733555675045,-0.0009284025512667675,-0.002344770689610368
VALE3,2023-02-01 16:25:00,DISCOVERY,-2.6574356603607225,-0.39589612130213997,-0.0032742573205384456,-1,0.0014780644529082186,-0.005000233642351933,-0.005044766162232128
VALE3,2023-02-02 10:45:00,DISCOVERY,-2.690860634602888,0.051359431293018454,-0.007180843724252179,-1,0.0007518631078852027,0.0005749032773048516,0.0014600157443656928
VALE3,2023-02-02 13:05:00,DISCOVERY,3.089832968805632,0.2615157488354694,0.0058539608121556995,1,-0.0008062710403184647,-0.0027798968715912493,-0.0008958968526124095
VALE3,2023-02-08 11:05:00,DISCOVERY,-2.610987411092481,-0.2665203757401833,-0.005510476375969696,-1,0.0015179046634665985,0.0005516987864636343,-0.002937264032926444
VALE3,2023-02-09 10:35:00,DISCOVERY,2.608685601342762,-0.3242860918912936,0.005516227181806696,1,-0.0002734108014297423,0.002457339120514914,0.0013659338280034617
VALE3,2023-02-10 12:50:00,DISCOVERY,-2.5519953974747183,-0.2618844042269865,-0.003921573653181729,-1,0.00037059341694349536,-0.0010184243080044474,-0.0003241566167910602
VALE3,2023-02-14 14:55:00,DISCOVERY,4.404117042610969,0.2779832579598466,0.00632818143144293,1,0.0013424995651029755,0.0011574343290791686,0.0004168307033004188
VALE3,2023-02-15 10:30:00,DISCOVERY,-2.5149678544634786,-0.04535576986690088,-0.0079909961598874,-1,-0.000823497164297701,-0.00825000691036406,-0.007387174496079091
VALE3,2023-02-15 14:15:00,DISCOVERY,2.773836637643976,0.4810032286352309,0.004460310695199753,1,9.025270764238438e-05,-0.00040623801592323187,0.0031540082017048193
VALE3,2023-02-15 15:55:00,DISCOVERY,-2.518903105365832,-0.19864713427718808,-0.0022135329631315097,-1,0.00031295406536853773,-0.0012954816312268163,0.00013411117836770425
VALE3,2023-02-16 13:50:00,DISCOVERY,2.5272009667614763,0.23673281139125968,0.0022018357519415013,1,0.0002713213365654708,0.001310705030472008,0.000678165362700266
VALE3,2023-02-17 11:35:00,DISCOVERY,-2.6507359190442252,-0.10631852438341514,-0.011090686694158256,-1,-0.0012152036961369191,0.0025702897833448334,-0.0037309282933842944
VALE3,2023-02-22 13:25:00,DISCOVERY,4.188622578412629,0.0050260182761477715,0.006785821107969148,1,0.00013829027149984139,0.0008755155732861115,0.00253228800803616
VALE3,2023-02-28 17:40:00,DISCOVERY,-3.111522598433201,-0.23334019153595376,-0.0038323033029766898,-1,0.0035136247527454405,0.006192260720774539,0.008547863430671147
VALE3,2023-03-06 17:50:00,DISCOVERY,-3.0372655909719875,0.3732774041230247,-0.003197079681404371,-1,0.0005180493204610878,0.001932276681046405,0.0020266296555939943
VALE3,2023-03-08 11:05:00,DISCOVERY,-3.0880197146921096,-0.1503515529095939,-0.006430890330290459,-1,0.0010802941329145386,-4.694284709232808e-05,-0.004122558073340226
VALE3,2023-03-09 11:25:00,DISCOVERY,3.023763754692909,0.006994424304716534,0.007520563417775855,1,-0.0022327667662567813,-0.0004647488116370275,-0.0035841498093567266
VALE3,2023-03-09 15:15:00,DISCOVERY,-2.798170016106537,-0.42157610458006656,-0.0038423162617481263,-1,0.0011218099708757124,0.0009815148833119474,-0.0
VALE3,2023-03-17 16:45:00,DISCOVERY,-3.2994072658751357,-0.024000040434460444,-0.004805093334318997,-1,-0.0013099485171346873,0.00019421246905096233,9.71015197150412e-05
VALE3,2023-03-23 13:35:00,DISCOVERY,-4.29091535646267,0.04580656948591214,-0.003478264376324927,-1,0.0004995254612087306,0.003501929638157736,0.007871490343546615
VALE3,2023-03-23 14:20:00,DISCOVERY,3.7676500491044753,-0.1233123914139881,0.004973139310382698,1,-0.0011590698503254498,-0.0015120970623030599,-0.0017643356813728589
VALE3,2023-03-27 10:30:00,DISCOVERY,-2.8331255606332753,-0.37506446839989543,-0.010893531024693145,-1,0.002305649861063596,-0.0003503941970526852,-0.0033986438151942526
VALE3,2023-03-31 13:35:00,DISCOVERY,-3.661767734754244,-0.36449784689885334,-0.004139474148440684,-1,-4.858260257956527e-05,0.0028218370383715223,0.0038455033150934658
VALE3,2023-04-04 12:40:00,DISCOVERY,-2.875003989130901,-0.1561814855631381,-0.004077976453078622,-1,9.793839682672786e-05,-0.0015168198626830018,-0.0022010818639659887
VALE3,2023-04-17 15:05:00,DISCOVERY,-2.5404339903278452,0.0979738132964798,-0.0036279723170618986,-1,-0.0,0.0013923700383707235,-0.0002782415154288946
VALE3,2023-04-19 11:05:00,DISCOVERY,2.6731298605115943,0.46447155626757863,0.00985229644301167,1,0.00028220685949954143,-0.0009412651297361136,-0.00032934202466640064
VALE3,2023-04-25 12:20:00,DISCOVERY,-3.0377923183583957,-0.08533948724154417,-0.004761041771276218,-1,-0.00023881737748745446,-0.00047757773485202225,0.001099295128029392
VALE3,2023-04-26 14:30:00,DISCOVERY,-2.547542990917405,-0.33825562380458374,-0.0027319933211424597,-1,-0.0005269082583045394,0.0014384352307604405,0.00571800803552591
VALE3,2023-04-27 11:55:00,DISCOVERY,-3.090010617901717,-0.13826120605421816,-0.006375829960095291,-1,-0.0015346252772012196,-0.0010073634315528922,-0.0010553078160760413
VALE3,2023-04-27 12:25:00,DISCOVERY,5.836281465123703,-0.09555157639657001,0.0069091183933848305,1,-0.00033565897363746814,-0.0026403606227754094,-0.004468690616304274
VALE3,2023-04-28 16:45:00,DISCOVERY,3.2199874024369937,-0.3735086164168681,0.006054149545820616,1,0.0017052725462489739,0.0030768526794488975,0.002225748556957673
VALE3,2023-05-02 12:10:00,DISCOVERY,2.77812024151819,-0.41218482096287573,0.003129893008927642,1,-0.00024204284276466433,-0.0021319903414286005,0.0007741436423003297
VALE3,2023-05-04 14:45:00,DISCOVERY,-5.07315578843853,-0.4794650585321737,-0.005723022106526243,-1,0.000912737555259445,0.0025962801256317353,0.0029814881427216488
VALE3,2023-05-09 14:50:00,DISCOVERY,2.506414071662821,0.47377110669257383,0.0036509715618810498,1,4.606066189991585e-05,-0.00032248405135162006,-0.0014289338438214316
VALE3,2023-05-31 16:05:00,DISCOVERY,2.948345484034936,-0.02712082422895926,0.0041903682986266805,1,0.00045766591187864394,-0.0012367452278341856,0.0
VALE3,2023-06-01 12:55:00,DISCOVERY,3.2904574345657793,-0.20440702410006217,0.005689078610468202,1,-0.0008578846897067296,0.00031587735196422106,0.0007669576970208542
VALE3,2023-06-07 16:20:00,DISCOVERY,2.5185764157597017,-0.15600981935851124,0.0022569127503581144,1,-0.0003029188417044452,0.0012971852902115713,0.0007785130794136617
VALE3,2023-06-09 14:05:00,DISCOVERY,-2.54368592737637,0.28789648417261265,-0.0033395207288672893,-1,-8.507018295215981e-05,0.0010639883539455286,0.002001235472356456
VALE3,2023-06-27 14:10:00,DISCOVERY,2.6409419152571902,-0.1120944402967235,0.0017306032585790573,1,0.00021008844800894126,0.00037812743344895936,0.002518153007322383
VALE3,2023-06-27 15:55:00,DISCOVERY,-2.834934181252688,-0.1489917286944364,-0.003074560454245449,-1,-0.0005035880756054177,-0.0025572781035623597,-0.0028503183986997513
VALE3,2023-07-03 13:45:00,DISCOVERY,-2.5536438400412185,0.4288737755260829,-0.003101979998003832,-1,0.00024689326106811736,-0.0011102659610400679,0.0006996892841993419
VALE3,2023-07-07 16:20:00,DISCOVERY,2.6355444819340943,0.35052138763155394,0.0017679996747603831,1,-0.0002895253871946401,0.0,-0.0022771036812679066
