split,quintile,n,spread_mean,fwd30_mean_bps,fwd60_mean_bps,fwd30_ci_lo_bps,fwd30_ci_hi_bps
DISCOVERY,Q1(mais neg),4168,-0.0021562028347449826,0.4474718279082795,1.1072599146414148,-0.30945060962294635,1.202713991462141
DISCOVERY,Q2,4167,-0.0006742486652163664,-0.028137037614117892,-0.0008039580213556802,,
DISCOVERY,Q3,4167,8.329395523426586e-06,0.1551131357007606,0.619267751320385,,
DISCOVERY,Q4,4167,0.0006809351185292975,-0.1582412857130911,-0.055292770340482515,,
DISCOVERY,Q5(mais pos),4167,0.0020781907406610995,0.511929993320898,0.37218380053352745,-0.2108154949733495,1.207782370435066
CONFIRM,Q1(mais neg),3556,-0.0020117195567159263,-0.4671424063150224,-0.8563362263545098,-1.0321186074048996,0.09242053327662314
CONFIRM,Q2,4495,-0.0006686130010308422,0.14036869629761353,0.09983913164059145,,
CONFIRM,Q3,4488,4.682022594606283e-06,0.09037587483826762,0.3981977523562044,,
CONFIRM,Q4,4106,0.0006703523665444879,-0.5296107673115126,-0.5915207603310013,,
CONFIRM,Q5(mais pos),3457,0.0020054432268074656,-0.8814525509128227,-1.462727768445628,-1.4922296717728203,-0.29586135150520637
