date,weekday,year,n_bars_day,day_open,day_close,day_high,day_low,day_range_pts,ret_open_close,last_bar_time,or15_high,or15_low,or15_width_pts,or15_width_pct,or15_open,or15_close,or15_ret,or15_broke,or15_side,or15_breakout_time,or15_false_break,or15_time_to_return_min,or15_continuation_pts,or15_continuation_pct,or15_typology,or15_rest_of_day_ret,or15_day_range_ratio,or30_high,or30_low,or30_width_pts,or30_width_pct,or30_open,or30_close,or30_ret,or30_broke,or30_side,or30_breakout_time,or30_false_break,or30_time_to_return_min,or30_continuation_pts,or30_continuation_pct,or30_typology,or30_rest_of_day_ret,or30_day_range_ratio,or60_high,or60_low,or60_width_pts,or60_width_pct,or60_open,or60_close,or60_ret,or60_broke,or60_side,or60_breakout_time,or60_false_break,or60_time_to_return_min,or60_continuation_pts,or60_continuation_pct,or60_typology,or60_rest_of_day_ret,or60_day_range_ratio,instrument,timeframe,is_roll,or15_width_tercile,or30_width_tercile,or60_width_tercile
2022-12-14,Wednesday,2022,56,103945.0,105660.0,106525.0,103890.0,2635.0,0.016499110106306114,18:20:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WIN,M5,True,,,
2022-12-15,Thursday,2022,113,105030.0,105850.0,107630.0,104700.0,2930.0,0.007807293154336925,18:20:00,105310.0,104700.0,610.0,0.005807864419689612,105030.0,104950.0,-0.0007616871370085265,True,up,09:45:00,True,0.0,540.0,0.00512771816541639,weak_trend,0.008575512148642161,0.20819112627986347,105310.0,104700.0,610.0,0.005807864419689612,105030.0,105000.0,-0.0002856326763781558,True,up,09:45:00,True,0.0,540.0,0.00512771816541639,weak_trend,0.008095238095238155,0.20819112627986347,105330.0,104700.0,630.0,0.005998286203941731,105030.0,105075.0,0.0004284490145671782,True,up,10:25:00,True,0.0,520.0,0.004936865090667426,weak_trend,0.007375684035213048,0.2150170648464164,WIN,M5,False,largo,largo,medio
2022-12-16,Friday,2022,113,105120.0,104710.0,106010.0,104110.0,1900.0,-0.0039003044140030196,18:20:00,105300.0,104850.0,450.0,0.004280821917808219,105120.0,105135.0,0.00014269406392686257,True,up,09:25:00,True,0.0,-590.0,-0.00560303893637227,reversal,-0.0040424216483568864,0.23684210526315788,105315.0,104850.0,465.0,0.00442351598173516,105120.0,105175.0,0.0005232115677320515,True,up,09:35:00,True,50.0,-605.0,-0.005744670749655794,reversal,-0.004421202757309284,0.24473684210526317,105545.0,104850.0,695.0,0.006611491628614916,105120.0,105530.0,0.0039003044140031307,True,up,10:00:00,True,20.0,-835.0,-0.007911317447534228,reversal,-0.007770302283710784,0.36578947368421055,WIN,M5,False,medio,medio,largo
2022-12-19,Monday,2022,113,105000.0,106785.0,107045.0,104195.0,2850.0,0.016999999999999904,18:20:00,105120.0,104195.0,925.0,0.008809523809523809,105000.0,104795.0,-0.0019523809523809277,True,up,10:20:00,True,50.0,1665.0,0.015839041095890412,trend,0.018989455603797945,0.32456140350877194,105120.0,104195.0,925.0,0.008809523809523809,105000.0,104710.0,-0.002761904761904743,True,up,10:20:00,True,50.0,1665.0,0.015839041095890412,trend,0.01981663642441034,0.32456140350877194,105120.0,104195.0,925.0,0.008809523809523809,105000.0,104970.0,-0.00028571428571433355,True,up,10:20:00,True,50.0,1665.0,0.015839041095890412,trend,0.0172906544727065,0.32456140350877194,WIN,M5,False,largo,largo,largo
2022-12-20,Tuesday,2022,113,106705.0,109330.0,109785.0,106160.0,3625.0,0.02460053418302799,18:20:00,106810.0,106370.0,440.0,0.004123518110678975,106705.0,106655.0,-0.0004685816034862844,True,down,09:30:00,True,35.0,-2960.0,-0.027827394942182945,reversal,0.025080868219961472,0.12137931034482759,106810.0,106370.0,440.0,0.004123518110678975,106705.0,106450.0,-0.0023897661777798618,True,down,09:30:00,True,35.0,-2960.0,-0.027827394942182945,reversal,0.027054955378111867,0.12137931034482759,106810.0,106160.0,650.0,0.0060915608453212125,106705.0,106300.0,-0.003795510988238604,True,up,10:10:00,False,,2520.0,0.02359329650781762,trend,0.0285042333019756,0.1793103448275862,WIN,M5,False,medio,medio,medio
2022-12-21,Wednesday,2022,113,109710.0,109350.0,109810.0,107760.0,2050.0,-0.003281378178835115,18:20:00,109810.0,109095.0,715.0,0.006517181660741956,109710.0,109120.0,-0.005377814237535361,True,down,09:15:00,True,10.0,-255.0,-0.002337412347036986,range,0.002107771260997149,0.348780487804878,109810.0,108975.0,835.0,0.007610974387020326,109710.0,109105.0,-0.005514538328320162,True,down,09:30:00,True,0.0,-375.0,-0.0034411562284927736,range,0.0022455432839925127,0.4073170731707317,109810.0,108865.0,945.0,0.008613617719442166,109710.0,109210.0,-0.0045574696928265546,True,down,10:50:00,True,35.0,-485.0,-0.004455059018049878,range,0.001281933888838127,0.4609756097560976,WIN,M5,False,largo,largo,largo
2022-12-22,Thursday,2022,113,109000.0,109390.0,110220.0,108190.0,2030.0,0.0035779816513761276,18:20:00,109560.0,108995.0,565.0,0.00518348623853211,109000.0,109140.0,0.0012844036697248207,True,up,10:00:00,True,0.0,-170.0,-0.001551661190215407,range,0.002290635880520364,0.27832512315270935,109560.0,108995.0,565.0,0.00518348623853211,109000.0,109300.0,0.0027522935779815683,True,up,10:00:00,True,0.0,-170.0,-0.001551661190215407,range,0.0008234217749314432,0.27832512315270935,109560.0,108995.0,565.0,0.00518348623853211,109000.0,109550.0,0.005045871559633097,True,up,10:00:00,True,0.0,-170.0,-0.001551661190215407,range,-0.0014605203103605913,0.27832512315270935,WIN,M5,False,largo,medio,medio
2022-12-23,Friday,2022,113,109560.0,111430.0,111825.0,109285.0,2540.0,0.017068273092369468,18:20:00,109725.0,109285.0,440.0,0.004016064257028112,109560.0,109365.0,-0.0017798466593647033,True,up,09:25:00,True,5.0,1705.0,0.015538847117794486,trend,0.018881726329264437,0.1732283464566929,109830.0,109285.0,545.0,0.004974443227455275,109560.0,109795.0,0.002144943410003597,True,up,09:40:00,True,0.0,1600.0,0.01456796867886734,trend,0.014891388496743874,0.21456692913385828,110045.0,109285.0,760.0,0.006936838262139467,109560.0,109850.0,0.002646951442132117,True,up,10:05:00,True,0.0,1385.0,0.012585760370757417,trend,0.014383249886208427,0.2992125984251969,WIN,M5,False,medio,medio,largo
2022-12-26,Monday,2022,113,111240.0,110520.0,111775.0,109940.0,1835.0,-0.006472491909385147,18:20:00,111700.0,111185.0,515.0,0.004629629629629629,111240.0,111490.0,0.002247393024092048,True,up,09:15:00,True,0.0,-1180.0,-0.010564010743061772,reversal,-0.00870033186832897,0.28065395095367845,111775.0,111185.0,590.0,0.005303847536857246,111240.0,111675.0,0.003910463861920066,True,down,09:55:00,True,0.0,665.0,0.005981022619957728,trend,-0.010342511752854278,0.3215258855585831,111775.0,111145.0,630.0,0.0056634304207119745,111240.0,111225.0,-0.00013484358144555397,True,down,10:00:00,True,0.0,625.0,0.0056232848981060774,weak_trend,-0.006338503034389764,0.34332425068119893,WIN,M5,False,largo,largo,medio
2022-12-27,Tuesday,2022,113,111175.0,110090.0,111370.0,108945.0,2425.0,-0.009759388351697762,18:20:00,111370.0,110800.0,570.0,0.005127051945131549,111175.0,110960.0,-0.0019338880143917603,True,down,10:10:00,False,,710.0,0.006407942238267148,trend,-0.007840663302090878,0.23505154639175257,111370.0,110800.0,570.0,0.005127051945131549,111175.0,110970.0,-0.0018439397346525777,True,down,10:10:00,False,,710.0,0.006407942238267148,trend,-0.00793007119041178,0.23505154639175257,111370.0,110800.0,570.0,0.005127051945131549,111175.0,110885.0,-0.002608500112435297,True,down,10:10:00,False,,710.0,0.006407942238267148,trend,-0.007169590115885804,0.23505154639175257,WIN,M5,False,largo,medio,medio
