month,ret
2023-02,0.006079624857727458
2023-03,0.005510077845171977
2023-05,0.016373250845878963
2023-06,-0.006126906253140849
2023-07,0.0029440824262725257
2023-08,-0.002080435559258884
2023-09,0.0035535408308485293
2023-10,0.007345626471712704
2023-11,0.01327818811475776
2023-12,0.0024769951065340733
2024-01,-0.0036999999999998167
2024-02,0.003313947014176154
2024-03,0.017648191057446534
2024-04,0.007810134746962267
2024-05,0.008879192236569732
2024-06,0.005658792231330798
2024-07,0.012840647900047438
2024-08,0.008085152950371146
2024-09,0.03303648144765469
2024-10,-0.00022955298341320542
2024-11,0.0033624505040254233
2024-12,-0.0011676249109695501
