date,pos,ret,equity,window
2022-06-30,1,-0.001720356951744301,1.1258140639905376,CONFIRM
2022-07-01,1,-0.014125091700165154,1.1099118370993357,CONFIRM
2022-07-04,1,0.0023794663399479277,1.1125528349560234,CONFIRM
2022-07-05,1,-0.01581119827477237,1.0949620414913737,CONFIRM
2022-07-06,1,-0.007407013274790736,1.086851643114655,CONFIRM
2022-07-07,1,0.012959033587650742,1.1009361900625714,CONFIRM
2022-07-08,1,0.010750558876031963,1.1127718693925934,CONFIRM
2022-07-11,1,-0.006942961547527354,1.1050459370922305,CONFIRM
2022-07-12,1,-0.011601415197387305,1.0922258403638376,CONFIRM
2022-07-13,1,0.002787560088020863,1.095270485523541,CONFIRM
2022-07-14,1,-0.010245801619941125,1.08404856140869,CONFIRM
2022-07-15,1,0.01057491584005546,1.09551228371212,CONFIRM
2022-07-18,1,0.0066985961553995,1.102850678083987,CONFIRM
2022-07-19,1,-0.003843972730250139,1.0986113501518944,CONFIRM
2022-07-20,1,-0.006701330073284301,1.09124919287227,CONFIRM
2022-07-21,1,-0.008087722465142083,1.0824234722600088,CONFIRM
2022-07-22,1,0.004586829089428118,1.0873883637296509,CONFIRM
2022-07-25,1,0.0073554267096927195,1.095386569144037,CONFIRM
2022-07-26,1,0.010321972714545519,1.1066931194226215,CONFIRM
2022-07-27,1,0.010383645348706644,1.11818462828456,CONFIRM
2022-07-28,1,0.017821747999671872,1.1381126329469542,CONFIRM
2022-07-29,1,0.0054752329091685425,1.1443440646892058,CONFIRM
2022-08-01,1,0.005751358482940311,1.1509255976330584,CONFIRM
2022-08-02,1,-0.01361674689977474,1.135253735069617,CONFIRM
2022-08-03,1,-0.00948654702667559,1.12448409712467,CONFIRM
2022-08-04,1,0.008680072765257814,1.1342447009110872,CONFIRM
2022-08-05,1,0.00506645084596344,1.1399912959355478,CONFIRM
2022-08-08,1,0.018008768263650582,1.1605211350066298,CONFIRM
2022-08-09,1,0.0008595686969898612,1.1615186826464767,CONFIRM
2022-08-10,1,0.014603327922264571,1.178480720857,CONFIRM
2022-08-11,1,-0.012065226735024663,1.164262083757005,CONFIRM
2022-08-12,1,0.0024449121908607114,1.1671086023189394,CONFIRM
2022-08-15,1,0.002331464365886356,1.1698296744363654,CONFIRM
2022-08-16,1,-0.007738477139504289,1.1607769742436258,CONFIRM
2022-08-17,1,-0.00823746556535179,1.1512151138892408,CONFIRM
2022-08-18,1,0.0006231827625351198,1.1519325313041866,CONFIRM
2022-08-19,1,-0.0032204744211500585,1.148222762052231,CONFIRM
2022-08-22,1,0.005260553127116015,1.1542630488937704,CONFIRM
2022-08-23,1,0.013541938328526877,1.1698940079167872,CONFIRM
2022-08-24,1,1.8835619717357155e-05,1.1699160435954299,CONFIRM
2022-08-25,1,-0.0019986406089530766,1.1675778018816343,CONFIRM
2022-08-26,1,0.0056869818191480365,1.174217795613376,CONFIRM
2022-08-29,1,0.00974223552458828,1.1856573019354042,CONFIRM
2022-08-30,1,-0.003337155885861613,1.1817005786916357,CONFIRM
2022-08-31,1,-0.022763270502124483,1.154801208766361,CONFIRM
2022-09-01,1,-0.003779236131555534,1.1504369423134273,CONFIRM
2022-09-02,1,0.002891197263583641,1.1537630824529694,CONFIRM
2022-09-05,1,0.00411175272364492,1.1585070709496865,CONFIRM
2022-09-06,1,-0.010075636700359296,1.146834374588,CONFIRM
2022-09-08,1,0.001808479636888323,1.148908401201326,CONFIRM
2022-09-09,1,0.010419390065266128,1.1608793259827037,CONFIRM
2022-09-12,1,0.009126118395648893,1.1714736481546828,CONFIRM
2022-09-13,1,-0.011526795454533193,1.157970311032028,CONFIRM
2022-09-14,1,0.0007969070509034908,1.1588931057376264,CONFIRM
2022-09-15,1,-0.008029768058181034,1.1495874628943281,CONFIRM
2022-09-16,1,-0.012440935980493477,1.135285518864482,CONFIRM
2022-09-19,1,0.010149425376925288,1.1468080145197008,CONFIRM
2022-09-20,1,0.013052311004730451,1.1617765093879295,CONFIRM
2022-09-21,1,0.0006621882986566922,1.1625458241981004,CONFIRM
2022-09-22,1,0.0006719609903140537,1.1633270096414141,CONFIRM
2022-09-23,1,-0.010841781047643244,1.1507144729160723,CONFIRM
2022-09-26,1,-0.0243230435424521,1.122725594686405,CONFIRM
2022-09-27,1,0.0011287740433810493,1.1239928981955265,CONFIRM
2022-09-28,1,-0.0012254556094920806,1.1226154947934035,CONFIRM
2022-09-29,1,-0.005626354547397487,1.1162992619992937,CONFIRM
2022-09-30,1,-0.0024003248058185583,1.11361978119,CONFIRM
2022-10-03,1,0.03855734389215457,1.1565580020584485,CONFIRM
2022-10-04,1,0.01174672819364095,1.1701437745488095,CONFIRM
2022-10-05,1,-0.013875868449612664,1.153907013466037,CONFIRM
2022-10-06,1,0.0029707650426498994,1.1573350000841103,CONFIRM
2022-10-07,1,-0.003694436886105072,1.153059298970219,CONFIRM
2022-10-10,1,0.005743608308864086,1.1596820199403974,CONFIRM
2022-10-11,1,-0.002063301228248852,1.1572892466042763,CONFIRM
2022-10-13,1,-0.01784438509158473,1.1366381316255196,CONFIRM
2022-10-14,1,0.004022122468787722,1.1412098293936115,CONFIRM
2022-10-17,1,0.002483098274538716,1.1440435655518655,CONFIRM
2022-10-18,1,0.000685311130033535,1.1448275913405814,CONFIRM
2022-10-19,1,-0.0017246010758410742,1.142853220444903,CONFIRM
2022-10-20,1,0.01234966434561366,1.156967074113701,CONFIRM
2022-10-21,1,0.0053074169995027416,1.163107580830717,CONFIRM
2022-10-24,1,-0.01550835586724855,1.1450696945552996,CONFIRM
2022-10-25,1,-0.0061971666767991745,1.1379735068015888,CONFIRM
2022-10-26,1,-0.002575406025524222,1.135042762975285,CONFIRM
2022-10-27,1,0.004982892470467988,1.1406985590125738,CONFIRM
2022-10-28,1,-0.008127171631831546,1.1314279060432957,CONFIRM
2022-10-31,1,0.016919364408462506,1.1505709470875458,CONFIRM
2022-11-01,1,0.020735594653957662,1.1744287198669732,CONFIRM
2022-11-03,1,0.0032850475521237505,1.178286774058316,CONFIRM
2022-11-04,1,0.01961336432292901,1.2013969418348105,CONFIRM
2022-11-07,1,-0.010091788741127953,1.1892726977035764,CONFIRM
2022-11-08,1,-0.016508210478677482,1.1696399336933412,CONFIRM
2022-11-09,1,0.0025754886182237386,1.1726523280299883,CONFIRM
2022-11-10,1,-0.027441447886674603,1.1404730502811657,CONFIRM
2022-11-11,1,0.0005979959024578778,1.1411550484920974,CONFIRM
2022-11-14,1,0.0010693005872594878,1.142375286255604,CONFIRM
2022-11-16,1,-0.003249881140032688,1.1386627023579625,CONFIRM
2022-11-17,1,-0.026919376817749724,1.1080106120048714,CONFIRM
2022-11-18,1,0.021906389011747324,1.1322831235005943,CONFIRM
2022-11-21,1,0.004429527594446566,1.1372986028408665,CONFIRM
2022-11-22,1,-0.0011490848257031101,1.1359917502740486,CONFIRM
2022-11-23,1,-0.010727064025098846,1.123805894036875,CONFIRM
2022-11-24,1,0.014834744300335575,1.140477267118122,CONFIRM
2022-11-25,1,-0.006401586853769818,1.1331764028379154,CONFIRM
2022-11-28,1,-0.005029364012139407,1.1274772462180769,CONFIRM
2022-11-29,1,0.013736903430533883,1.1429652922694988,CONFIRM
2022-11-30,1,0.0028965312132156213,1.1462759269141796,CONFIRM
2022-12-01,1,0.019109737906269547,1.1681809594457757,CONFIRM
2022-12-02,1,-0.0001474917833283169,1.168008662352817,CONFIRM
2022-12-05,1,-0.009074782101314098,1.1574092382495178,CONFIRM
2022-12-06,1,0.0016491355851197835,1.1593179630108614,CONFIRM
2022-12-07,1,0.003941068874436212,1.1638869149504583,CONFIRM
2022-12-08,1,0.0025940445737457647,1.1669060894866392,CONFIRM
2022-12-09,1,-0.005502129406495996,1.1604856211770556,CONFIRM
2022-12-12,1,-0.012434226949672582,1.1460558795915083,CONFIRM
2022-12-13,1,0.007834258481616648,1.1550343775866048,CONFIRM
2022-12-14,1,-0.013640042223609065,1.1392796599066035,CONFIRM
2022-12-15,1,0.004509502973864739,1.144417244921016,CONFIRM
2022-12-16,1,0.007422673536977871,1.1529118805201521,CONFIRM
2022-12-19,1,-0.006369841485495046,1.1455680145944949,CONFIRM
2022-12-20,1,0.014122505004647375,1.1617463046137697,CONFIRM
2022-12-21,1,0.007887302085422628,1.170909348664882,CONFIRM
2022-12-22,1,0.003409032025734145,1.1749010161337121,CONFIRM
2022-12-23,1,0.00854662363522782,1.1849424529272536,CONFIRM
2022-12-26,1,-0.007966184173075068,1.17550298311274,CONFIRM
2022-12-27,1,-0.01817315221072882,1.1541403884764663,CONFIRM
2022-12-28,1,0.002151022732690607,1.1566229706887956,CONFIRM
2022-12-29,1,0.010933911835646822,1.169269384277391,CONFIRM
2023-01-02,1,-0.023795463501378317,1.1414460773205393,CONFIRM
