date,pos,ret,equity,window
2000-01-03,0,0.0,1.0,DISCOVERY
2000-01-04,1,-0.01770655301575002,0.98229344698425,DISCOVERY
2000-01-05,1,-0.010821624180112954,0.9716634364663989,DISCOVERY
2000-01-06,1,0.004938316437088432,0.9764618179860187,DISCOVERY
2000-01-07,1,0.010210127917072888,0.9864316180537936,DISCOVERY
2000-01-10,1,0.007019153100573674,0.9933555326041599,DISCOVERY
2000-01-11,1,-0.0027338947871816902,0.9906398030917553,DISCOVERY
2000-01-12,1,-0.0047540814219314,0.985930220808051,DISCOVERY
2000-01-13,1,0.007067598523012142,0.9928983797804272,DISCOVERY
2000-01-14,1,0.011235427488934933,1.0040540175303312,DISCOVERY
2000-01-17,1,0.0026839757685068197,1.0067488741836546,DISCOVERY
2000-01-18,1,0.002288637346444183,1.009052957255602,DISCOVERY
2000-01-19,1,-0.0028846984886303742,1.0061421437148588,DISCOVERY
2000-01-20,1,0.010639269471322366,1.0168467611082952,DISCOVERY
2000-01-21,1,0.0014245828417747334,1.0182953435568842,DISCOVERY
2000-01-24,1,0.007885583447348375,1.0263251964625484,DISCOVERY
2000-01-26,1,-0.006165926702577448,1.0199969505281519,DISCOVERY
2000-01-27,1,0.001358278128296818,1.0213823900769836,DISCOVERY
2000-01-28,1,-0.006413116783027241,1.0148321455292924,DISCOVERY
2000-01-31,1,-0.007887920354424647,1.0068272303922474,DISCOVERY
2000-02-01,1,0.005556049746107213,1.012421212570042,DISCOVERY
2000-02-02,1,0.002241565506049892,1.0146906210377322,DISCOVERY
2000-02-03,1,0.00721419356684524,1.0220107955883608,DISCOVERY
2000-02-04,1,0.00011797572307435161,1.02213136805096,DISCOVERY
2000-02-07,1,0.007536821978375584,1.0298349902104735,DISCOVERY
2000-02-08,1,0.0007397209476728094,1.0305967807253786,DISCOVERY
2000-02-09,1,0.0016983766099196815,1.032347122192021,DISCOVERY
2000-02-10,1,-0.003121304626324676,1.0291248523435501,DISCOVERY
2000-02-11,1,0.0031670477171671044,1.0323841398578446,DISCOVERY
2000-02-14,1,-0.002495262113431462,1.0298080708271498,DISCOVERY
2000-02-15,1,-0.0032230300033654602,1.0264889685171659,DISCOVERY
2000-02-16,1,0.002258315288880924,1.0288071042486358,DISCOVERY
2000-02-17,1,5.13309802537849e-06,1.0288123852163509,DISCOVERY
2000-02-18,1,0.002429065024362965,1.0313114373979113,DISCOVERY
2000-02-21,1,-0.004004553858009479,1.0271814952024703,DISCOVERY
2000-02-22,1,-0.0018527790298050535,1.0252783548683553,DISCOVERY
2000-02-23,1,-0.002967995060629815,1.0222353337753354,DISCOVERY
2000-02-24,1,0.006436542656609436,1.0288149951062737,DISCOVERY
2000-02-25,1,0.002592349211613166,1.0314820428477331,DISCOVERY
2000-02-28,1,-0.002197566530683321,1.02921529243337,DISCOVERY
2000-02-29,1,0.006241584376247353,1.0356392265224168,DISCOVERY
2000-03-01,1,0.0008492752466545814,1.0365187692819668,DISCOVERY
2000-03-02,1,0.00486680393676133,1.0415633029088354,DISCOVERY
2000-03-03,1,0.0055125297567163575,1.0473049516096242,DISCOVERY
2000-03-08,1,0.0011962253245697684,1.048557764315287,DISCOVERY
2000-03-09,1,0.00931156959322945,1.05832148291023,DISCOVERY
2000-03-10,1,-0.002024471075793712,1.0561789416791871,DISCOVERY
2000-03-13,1,-0.006219370905554447,1.0496101730982483,DISCOVERY
2000-03-14,1,0.00788143174863652,1.0578826040401967,DISCOVERY
2000-03-15,1,-0.0029463104439840944,1.054765753475404,DISCOVERY
2000-03-16,1,0.004700144906911159,1.0597233053595856,DISCOVERY
2000-03-17,1,-0.0024261420395208307,1.0571522660981927,DISCOVERY
2000-03-20,1,0.001543803870688552,1.0587843018585021,DISCOVERY
2000-03-21,1,0.0008555805546447187,1.0596901771187353,DISCOVERY
2000-03-22,1,0.004811695083723444,1.0647890831342475,DISCOVERY
2000-03-23,1,0.004082941944753978,1.0691365551440923,DISCOVERY
2000-03-24,1,0.0009112854209346012,1.0701108436997833,DISCOVERY
2000-03-27,1,-0.006983585968314847,1.0626376326271798,DISCOVERY
2000-03-28,1,-0.004969328473214831,1.057357037182656,DISCOVERY
2000-03-29,1,0.004845662866771529,1.0624806329146514,DISCOVERY
2000-03-30,1,-0.007799615208299318,1.0541936928116469,DISCOVERY
2000-03-31,1,0.0032226069994643358,1.0575909447848928,DISCOVERY
2000-04-03,1,0.004203456694303063,1.0620364825215831,DISCOVERY
2000-04-04,1,-0.0006011646304205696,1.0613980237520748,DISCOVERY
2000-04-05,1,-0.005710103904722425,1.0553373307521834,DISCOVERY
2000-04-06,1,0.006649154171663631,1.0623544313674667,DISCOVERY
2000-04-07,1,-0.0004829605058551064,1.061841356133896,DISCOVERY
2000-04-10,1,0.003413103694750224,1.0654655307897551,DISCOVERY
2000-04-11,1,-0.0030737516586873343,1.062190554347216,DISCOVERY
2000-04-12,1,-0.0008817574921857065,1.0612539598677917,DISCOVERY
2000-04-13,1,-0.008836552066278324,1.051876133995876,DISCOVERY
2000-04-14,1,-0.010909190743197822,1.0404010166118973,DISCOVERY
2000-04-17,1,-0.0018135938355955106,1.0385141517416228,DISCOVERY
2000-04-18,1,0.010342001120258765,1.0492544662623393,DISCOVERY
2000-04-19,1,0.002358453322660525,1.0517290839446123,DISCOVERY
2000-04-20,1,-0.0064735236534855635,1.0449206908426383,DISCOVERY
2000-04-24,1,-0.006982822743684486,1.0376241948772758,DISCOVERY
2000-04-25,1,0.001999056471583233,1.0396984642391165,DISCOVERY
2000-04-26,1,-0.004986796542240474,1.0345136995326762,DISCOVERY
2000-04-27,1,-0.005013152111854086,1.0293275249951221,DISCOVERY
2000-04-28,1,0.0013183960223857758,1.0306845863098077,DISCOVERY
2000-05-02,1,0.0037002537480417623,1.0344983808133494,DISCOVERY
2000-05-03,1,-0.008117123433104187,1.026101229764941,DISCOVERY
2000-05-04,1,0.0014263816200535964,1.0275648416993923,DISCOVERY
2000-05-05,1,0.0018724010877931854,1.0294888552267685,DISCOVERY
2000-05-08,1,0.0037474225206186886,1.0333467849475713,DISCOVERY
2000-05-09,1,-0.0007250896002941701,1.0325975159403085,DISCOVERY
2000-05-10,1,-0.004541445602057836,1.0279080304928454,DISCOVERY
2000-05-11,1,0.0008182329590406997,1.0287490987222572,DISCOVERY
2000-05-12,1,-0.005296195274159118,1.0233006426073088,DISCOVERY
2000-05-15,1,-0.005929144594904431,1.0172333451332314,DISCOVERY
2000-05-16,1,0.010439090460381854,1.0278523360423941,DISCOVERY
2000-05-17,1,-0.004740929913547174,1.0229793601557415,DISCOVERY
2000-05-18,1,-0.0002951759926432131,1.022677401207654,DISCOVERY
2000-05-19,1,-0.007725080691014006,1.0147771357624484,DISCOVERY
2000-05-22,1,-0.0003442439511566621,1.0144278048716902,DISCOVERY
2000-05-23,1,-0.003319929588395596,1.0110599759870056,DISCOVERY
2000-05-24,1,0.0004162299579940888,1.0114808094383403,DISCOVERY
2000-05-25,1,0.008235442373329653,1.0198108013561986,DISCOVERY
2000-05-26,1,-0.003005859123609145,1.016745393754587,DISCOVERY
2000-05-29,1,0.004049665677148176,1.0208628726780735,DISCOVERY
2000-05-30,1,0.004920808840524543,1.025886343726911,DISCOVERY
2000-05-31,1,0.0025327597781740147,1.0284846673952803,DISCOVERY
2000-06-01,1,0.003912335430821021,1.032508444399587,DISCOVERY
2000-06-02,1,0.005800065046107224,1.0384970605377597,DISCOVERY
2000-06-05,1,0.00985818823340252,1.0487347600403762,DISCOVERY
2000-06-06,1,0.0023091887655893096,1.0511564865663445,DISCOVERY
2000-06-07,1,-0.007243274395963179,1.0435426717010479,DISCOVERY
2000-06-08,1,0.005287754599893864,1.0490606692635207,DISCOVERY
2000-06-09,1,-0.002430309488830132,1.046511127164651,DISCOVERY
2000-06-12,1,-0.0018696203557579218,1.0445545486587768,DISCOVERY
2000-06-13,1,-0.0029150067848748187,1.0415096650622646,DISCOVERY
2000-06-14,1,2.0873640768524363e-05,1.0415314051608702,DISCOVERY
2000-06-15,1,0.0019483607548524513,1.043560684075632,DISCOVERY
2000-06-16,1,0.0007431423285532878,1.0443361981923827,DISCOVERY
2000-06-19,1,0.002788311558206202,1.0472481328844556,DISCOVERY
2000-06-20,1,0.0025698487706295715,1.049939402211293,DISCOVERY
2000-06-21,1,-0.0068425723955043245,1.0427551158407695,DISCOVERY
2000-06-23,1,-0.004144374773563345,1.038433547843675,DISCOVERY
2000-06-26,1,-0.003965341621020095,1.034315804075747,DISCOVERY
2000-06-27,1,0.002947023623192383,1.0373639571841993,DISCOVERY
2000-06-28,1,0.002567608257488215,1.040027501446686,DISCOVERY
2000-06-29,1,0.0016297796143483554,1.0417225170669053,DISCOVERY
2000-06-30,1,0.009826421017518615,1.0519589211030338,DISCOVERY
2000-07-03,1,-0.004090804214194227,1.0476555631154263,DISCOVERY
2000-07-04,1,-0.0019137188847940737,1.0456506448795326,DISCOVERY
2000-07-05,1,0.0044572790036197275,1.0503114015440755,DISCOVERY
2000-07-06,1,0.004641298922504861,1.0551862107203567,DISCOVERY
2000-07-07,1,0.00026571059357412757,1.0554665848747384,DISCOVERY
2000-07-10,1,-0.0015266599299564349,1.0538552463322022,DISCOVERY
2000-07-11,1,0.002256545759788844,1.0562333189197444,DISCOVERY
2000-07-12,1,-0.0030814914256899854,1.052978545003965,DISCOVERY
2000-07-13,1,-0.003518052568880737,1.0492741111287376,DISCOVERY
2000-07-14,1,0.000252998984617659,1.0495395764134388,DISCOVERY
2000-07-17,1,0.007375113431877734,1.0572800498407329,DISCOVERY
2000-07-18,1,0.0008652067589718141,1.058194815685981,DISCOVERY
2000-07-19,1,-0.0037543059802706297,1.0542220285611599,DISCOVERY
2000-07-20,1,0.0019566716043648994,1.0562847948691414,DISCOVERY
2000-07-21,1,0.005567055802197091,1.0621651912651904,DISCOVERY
2000-07-24,1,-0.0016048868532837566,1.0604605363137132,DISCOVERY
2000-07-25,1,0.003579793631842372,1.0642567661884292,DISCOVERY
2000-07-26,1,-0.001160331234596851,1.0630218758209897,DISCOVERY
2000-07-27,1,0.004698223596594102,1.0680161902816676,DISCOVERY
2000-07-28,1,0.0014140060079185586,1.0695263715912802,DISCOVERY
2000-07-31,1,0.004828593426738814,1.0746906795988698,DISCOVERY
2000-08-01,1,-0.007091685933414306,1.067069310823587,DISCOVERY
2000-08-02,1,-0.0016642956197643899,1.065293392043598,DISCOVERY
2000-08-03,1,-0.008750004527808887,1.0559720700397717,DISCOVERY
2000-08-04,1,0.009198428328326345,1.065685353442747,DISCOVERY
2000-08-07,1,-0.001995905231461525,1.0635583464707188,DISCOVERY
2000-08-08,1,-0.0013769004936838066,1.0620939324584018,DISCOVERY
2000-08-09,1,0.0026816007894747813,1.0649420443861786,DISCOVERY
2000-08-10,1,-0.00032210451543253897,1.0645990217450079,DISCOVERY
2000-08-11,1,0.0005152037528963939,1.0651475071563408,DISCOVERY
