date,instrument,tf,mechanic,direction,entry_time,entry_price,exit_time,exit_price,exit_reason,stop_price,target_price,or_high,or_low,or_width,is_roll,tercile,year,pnl_pts,pnl_pct,pnl_rs_gross,pnl_liq_pts_05tick,pnl_liq_pct_05tick,pnl_liq_rs_05tick,pnl_liq_pts_1tick,pnl_liq_pct_1tick,pnl_liq_rs_1tick,pnl_liq_pts_2tick,pnl_liq_pct_2tick,pnl_liq_rs_2tick
2022-12-27,WDO,M5,C4,long,2022-12-27 09:20:00,5247.5,2022-12-27 14:55:00,5298.5,tp,5220.5,5298.5,5246.0,5195.0,51.0,False,1,2022,51.0,0.009718913768461172,510.0,50.5,0.009623630300142925,505.0,50.0,0.009528346831824679,500.0,49.0,0.009337779895188185,490.0
2022-12-28,WDO,M5,C4,long,2022-12-28 10:10:00,5279.5,2022-12-28 10:20:00,5266.0,stop,5266.0,5301.5,5277.0,5255.0,22.0,False,1,2022,-13.5,-0.0025570603276825455,-135.0,-14.0,-0.002651766265744862,-140.0,-14.5,-0.002746472203807179,-145.0,-15.5,-0.0029358840799318118,-155.0
2022-12-29,WDO,M5,C4,short,2022-12-29 09:30:00,5266.5,2022-12-29 10:00:00,5238.5,tp,5284.5,5238.5,5298.5,5270.5,28.0,True,1,2022,28.0,0.0053166239437956895,280.0,27.5,0.005221684230513624,275.0,27.0,0.005126744517231558,270.0,26.0,0.004936865090667426,260.0
2023-01-02,WDO,M5,C4,long,2023-01-02 10:00:00,5383.5,2023-01-02 18:25:00,5396.0,eod,5351.25,5445.0,5382.0,5320.5,61.5,False,1,2023,12.5,0.0023219095384043836,125.0,12.0,0.0022290331568682086,120.0,11.5,0.002136156775332033,115.0,10.5,0.0019504040122596824,105.0
2023-01-03,WDO,M5,C4,short,2023-01-03 09:30:00,5383.5,2023-01-03 12:10:00,5420.5,stop,5420.5,5347.5,5438.5,5402.5,36.0,False,1,2023,-37.0,-0.006872852233676976,-370.0,-37.5,-0.006965728615213151,-375.0,-38.0,-0.007058604996749327,-380.0,-39.0,-0.007244357759821678,-390.0
2023-01-04,WDO,M5,C4,short,2023-01-04 10:30:00,5463.5,2023-01-04 11:15:00,5482.25,stop,5482.25,5430.0,5499.0,5465.5,33.5,False,1,2023,-18.75,-0.003431866019950581,-187.5,-19.25,-0.003523382447149263,-192.5,-19.75,-0.0036148988743479452,-197.5,-20.75,-0.00379793172874531,-207.5
2023-01-05,WDO,M5,C4,short,2023-01-05 09:20:00,5416.0,2023-01-05 10:55:00,5443.75,stop,5443.75,5384.5,5459.5,5428.0,31.5,False,1,2023,-27.75,-0.00512370753323486,-277.5,-28.25,-0.00521602658788774,-282.5,-28.75,-0.0053083456425406204,-287.5,-29.75,-0.005492983751846381,-297.5
2023-01-06,WDO,M5,C4,short,2023-01-06 09:30:00,5375.0,2023-01-06 10:35:00,5355.0,tp,5387.5,5355.0,5397.5,5377.5,20.0,False,1,2023,20.0,0.0037209302325581397,200.0,19.5,0.003627906976744186,195.0,19.0,0.0035348837209302326,190.0,18.0,0.0033488372093023254,180.0
2023-01-10,WDO,M5,C4,short,2023-01-10 09:20:00,5277.0,2023-01-10 10:00:00,5289.25,stop,5289.25,5255.5,5300.0,5278.5,21.5,False,1,2023,-12.25,-0.0023213947318552206,-122.5,-12.75,-0.0024161455372370667,-127.5,-13.25,-0.0025108963426189123,-132.5,-14.25,-0.0027003979533826035,-142.5
2023-01-11,WDO,M5,C4,long,2023-01-11 09:20:00,5232.5,2023-01-11 09:45:00,5250.0,tp,5221.25,5250.0,5230.0,5212.5,17.5,False,1,2023,17.5,0.0033444816053511705,175.0,17.0,0.003248924988055423,170.0,16.5,0.0031533683707596753,165.0,15.5,0.0029622551361681796,155.0
2023-01-12,WDO,M5,C4,short,2023-01-12 09:25:00,5182.0,2023-01-12 09:30:00,5167.5,tp,5190.75,5167.5,5198.0,5183.5,14.5,False,1,2023,14.5,0.0027981474334233887,145.0,14.0,0.002701659590891548,140.0,13.5,0.0026051717483597065,135.0,12.5,0.002412196063296025,125.0
