date,instrument,tf,mechanic,direction,entry_time,entry_price,exit_time,exit_price,exit_reason,stop_price,target_price,or_high,or_low,or_width,is_roll,tercile,year,pnl_pts,pnl_pct,pnl_rs_gross,pnl_liq_pts_05tick,pnl_liq_pct_05tick,pnl_liq_rs_05tick,pnl_liq_pts_1tick,pnl_liq_pct_1tick,pnl_liq_rs_1tick,pnl_liq_pts_2tick,pnl_liq_pct_2tick,pnl_liq_rs_2tick
2022-12-28,WDO,M5,C2,short,2022-12-28 10:05:00,5275.0,2022-12-28 10:20:00,5266.0,tp,5282.0,5266.0,5277.0,5255.0,22.0,False,1,2022,9.0,0.0017061611374407583,90.0,8.5,0.0016113744075829384,85.0,8.0,0.0015165876777251184,80.0,7.0,0.0013270142180094786,70.0
2022-12-29,WDO,M5,C2,long,2022-12-29 09:25:00,5271.5,2022-12-29 09:25:00,5269.0,stop,5269.0,5284.5,5298.5,5270.5,28.0,True,1,2022,-2.5,-0.00047424831641847674,-25.0,-3.0,-0.0005690979797021721,-30.0,-3.5,-0.0006639476429858674,-35.0,-4.5,-0.0008536469695532581,-45.0
2023-01-02,WDO,M5,C2,short,2023-01-02 09:20:00,5376.0,2023-01-02 10:55:00,5393.5,stop,5393.5,5351.25,5382.0,5320.5,61.5,False,1,2023,-17.5,-0.0032552083333333335,-175.0,-18.0,-0.0033482142857142855,-180.0,-18.5,-0.003441220238095238,-185.0,-19.5,-0.003627232142857143,-195.0
2023-01-03,WDO,M5,C2,long,2023-01-03 09:20:00,5413.5,2023-01-03 09:20:00,5420.5,tp,5402.0,5420.5,5438.5,5402.5,36.0,False,1,2023,7.0,0.001293063637203288,70.0,6.5,0.0012007019488316246,65.0,6.0,0.0011083402604599613,60.0,5.0,0.0009236168837166343,50.0
2023-01-04,WDO,M5,C2,short,2023-01-04 09:50:00,5488.0,2023-01-04 09:50:00,5482.25,tp,5500.0,5482.25,5499.0,5465.5,33.5,False,1,2023,5.75,0.0010477405247813411,57.5,5.25,0.0009566326530612245,52.5,4.75,0.0008655247813411079,47.5,3.75,0.0006833090379008746,37.5
2023-01-06,WDO,M5,C2,long,2023-01-06 09:20:00,5381.0,2023-01-06 09:20:00,5376.5,stop,5376.5,5387.5,5397.5,5377.5,20.0,False,1,2023,-4.5,-0.0008362757851700427,-45.0,-5.0,-0.000929195316855603,-50.0,-5.5,-0.0010221148485411633,-55.0,-6.5,-0.0012079539119122839,-65.0
2023-01-09,WDO,M5,C2,long,2023-01-09 09:30:00,5283.5,2023-01-09 09:50:00,5298.75,tp,5273.0,5298.75,5321.0,5276.5,44.5,False,1,2023,15.25,0.0028863442793602727,152.5,14.75,0.002791710040692723,147.5,14.25,0.0026970758020251726,142.5,13.25,0.002507807324690073,132.5
2023-01-12,WDO,M5,C2,long,2023-01-12 09:20:00,5186.0,2023-01-12 09:20:00,5182.5,stop,5182.5,5190.75,5198.0,5183.5,14.5,False,1,2023,-3.5,-0.000674893945237177,-35.0,-4.0,-0.0007713073659853452,-40.0,-4.5,-0.0008677207867335133,-45.0,-5.5,-0.0010605476282298497,-55.0
2023-01-18,WDO,M5,C2,short,2023-01-18 09:25:00,5105.0,2023-01-18 09:25:00,5108.5,stop,5108.5,5095.75,5108.0,5083.5,24.5,False,1,2023,-3.5,-0.0006856023506366307,-35.0,-4.0,-0.0007835455435847208,-40.0,-4.5,-0.000881488736532811,-45.0,-5.5,-0.0010773751224289912,-55.0
2023-01-19,WDO,M5,C2,long,2023-01-19 09:25:00,5252.0,2023-01-19 09:25:00,5237.0,stop,5237.0,5254.75,5269.0,5240.5,28.5,False,1,2023,-15.0,-0.0028560548362528563,-150.0,-15.5,-0.002951256664127951,-155.0,-16.0,-0.0030464584920030465,-160.0,-17.0,-0.003236862147753237,-170.0
2023-02-01,WDO,M5,C2,short,2023-02-01 09:20:00,5092.0,2023-02-01 09:20:00,5086.5,tp,5095.0,5086.5,5094.0,5079.0,15.0,False,1,2023,5.5,0.00108012568735271,55.0,5.0,0.0009819324430479183,50.0,4.5,0.0008837391987431265,45.0,3.5,0.0006873527101335428,35.0
2023-02-03,WDO,M5,C2,long,2023-02-03 09:30:00,5105.0,2023-02-03 09:30:00,5100.0,stop,5100.0,5122.5,5142.0,5103.0,39.0,False,1,2023,-5.0,-0.0009794319294809011,-50.0,-5.5,-0.0010773751224289912,-55.0,-6.0,-0.0011753183153770813,-60.0,-7.0,-0.0013712047012732615,-70.0
2023-02-06,WDO,M5,C2,short,2023-02-06 09:30:00,5197.5,2023-02-06 09:30:00,5204.0,stop,5204.0,5190.75,5200.0,5181.5,18.5,False,1,2023,-6.5,-0.0012506012506012505,-65.0,-7.0,-0.0013468013468013469,-70.0,-7.5,-0.001443001443001443,-75.0,-8.5,-0.0016354016354016355,-85.0
2023-02-07,WDO,M5,C2,short,2023-02-07 09:30:00,5172.5,2023-02-07 09:35:00,5165.75,tp,5178.0,5165.75,5175.5,5156.0,19.5,False,1,2023,6.75,0.001304978250362494,67.5,6.25,0.001208313194780087,62.5,5.75,0.00111164813919768,57.5,4.75,0.0009183180280328661,47.5
2023-02-08,WDO,M5,C2,long,2023-02-08 09:20:00,5200.0,2023-02-08 09:20:00,5197.5,stop,5197.5,5205.0,5212.0,5198.0,14.0,False,1,2023,-2.5,-0.0004807692307692308,-25.0,-3.0,-0.000576923076923077,-30.0,-3.5,-0.000673076923076923,-35.0,-4.5,-0.0008653846153846154,-45.0
2023-02-09,WDO,M5,C2,short,2023-02-09 09:20:00,5205.5,2023-02-09 09:20:00,5211.0,stop,5211.0,5198.25,5207.5,5189.0,18.5,False,1,2023,-5.5,-0.0010565747766785132,-55.0,-6.0,-0.0011526270291038324,-60.0,-6.5,-0.001248679281529152,-65.0,-7.5,-0.0014407837863797907,-75.0
2023-02-10,WDO,M5,C2,long,2023-02-10 09:20:00,5297.5,2023-02-10 09:20:00,5294.5,stop,5294.5,5310.25,5323.5,5297.0,26.5,False,1,2023,-3.0,-0.0005663048607833884,-30.0,-3.5,-0.0006606890042472864,-35.0,-4.0,-0.0007550731477111845,-40.0,-5.0,-0.0009438414346389807,-50.0
2023-02-14,WDO,M5,C2,short,2023-02-14 09:20:00,5168.5,2023-02-14 09:25:00,5176.0,stop,5176.0,5162.75,5171.0,5154.5,16.5,False,1,2023,-7.5,-0.0014510979974847636,-75.0,-8.0,-0.0015478378639837477,-80.0,-8.5,-0.001644577730482732,-85.0,-9.5,-0.0018380574634807004,-95.0
2023-02-17,WDO,M5,C2,long,2023-02-17 09:25:00,5243.5,2023-02-17 09:25:00,5241.0,stop,5241.0,5252.5,5262.0,5243.0,19.0,False,1,2023,-2.5,-0.00047678077619910363,-25.0,-3.0,-0.0005721369314389244,-30.0,-3.5,-0.0006674930866787451,-35.0,-4.5,-0.0008582053971583866,-45.0
2023-02-23,WDO,M5,C2,short,2023-02-23 09:45:00,5154.5,2023-02-23 09:45:00,5157.5,stop,5157.5,5148.5,5156.0,5141.0,15.0,False,1,2023,-3.0,-0.0005820157144242894,-30.0,-3.5,-0.0006790183334950044,-35.0,-4.0,-0.0007760209525657193,-40.0,-5.0,-0.0009700261907071491,-50.0
2023-02-24,WDO,M5,C2,short,2023-02-24 09:20:00,5166.5,2023-02-24 09:20:00,5169.5,stop,5169.5,5160.0,5168.5,5151.5,17.0,False,1,2023,-3.0,-0.0005806638923836253,-30.0,-3.5,-0.0006774412077808962,-35.0,-4.0,-0.000774218523178167,-40.0,-5.0,-0.0009677731539727088,-50.0
2023-02-27,WDO,M5,C2,short,2023-02-27 09:55:00,5198.5,2023-02-27 09:55:00,5199.0,stop,5199.0,5188.0,5198.5,5177.5,21.0,False,1,2023,-0.5,-9.618159084351255e-05,-5.0,-1.0,-0.0001923631816870251,-10.0,-1.5,-0.00028854477253053765,-15.0,-2.5,-0.00048090795421756275,-25.0
2023-03-01,WDO,M5,C2,long,2023-03-01 10:05:00,5231.0,2023-03-01 10:10:00,5242.0,tp,5228.0,5242.0,5254.0,5230.0,24.0,False,1,2023,11.0,0.0021028484037468936,110.0,10.5,0.002007264385394762,105.0,10.0,0.0019116803670426305,100.0,9.0,0.0017205123303383673,90.0
