date,instrument,tf,mechanic,direction,entry_time,entry_price,exit_time,exit_price,exit_reason,stop_price,target_price,or_high,or_low,or_width,is_roll,tercile,year,pnl_pts,pnl_pct,pnl_rs_gross,pnl_liq_pts_05tick,pnl_liq_pct_05tick,pnl_liq_rs_05tick,pnl_liq_pts_1tick,pnl_liq_pct_1tick,pnl_liq_rs_1tick,pnl_liq_pts_2tick,pnl_liq_pct_2tick,pnl_liq_rs_2tick
2022-12-27,WDO,M5,C3,long,2022-12-27 09:20:00,5247.5,2022-12-27 18:25:00,5287.5,eod,5195.0,,5246.0,5195.0,51.0,False,1,2022,40.0,0.007622677465459742,400.0,39.5,0.0075273939971414955,395.0,39.0,0.0074321105288232495,390.0,38.0,0.007241543592186756,380.0
2022-12-28,WDO,M5,C3,long,2022-12-28 10:10:00,5279.5,2022-12-28 11:35:00,5255.0,stop,5255.0,,5277.0,5255.0,22.0,False,1,2022,-24.5,-0.0046405909650535085,-245.0,-25.0,-0.004735296903115825,-250.0,-25.5,-0.004830002841178142,-255.0,-26.5,-0.005019414717302775,-265.0
2022-12-29,WDO,M5,C3,short,2022-12-29 09:30:00,5266.5,2022-12-29 14:05:00,5298.5,stop,5298.5,,5298.5,5270.5,28.0,True,1,2022,-32.0,-0.006076141650052217,-320.0,-32.5,-0.006171081363334283,-325.0,-33.0,-0.006266021076616349,-330.0,-34.0,-0.0064559005031804804,-340.0
2023-01-02,WDO,M5,C3,long,2023-01-02 10:00:00,5383.5,2023-01-02 18:25:00,5396.0,eod,5320.5,,5382.0,5320.5,61.5,False,1,2023,12.5,0.0023219095384043836,125.0,12.0,0.0022290331568682086,120.0,11.5,0.002136156775332033,115.0,10.5,0.0019504040122596824,105.0
2023-01-03,WDO,M5,C3,short,2023-01-03 09:30:00,5383.5,2023-01-03 12:30:00,5438.5,stop,5438.5,,5438.5,5402.5,36.0,False,1,2023,-55.0,-0.010216401968979289,-550.0,-55.5,-0.010309278350515464,-555.0,-56.0,-0.01040215473205164,-560.0,-57.0,-0.01058790749512399,-570.0
2023-01-04,WDO,M5,C3,short,2023-01-04 10:30:00,5463.5,2023-01-04 12:05:00,5499.0,stop,5499.0,,5499.0,5465.5,33.5,False,1,2023,-35.5,-0.006497666331106434,-355.0,-36.0,-0.006589182758305116,-360.0,-36.5,-0.006680699185503798,-365.0,-37.5,-0.006863732039901162,-375.0
2023-01-05,WDO,M5,C3,short,2023-01-05 09:20:00,5416.0,2023-01-05 18:25:00,5380.0,eod,5459.5,,5459.5,5428.0,31.5,False,1,2023,36.0,0.0066469719350073855,360.0,35.5,0.006554652880354505,355.0,35.0,0.006462333825701625,350.0,34.0,0.006277695716395864,340.0
2023-01-06,WDO,M5,C3,short,2023-01-06 09:30:00,5375.0,2023-01-06 18:25:00,5250.0,eod,5397.5,,5397.5,5377.5,20.0,False,1,2023,125.0,0.023255813953488372,1250.0,124.5,0.023162790697674417,1245.0,124.0,0.023069767441860466,1240.0,123.0,0.022883720930232557,1230.0
2023-01-10,WDO,M5,C3,short,2023-01-10 09:20:00,5277.0,2023-01-10 18:25:00,5224.5,eod,5300.0,,5300.0,5278.5,21.5,False,1,2023,52.5,0.009948834565093803,525.0,52.0,0.009854083759711958,520.0,51.5,0.009759332954330112,515.0,50.5,0.009569831343566421,505.0
2023-01-11,WDO,M5,C3,long,2023-01-11 09:20:00,5232.5,2023-01-11 10:15:00,5212.5,stop,5212.5,,5230.0,5212.5,17.5,False,1,2023,-20.0,-0.003822264691829909,-200.0,-20.5,-0.003917821309125657,-205.0,-21.0,-0.004013377926421404,-210.0,-22.0,-0.0042044911610129,-220.0
2023-01-12,WDO,M5,C3,short,2023-01-12 09:25:00,5182.0,2023-01-12 10:30:00,5198.0,stop,5198.0,,5198.0,5183.5,14.5,False,1,2023,-16.0,-0.0030876109610189118,-160.0,-16.5,-0.0031840988035507526,-165.0,-17.0,-0.0032805866460825935,-170.0,-18.0,-0.0034735623311462757,-180.0
2023-01-13,WDO,M5,C3,long,2023-01-13 09:35:00,5152.0,2023-01-13 10:40:00,5127.5,stop,5127.5,,5145.0,5127.5,17.5,False,1,2023,-24.5,-0.004755434782608696,-245.0,-25.0,-0.004852484472049689,-250.0,-25.5,-0.004949534161490683,-255.0,-26.5,-0.005143633540372671,-265.0
2023-01-17,WDO,M5,C3,short,2023-01-17 09:35:00,5150.0,2023-01-17 18:25:00,5117.0,eod,5173.5,,5173.5,5150.0,23.5,False,1,2023,33.0,0.006407766990291262,330.0,32.5,0.006310679611650485,325.0,32.0,0.006213592233009709,320.0,31.0,0.006019417475728156,310.0
2023-01-18,WDO,M5,C3,long,2023-01-18 09:55:00,5110.0,2023-01-18 10:45:00,5083.5,stop,5083.5,,5108.0,5083.5,24.5,False,1,2023,-26.5,-0.005185909980430528,-265.0,-27.0,-0.005283757338551859,-270.0,-27.5,-0.0053816046966731895,-275.0,-28.5,-0.005577299412915852,-285.0
2023-01-19,WDO,M5,C3,short,2023-01-19 09:30:00,5233.0,2023-01-19 18:25:00,5184.5,eod,5269.0,,5269.0,5240.5,28.5,False,1,2023,48.5,0.009268106248805657,485.0,48.0,0.009172558761704567,480.0,47.5,0.009077011274603478,475.0,46.5,0.0088859163004013,465.0
2023-01-20,WDO,M5,C3,long,2023-01-20 09:25:00,5201.0,2023-01-20 18:25:00,5217.0,eod,5176.0,,5197.5,5176.0,21.5,False,1,2023,16.0,0.0030763314747164006,160.0,15.5,0.0029801961161315133,155.0,15.0,0.0028840607575466256,150.0,14.0,0.0026917900403768506,140.0
2023-01-23,WDO,M5,C3,short,2023-01-23 09:35:00,5206.5,2023-01-23 18:25:00,5215.5,eod,5230.5,,5230.5,5207.5,23.0,False,1,2023,-9.0,-0.001728608470181504,-90.0,-9.5,-0.0018246422740804764,-95.0,-10.0,-0.0019206760779794487,-100.0,-11.0,-0.0021127436857773935,-110.0
2023-01-26,WDO,M5,C3,long,2023-01-26 09:25:00,5098.0,2023-01-26 12:20:00,5073.0,stop,5073.0,,5093.0,5073.0,20.0,False,1,2023,-25.0,-0.004903883876029816,-250.0,-25.5,-0.005001961553550412,-255.0,-26.0,-0.0051000392310710085,-260.0,-27.0,-0.005296194586112201,-270.0
2023-01-27,WDO,M5,C3,long,2023-01-27 09:40:00,5096.0,2023-01-27 09:50:00,5080.5,stop,5080.5,,5095.0,5080.5,14.5,False,1,2023,-15.5,-0.00304160125588697,-155.0,-16.0,-0.0031397174254317113,-160.0,-16.5,-0.003237833594976452,-165.0,-17.5,-0.003434065934065934,-175.0
2023-01-30,WDO,M5,C3,short,2023-01-30 09:20:00,5106.5,2023-01-30 14:25:00,5129.0,stop,5129.0,,5129.0,5111.5,17.5,False,1,2023,-22.5,-0.004406149025751493,-225.0,-23.0,-0.004504063448545971,-230.0,-23.5,-0.004601977871340449,-235.0,-24.5,-0.004797806716929404,-245.0
2023-01-31,WDO,M5,C3,short,2023-01-31 09:20:00,5147.5,2023-01-31 18:25:00,5101.0,eod,5166.5,,5166.5,5150.0,16.5,True,1,2023,46.5,0.009033511413307431,465.0,46.0,0.008936376881981544,460.0,45.5,0.008839242350655658,455.0,44.5,0.008644973288003885,445.0
2023-02-01,WDO,M5,C3,long,2023-02-01 10:05:00,5094.0,2023-02-01 10:15:00,5079.0,stop,5079.0,,5094.0,5079.0,15.0,False,1,2023,-15.0,-0.002944640753828033,-150.0,-15.5,-0.003042795445622301,-155.0,-16.0,-0.0031409501374165686,-160.0,-17.0,-0.003337259521005104,-170.0
2023-02-02,WDO,M5,C3,short,2023-02-02 10:15:00,5016.5,2023-02-02 15:55:00,5058.5,stop,5058.5,,5058.5,5025.0,33.5,False,1,2023,-42.0,-0.008372371175122097,-420.0,-42.5,-0.008472042260540217,-425.0,-43.0,-0.008571713345958338,-430.0,-44.0,-0.008771055516794577,-440.0
2023-02-03,WDO,M5,C3,short,2023-02-03 09:35:00,5099.5,2023-02-03 12:05:00,5142.0,stop,5142.0,,5142.0,5103.0,39.0,False,1,2023,-42.5,-0.008334150406902637,-425.0,-43.0,-0.008432199235219139,-430.0,-43.5,-0.008530248063535641,-435.0,-44.5,-0.008726345720168643,-445.0
2023-02-06,WDO,M5,C3,short,2023-02-06 10:00:00,5179.5,2023-02-06 10:55:00,5200.0,stop,5200.0,,5200.0,5181.5,18.5,False,1,2023,-20.5,-0.003957910995269814,-205.0,-21.0,-0.00405444540978859,-210.0,-21.5,-0.004150979824307365,-215.0,-22.5,-0.004344048653344918,-225.0
2023-02-07,WDO,M5,C3,long,2023-02-07 10:15:00,5179.0,2023-02-07 18:25:00,5231.5,eod,5156.0,,5175.5,5156.0,19.5,False,1,2023,52.5,0.010137092102722534,525.0,52.0,0.01004054836841089,520.0,51.5,0.009944004634099246,515.0,50.5,0.00975091716547596,505.0
2023-02-08,WDO,M5,C3,short,2023-02-08 09:25:00,5196.0,2023-02-08 10:20:00,5212.0,stop,5212.0,,5212.0,5198.0,14.0,False,1,2023,-16.0,-0.003079291762894534,-160.0,-16.5,-0.0031755196304849883,-165.0,-17.0,-0.0032717474980754426,-170.0,-18.0,-0.003464203233256351,-180.0
2023-02-09,WDO,M5,C3,long,2023-02-09 09:25:00,5223.5,2023-02-09 18:25:00,5302.0,eod,5189.0,,5207.5,5189.0,18.5,False,1,2023,78.5,0.015028237771609075,785.0,78.0,0.014932516511917297,780.0,77.5,0.01483679525222552,775.0,76.5,0.014645352732841965,765.0
2023-02-10,WDO,M5,C3,short,2023-02-10 09:30:00,5288.5,2023-02-10 18:25:00,5226.5,eod,5323.5,,5323.5,5297.0,26.5,False,1,2023,62.0,0.011723551101446536,620.0,61.5,0.011629006334499386,615.0,61.0,0.011534461567552235,610.0,60.0,0.011345372033657937,600.0
2023-02-13,WDO,M5,C3,short,2023-02-13 09:25:00,5223.5,2023-02-13 18:25:00,5173.0,eod,5242.5,,5242.5,5225.0,17.5,False,1,2023,50.5,0.009667847228869531,505.0,50.0,0.009572125969177754,500.0,49.5,0.009476404709485978,495.0,48.5,0.009284962190102422,485.0
2023-02-14,WDO,M5,C3,long,2023-02-14 09:25:00,5173.5,2023-02-14 10:30:00,5154.5,stop,5154.5,,5171.0,5154.5,16.5,False,1,2023,-19.0,-0.0036725620952933217,-190.0,-19.5,-0.0037692084662220935,-195.0,-20.0,-0.003865854837150865,-200.0,-21.0,-0.004059147579008408,-210.0
2023-02-15,WDO,M5,C3,short,2023-02-15 09:20:00,5202.5,2023-02-15 09:35:00,5221.0,stop,5221.0,,5221.0,5205.0,16.0,False,1,2023,-18.5,-0.0035559827006247,-185.0,-19.0,-0.003652090341182124,-190.0,-19.5,-0.003748197981739548,-195.0,-20.5,-0.003940413262854397,-205.0
2023-02-16,WDO,M5,C3,long,2023-02-16 09:30:00,5240.0,2023-02-16 18:25:00,5225.0,eod,5206.5,,5221.0,5206.5,14.5,False,1,2023,-15.0,-0.0028625954198473282,-150.0,-15.5,-0.0029580152671755725,-155.0,-16.0,-0.0030534351145038168,-160.0,-17.0,-0.0032442748091603053,-170.0
2023-02-17,WDO,M5,C3,short,2023-02-17 09:30:00,5237.0,2023-02-17 18:25:00,5179.5,eod,5262.0,,5262.0,5243.0,19.0,False,1,2023,57.5,0.010979568455222456,575.0,57.0,0.010884093946916173,570.0,56.5,0.01078861943860989,565.0,55.5,0.010597670421997326,555.0
2023-02-23,WDO,M5,C3,long,2023-02-23 10:00:00,5158.5,2023-02-23 10:55:00,5141.0,stop,5141.0,,5156.0,5141.0,15.0,False,1,2023,-17.5,-0.0033924590481729184,-175.0,-18.0,-0.0034893864495492877,-180.0,-18.5,-0.0035863138509256566,-185.0,-19.5,-0.003780168653678395,-195.0
2023-02-24,WDO,M5,C3,long,2023-02-24 09:40:00,5169.5,2023-02-24 18:25:00,5213.5,eod,5151.5,,5168.5,5151.5,17.0,False,1,2023,44.0,0.008511461456620562,440.0,43.5,0.00841474030370442,435.0,43.0,0.008318019150788277,430.0,42.0,0.008124576844955992,420.0
2023-02-27,WDO,M5,C3,long,2023-02-27 10:00:00,5200.5,2023-02-27 12:15:00,5177.5,stop,5177.5,,5198.5,5177.5,21.0,False,1,2023,-23.0,-0.004422651668108835,-230.0,-23.5,-0.004518796269589462,-235.0,-24.0,-0.004614940871070089,-240.0,-25.0,-0.0048072300740313436,-250.0
2023-02-28,WDO,M5,C3,long,2023-02-28 09:25:00,5250.5,2023-02-28 10:15:00,5227.5,stop,5227.5,,5246.0,5227.5,18.5,True,1,2023,-23.0,-0.004380535187125036,-230.0,-23.5,-0.004475764212932102,-235.0,-24.0,-0.004570993238739168,-240.0,-25.0,-0.0047614512903532994,-250.0
2023-03-01,WDO,M5,C3,short,2023-03-01 10:20:00,5226.0,2023-03-01 12:00:00,5254.0,stop,5254.0,,5254.0,5230.0,24.0,False,1,2023,-28.0,-0.005357826253348641,-280.0,-28.5,-0.0054535017221584384,-285.0,-29.0,-0.005549177190968236,-290.0,-30.0,-0.0057405281285878304,-300.0
2023-03-02,WDO,M5,C3,long,2023-03-02 09:25:00,5227.5,2023-03-02 15:35:00,5213.0,stop,5213.0,,5225.5,5213.0,12.5,False,1,2023,-14.5,-0.002773792443806791,-145.0,-15.0,-0.0028694404591104736,-150.0,-15.5,-0.002965088474414156,-155.0,-16.5,-0.0031563845050215206,-165.0
2023-03-03,WDO,M5,C3,long,2023-03-03 09:35:00,5238.0,2023-03-03 18:25:00,5226.5,eod,5213.5,,5233.0,5213.5,19.5,False,1,2023,-11.5,-0.002195494463535701,-115.0,-12.0,-0.002290950744558992,-120.0,-12.5,-0.0023864070255822834,-125.0,-13.5,-0.002577319587628866,-135.0
2023-03-06,WDO,M5,C3,long,2023-03-06 10:40:00,5245.0,2023-03-06 12:10:00,5225.5,stop,5225.5,,5243.5,5225.5,18.0,False,1,2023,-19.5,-0.003717826501429933,-195.0,-20.0,-0.0038131553860819827,-200.0,-20.5,-0.003908484270734033,-205.0,-21.5,-0.004099142040038132,-215.0
2023-03-07,WDO,M5,C3,long,2023-03-07 09:25:00,5198.5,2023-03-07 18:25:00,5217.5,eod,5182.0,,5198.0,5182.0,16.0,False,1,2023,19.0,0.003654900452053477,190.0,18.5,0.0035587188612099642,185.0,18.0,0.003462537270366452,180.0,17.0,0.003270174088679427,170.0
2023-03-08,WDO,M5,C3,short,2023-03-08 10:05:00,5194.0,2023-03-08 18:25:00,5167.5,eod,5212.0,,5212.0,5196.5,15.5,False,1,2023,26.5,0.00510204081632653,265.0,26.0,0.0050057758952637655,260.0,25.5,0.004909510974201001,255.0,24.5,0.0047169811320754715,245.0
2023-03-09,WDO,M5,C3,long,2023-03-09 09:35:00,5165.0,2023-03-09 10:50:00,5141.0,stop,5141.0,,5160.5,5141.0,19.5,False,1,2023,-24.0,-0.004646660212971926,-240.0,-24.5,-0.004743465634075508,-245.0,-25.0,-0.00484027105517909,-250.0,-26.0,-0.0050338818973862534,-260.0
2023-03-10,WDO,M5,C3,long,2023-03-10 09:20:00,5201.5,2023-03-10 18:25:00,5236.5,eod,5175.0,,5199.0,5175.0,24.0,False,1,2023,35.0,0.006728828222628088,350.0,34.5,0.006632702105161973,345.0,34.0,0.006536575987695857,340.0,33.0,0.0063443237527636255,330.0
2023-03-13,WDO,M5,C3,long,2023-03-13 09:20:00,5276.5,2023-03-13 12:00:00,5232.0,stop,5232.0,,5272.5,5232.0,40.5,False,1,2023,-44.5,-0.008433620771344642,-445.0,-45.0,-0.008528380555292333,-450.0,-45.5,-0.008623140339240026,-455.0,-46.5,-0.008812659907135412,-465.0
2023-03-14,WDO,M5,C3,long,2023-03-14 09:25:00,5264.5,2023-03-14 09:55:00,5247.0,stop,5247.0,,5263.5,5247.0,16.5,False,1,2023,-17.5,-0.003324152341153006,-175.0,-18.0,-0.003419128122328806,-180.0,-18.5,-0.0035141039035046064,-185.0,-19.5,-0.003704055465856207,-195.0
2023-03-15,WDO,M5,C3,short,2023-03-15 09:20:00,5314.0,2023-03-15 17:55:00,5311.5,eod,5347.0,,5347.0,5317.5,29.5,False,1,2023,2.5,0.0004704554008280015,25.0,2.0,0.0003763643206624012,20.0,1.5,0.0002822732404968009,15.0,0.5,9.40910801656003e-05,5.0
2023-03-16,WDO,M5,C3,long,2023-03-16 10:00:00,5306.5,2023-03-16 13:55:00,5285.5,stop,5285.5,,5299.0,5285.5,13.5,False,1,2023,-21.0,-0.003957410722698577,-210.0,-21.5,-0.004051634787524734,-215.0,-22.0,-0.00414585885235089,-220.0,-23.0,-0.004334306982003204,-230.0
