split,hour,n,slope,t_nw,lag,sign,cond_spread_bps,cond_lo_bps,cond_hi_bps,pos_mean_bps,neg_mean_bps,n_pos,n_neg
DISCOVERY,10,610,-0.03402970015705443,-0.5358075155691142,5,reversao,-0.4691721343820392,-3.433018834673804,2.610569899364491,-0.27500243470218094,0.6633418340618974,312,296
DISCOVERY,11,610,-0.016787456476250677,-0.5357874059320754,5,reversao,-0.24000984305650075,-3.142798305827951,2.4157708658521724,-3.2305707810931517,-2.75055109498015,312,292
DISCOVERY,12,610,0.03242950640570023,0.7961916258313676,5,momentum,1.0756482196156834,-1.2618185664739532,3.1888200125629265,1.5837641364706556,-0.5675323027607113,310,298
DISCOVERY,13,610,-0.08038338098125825,-1.9829439865064244,5,reversao,-1.4759813404778024,-3.040764857652299,0.23314979071756065,-1.5681573383738705,1.383805342581734,306,300
DISCOVERY,14,610,0.08378228932481088,1.3882291868066508,5,momentum,0.5687273661177402,-1.2015976956079355,2.3402112283716328,-0.015825246874804542,-1.153279979110285,303,300
DISCOVERY,15,610,-0.040380134398640806,-0.8626393706260035,5,reversao,-0.4822129831484388,-2.3254017246767797,1.3288733948092966,-1.3170645102077985,-0.3526385439109209,295,311
DISCOVERY,16,610,0.007551223183996856,0.13236821419589492,5,momentum,0.2845562250201824,-1.6333757396906887,2.14631515299945,0.2961968350442888,-0.272915614996076,299,303
DISCOVERY,17,610,0.05484574138665813,1.271946693875359,5,momentum,-0.032883854460897824,-1.6208365027943896,1.5692439030743797,-0.44228134484066006,-0.3765136359188644,289,314
CONFIRM,10,250,0.05341844628670132,0.5535819479797383,4,momentum,2.3596890232193144,-0.8629797933753504,5.608518523241465,1.145140516882871,-3.574237529555758,117,131
CONFIRM,11,250,0.002305320033207072,0.05244524699666152,4,momentum,-0.647635170874325,-3.3945967630625913,1.807533119746168,-2.9873790829656404,-1.6921087412169904,121,127
CONFIRM,12,250,-0.024361965378095728,-0.3262178285053343,4,reversao,-0.30456074999540816,-2.628984381849106,1.784425301863477,-0.7702277005519904,-0.16110620056117414,127,121
CONFIRM,13,250,0.011566200488938819,0.21563541063103328,4,momentum,0.22961943812578386,-1.4549998338933403,1.8603042035003527,-0.42521182079914355,-0.8844506970507112,123,126
CONFIRM,14,250,0.006078812973917488,0.09993263944030112,4,momentum,-0.08810759481116087,-1.8235219904748483,1.7406928868598557,0.18577348627972096,0.3619886759020427,136,113
CONFIRM,15,250,-0.0787790956766052,-1.3312767654128421,4,reversao,-1.2594761086135844,-2.7554623973505756,0.4788815207680657,-0.48286081220731175,2.036091405019857,131,116
CONFIRM,16,250,-0.0850547623973088,-1.4400373066301966,4,reversao,-1.2211348822749954,-2.632143403679837,0.1702927404341821,-0.5581028215135277,1.8841669430364631,122,124
CONFIRM,17,250,-0.08230235705509083,-1.8678546275442478,4,reversao,-0.5048695631446503,-1.9062289757554907,0.910764091814505,-2.450005944211445,-1.4402668179221445,133,115
