magnet,split,n_days,n_touched,pct_touch,ret30_mean_bps,ret30_ci_lo,ret30_ci_hi,ret30_n
close_D-1,discovery,609,425,69.78653530377669,-0.9275422986832558,-4.803052767311928,3.218431179164372,423
close_D-1,confirm,250,189,75.6,-0.6023952664927217,-4.614691832118621,3.6443305511723443,188
mid_D-1,discovery,609,377,61.904761904761905,-4.181947495039087,-8.274590236238454,-0.06260674122859818,376
mid_D-1,confirm,250,156,62.4,-2.343569983942198,-6.860115661570431,2.3878499212412425,154
