level,split,n_breaks,ft_15_mean_bps,ft_15_ci_lo,ft_15_ci_hi,ft_15_n,ft_30_mean_bps,ft_30_ci_lo,ft_30_ci_hi,ft_30_n,ft_60_mean_bps,ft_60_ci_lo,ft_60_ci_hi,ft_60_n,mfe_mean_bps,mfe_ci_lo,mfe_ci_hi,mfe_n,mae_mean_bps,mae_ci_lo,mae_ci_hi,mae_n,pct_retest_60min,retest_n
PDH,discovery,262,0.14285077367388102,-2.858538305986672,3.179944457242763,262,-0.3002349393475419,-4.288410062539571,3.4909367643054554,262,-0.6293479469130328,-5.940281764672366,4.72115354293384,262,36.873610649699266,33.56344603707186,40.49267369806861,262,41.66659058518583,38.08956342796994,45.493695363540205,262,92.36641221374046,262
PDH,confirm,95,0.49047977693218825,-3.593293712599361,4.227728532220306,93,0.22234278096841958,-5.477508413355639,5.832415032009198,93,-0.8989463811297063,-7.953622808935349,5.743303834539073,93,26.318928511317658,21.925010101469557,30.90665506273924,93,28.001937091402514,23.290837427804753,33.91004074232024,93,81.72043010752688,93
PDL,discovery,262,-1.3503692649372525,-4.191792374307889,1.773441371771084,262,-0.9738132725989831,-5.387166213869348,3.275022055613369,262,0.9098647799077713,-5.411015364468115,6.847390975870158,262,40.608572022739786,37.10912547529856,44.156340469789505,262,46.11506970027216,41.63913916694587,51.1039318200985,262,94.27480916030534,262
PDL,confirm,113,2.5137455163258307,-0.9438304197166062,5.628466015693636,112,2.292155350422234,-1.7499659062519557,6.115116562656884,112,3.025472811711559,-2.9718698071730913,8.279325580271447,112,27.291987128321384,23.807334624895073,30.81813225984072,112,25.254469381303657,21.89582935884448,29.05303484966117,112,81.25,112
